oঁkol̪	ɔ k o l
mukt̪id͡zud̪d̪̤ɔ	m u k t̪ i d͡ʒ u d̪ d̪ʱ ɔ
murɡi	m u r ɡ i
murɡi	m u r ɡ i
mut̪rɔ	m u t̪ t̪ ɾ ɔ̝ˑ
mut̪rɔn̪al̪i	m u t̪ t̪ ɾ ɔ̝ n ä l iˑ
mekur	m ɛ k u ɾ
me̤ɡ̤al̪e̯ɔ	m e ɡʱ a l ɔ e̯
med͡ʑ	m e d ʑ o
med͡ʑad͡ʑ	m e d ʒ a d ʒ
met̪ʰi	m e tʰ i
mee̯e	m e e
meʂ	m e ʃ
mehur	m e ɦ u ɾ
mota	m o ʈ a
mot̪i	m o t̪ i
morɔɡɔ	m o r ɔ ɡ
mol̪l̪a	m o lː a
mowl̪	m o u̯ l
mows̪umi	m o u ʃ u m i
d͡zɔmɔd͡ʑɔ	d ʑ ɔ m o d ʑ
d͡zat͡ɕt͡ɕʰet̪ai	d ʑ a t ɕʰː e t̪ a i̯
d͡ziruɕal̪em	d͡ʒ i ɾ u ʃ a l e m
d͡zubt̪i	d ʒ u b ɔ t̪ i
d͡zul̪ɸikar	d ʑ u l f i k a ɾ
d͡zekʰan̪	d ʑ e kʰ a n
d͡zon̪i	d ʑ o n i
rid̪	r ɔ i d̪
run̪	r ɔ u n
ron̪a	r ɔ o n a
roe̯an̪a	r ɔ w a n a
rɔd͡ʑɔn̪iɡɔn̪d̪̤a	r ɔ d ʒ o n i ɡ ɔ n d̪ʱ a
rɔbar	ɹ ɔ b a ɹ
rɔbi	r o b i
rɔɕid̪	r o ʃ i d̪
rɔs̪ae̯ɔn̪ɔ	ɹ o ɹ ʃ j n
rɔs̪ui	ɾ ɔ ʃ u i
rɔs̪ui̤ɡ̤ɔrɔ	ɾ ɔ ʃ u i ɡʱ ɔ ɾ
rɔs̪ul̪	ɾ ɔ ʃ u l
raŋ	ɾ a ŋ
rai	ɾ a i
raɡ	r a ɡ
raɡi	r a ɡ i
rad͡ʑkie̯	r a d ʒ ɔ k i̯ o
rad͡ʑɔs̪t̪ʰan̪	r a d ʒ ɔ s t̪ʰ a n
ran̪n̪a	r a nː a
ramae̯ɔnɔ	ɾ ɑ m ɑ e̯ ɔ n
raʂtrɔ	ɾ a ʃ ʈ ɾ ɔ
ras̪t̪a	ɾ a s t̪ a
rikɕa	r i k ʃ ɑ
riʂtɔ	ɾ i ʃ ʈ ɔ
rumi	r u m i
roɡ	ɾ o ɡ
rod͡ʑa	ɾ o z a
l̪oe̯a	l ɔ o̯ a
l̪ɔkʂmipeঁt͡ɕa	l o kːʰ i p æ̃ c a
l̪ɔkʂmiɸɔl̪ɔ	l o kːʰ i pʰ ɔ l
l̪ɔt̪a	l ɔ t̪ a
l̪ɔbɔdɔŋka	l ɔ b ɔ d ɔ ŋ k ɑ
l̪aibreri	l a i b ɾ e ɾ i
l̪akan̪	l a k a n
l̪aɕ	l a ʃ
l̪ahan̪	l a ɦ a n
l̪uda	l u d̺ a
l̪ebu	l e b u
ɕur	ʃ ɔ u ɾ
ɕuri	ʃ ɔ u ɾ i
ɕɔkt̪ɔ	ʃ ɔ k t̪ ɔ
ɕɔŋkʰɔt͡ɕuɽ	ʃ ɔ ŋ kʰ o t ʃ u ɽ
ɕɔt̪ɔrɔkɔmɔ	ʃ ɔ t̪ ɔ ɾ ɔ k ɔ m
ɕɔt̪aŋɕɔ	ʃ ɔ t̪ ɑ ŋ ʃ ɔ
ɕe̯ɔt̪an̪	ʃ ɔ j t̪ a n
ɕɔrɔman̪o	ʃ ɔ ɹ m a n o
ɕɔrab	s h ô r a b
ɕɔrir	ʃ o ɹ i ɹ
ɕandil̪d͡zɔ	ʃ a n ɖ i lː ɔ
ɕan̪t̪ɔn̪u	ʃ ɑ n t̪ ɔ n u
ɕamie̯an̪a	ʃ a m i j a n a
ɕal̪ɔɡɔmɔ	ʃ a l ɡ ɔ m
ɕahɔt̪ad͡ʑ	ʃ a ɦ t̪ a d ʑ
ɕikar	ʃ i k a r
ɕikari	ʃ i k a r i
ɕikʂamul̪ɔkɔ	ʃ i kːʰ a m u l ɔ k
ɕikʰ	ʃ i kʰ
ɕiɡɡir	ʃ i ɡː i ɹ
ɕit̪ʰan̪	ʃ i t̪ʰ a n
ɕiriʂ	ʃ i ɾ i ʃ
ɕud̪̤u	ʃ u d̪ʱ u
ɕumar	ʃ u m ɑ ɾ
ɕuru	ʃ u r u
ɕul̪ɸa	ʃ u l pʰ a
ɕekʰa	ʃ e kʰ a
ɕojbal̪	ʃ o i̯ b a l
ɕbet̪	ʃː e t̪
ɕmɔɕan̪	ʃ o ʃ ɐ n
ɕd͡zampu	ʃ æ m p u
ɕrin̪iket̪ɔn̪ɔ	ʃ ɾ i n i k e t̪ ɔ n
ɕriɸɔl̪ɔ	s ɾ i pʰ ɔ l
ɕribɽikʂɔ	s ɾ i b ɾ i kːʰ ɔ
ɕl̪eʂma	ʃ l e ʃ ʃ ɑ̃
ɕৰd̪d̪̤a	s ɹ o d̪ d̪ʱ a
s̪ɔŋkramɔkɔ	ʃ ɔ ŋ k ɾ a m ɔ k
s̪ɔŋbad̪	ʃ ɔ ŋ b ɑ d̪
s̪ɔŋɕe̯ɔ	ʃ ɔ ŋ ʃ ɔ e̯
s̪od̪a	ʃ ɔ o̯ d̪ a
s̪ɔŋɡe	ʃ ɔ ŋ ɡ e
s̪ɔd͡ʑaru	ʃ ɔ d͡ʒ a r u
s̪ɔt̪t̪beo	ʃ ɔ t̪ː e o̯
s̪ɔt̪d͡zɔ	ʃ o tː ɔ
s̪ɔt̪d͡zɔɸɔl̪ɔ	ʃ o tː ɔ pʰ ɔ l
s̪ɔd̪ɔrɔ	ʃ ɔ d̪ o ɾ
s̪ɔd̪ɔrɔd̪ɔpt̪ɔrɔ	ʃ ɔ d̪ o ɾ d̪ ɔ f t o ɾ
s̪ɔd̪ɔrɔd̪ɔɸɔt̪ɔrɔ	ʃ ɔ d̪ o ɾ d̪ ɔ f t o ɾ
s̪ɔd̪ai	ʃ ɔ d̪ a i
s̪ɔn̪ɔd̪ɔ	ʃ ɔ n o d̪
s̪ɔpt̪ahɔ	ʃ ɔ p t̪ ɑ ɦ ɔ
s̪ɔmɔkɔ	ʃ ɒ m ɔ k
s̪ɔmɔkami	ʃ ɔ m ɔ k ɑ m i
s̪ɔmɔke	ʃ ɒ m k e
s̪ɔme̯ɔkal̪	ʃ ɔ m ɔ j k a l
s̪ɔmirɔnɔ	ʃ o m i ɾ ɔ n
s̪ɔmud̪rɔ	ʃ o m u d r o
s̪ɔmpad̪ika	ʃ ɔ m p ɑ d̪ i k ɑ
s̪ɔrɔkar	ʃ ɔ ɾ k a ɾ
s̪ɔrɔd̪ɔ	ʃ ɔ ɾ ɔ d̪
s̪ɔrɔl̪ɔ	ʃ ɔ ɾ o l
s̪ɔl̪il̪	ʃ o l i l
s̪ɔhɔkɔrmi	ʃ ɔ ɦ ɔ k ɔ ɾ m i
s̪ɔ̃i	ʃ a i̯
s̪aɡɔrɔ	ʃ a ɡ ɔ ɾ
s̪at̪ɔkʂira	ʃ a t̪ kʰ i ɹ a
s̪ad̪a	ʃ a d̪ a
s̪aban̪	ʃ a b a n
s̪abaɕ	ʃ a b a ʃ
s̪abas̪	ʃ a b a ʃ
s̪ami	s a m i
s̪ar	ʃ a ɾ
s̪ard͡ʑari	ʃ ɑ ɾ d͡ʒ ɑ ɾ i
s̪al̪am	s a l a m
s̪iŋhas̪ɔn̪ɔ	ʃ i ŋ ɦ a ʃ o n
s̪iɡaret	s i ɡ ɑ r e ʈ
s̪in̪d̪uk	ʃ i n d̪ u k
s̪il̪di	s i l ɔ d̺ i
s̪il̪eitd͡za	s i l e i t̺ t̺ a
s̪uɽɔŋɡɔ	ʃ u ɹ ɔ ŋ ɡ o
s̪un̪d̪ɔri	ʃ u n d̪ ɔ ɾ i
s̪ub̤ɔd̪rɔkɔ	ʃ u bʱ ɔ dː ɾ ɔ k
s̪ul̪t̪an̪	s u l t̪ a n
s̪ul̪t̪an̪a	s u l t̪ a n a
s̪ura	s u ɹ a
s̪eঁut̪i	ʃ ẽ u t̪ i
s̪own̪d̪ɔrd͡zɔ	ʃ o u̯ n d̪ ɔ ɹ d ʑ o
s̪kutar	ʃ k u ʈ̟ ɑ ɾ
s̪t̪ʰɔl̪ɔ	s t̪ʰ ɔ l
s̪t̪ʰan̪	s t̪ʰ a n
s̪n̪iɡd̪̤a	s n i ɡ d̪ʱ a
s̪n̪ehɔ	s n e ɦ o
s̪ɸɔtik	ʃ pʰ o ʈ i k
s̪bas̪t̪ʰd͡zɔ	ʃ a s tʰ j ɔ
s̪ɔt̪ɔ	s ɔ t̪
hit̪e	ɦ o i̯ t̪ e
huri	ɦ ɔ u ɾ i
hɔkkɔl̪ɔ	ɦ ɒ k k ɔ l
hɔɡɔl̪ɔ	ɦ ɒ ɡ ɔ l
hɔŋɡe	ɦ ɒ ŋ ɡ e
hɔt̪aɕa	ɦ ɔ t̪ ɑ ʃ ɑ
hɔn̪d̪ɔrɔ	ɦ ɔ n d̪ ɔ ɾ
hɔpt̪a	ɦ ɔ p t̪ a
hɔman̪	ɦ ɒ m a n
hɔmuk	ɦ ɔ m u k
he̯ɔran̪	ɦ ɔ e̯ ɾ a n
hɔra	ɦ ɒ ɾ a
hɔrid͡ʑɔn̪ɔ	ɦ ɔ ɾ i d͡ʒ ɔ n
hɔrit̪ki	h o ɾ i t o k i
hɔru	ɦ ɔ ɾ u
hɔrul̪a	ɦ ɔ ɾ u l a
hɔhun̪	ɦ ɔ ɦ u n
hɔ̃	h æ̃ː
hɔ̃i	ɦ a i
hɔ̃ta	ɦ a ʈ a
hɔ̃t̪ɔran̪o	ɦ a t̪ ɾ a n ɔ
hair	ɦ a i ɾ
haɡu	ɦ a ɡ u
haŋɡur	h ɐ ŋ ɡ u r
haɽi	ɦ a ɾ i
hat̪	ɦ a t̪
hat̪i	ɦ ɑ t̪ i
hap	ɦ a p
habɕi	ɦ ɑ b ʃ i
haml̪a	ɦ a m l a
haman̪d̪is̪t̪a	h a m a n d i s t a
hamuk	ɦ a m u k
hae̯en̪a	ɦ a e̯ n a
has̪a	ɦ ɑ ʃ ɑ
has̪an̪o	ɦ ɑ ʃ ɑ n o
hiɡa	ɦ i ɡ a
hitl̪ar	ɦ i ʈ̟ l ɑ ɾ
hin̪an̪	ɦ i n a n
himbahɔ	h i m b a h o
hie̯a	ɦ i̯ a
hie̯an̪	ɦ i a n
hie̯al̪	ɦ i a l
hil̪	ɦ i l
his̪ab	ɦ i ʃ a b
hutki	ɦ u t̺ k i
hud̪a	h u d ɐ
hun̪a	ɦ u n a
hun̪i	ɦ u n i
hurin̪	ɦ u ɾ ɔ i n
huru	ɦ u ɾ u
he	ɦ e
heঁd͡ʑɔ	ɦ ɛ z
heঁd͡ʑa	ɦ ɛ z a
heঁd͡ʑar	ɦ ɛ z a ɾ
hei	ɦ e i
heut̪	ɦ e u t̪
het̪ai	ɦ ɛ t̪ a i
het̪ain̪	ɦ ɛ t̪ a i n
het̪i	ɦ e t̪ i
het̪e	ɦ ɛ t̪ e
hoঁt͡ɕɔtɔ	ɦ õ t ʃ ɔ ʈ
hoe̯a	ɦ ɔ a
hoe̯ad̪	ɦ o a d̪
hol̪	ɦ o l
hd͡zɔ̃	h ɛ̃
