<|DEU|>ab	a p
<|DEU|>rechnen	ʁ ɛ ç n ə n
<|DEU|>regierung	ʁ ə ɡ iː ʁ ʊ ŋ
<|DEU|>reicher	ʁ a ɪ̯ ç ɐ
<|DEU|>reichlich	ʁ a ɪ̯ ç l ɪ ç
<|DEU|>reihe	ʁ a ɪ̯ ə
<|DEU|>rekord	ʁ e k ɔ ʁ t
<|DEU|>rendite	ʁ ɛ n d iː t ə
<|DEU|>respektive	r e s p ɛ k t iː v e
<|DEU|>richtung	ʁ ɪ ç t ʊ ŋ
<|DEU|>richtungen	ʁ ɪ ç t ʊ ŋ
<|DEU|>rote	ʁ oː t ə
<|DEU|>russe	ʁ ʊ s ə
<|DEU|>räume	ʁ ɔ ɪ̯ m ə
<|DEU|>räumen	ʁ ɔ ɪ̯ m ə n
<|DEU|>rückzug	ʁ y k t s uː k
<|DEU|>saal	z aː l
<|DEU|>sache	z a x ə
<|DEU|>sachen	z a x n̩
<|DEU|>sage	z aː ɡ ə
<|DEU|>saniert	z a n iː ɐ̯ t
<|DEU|>scharf	ʃ a r f
<|DEU|>scheut	ʃ ɔ ʏ̯ t
<|DEU|>schicksal	ʃ ɪ k z aː l
<|DEU|>schieben	ʃ iː b ə n
<|DEU|>schien	ʃ iː n
<|DEU|>schienen	ʃ iː n ə n
<|DEU|>schlagen	ʃ l aː ɡ n̩
<|DEU|>schliesslich	ʃ l iː s l ɪ ç
<|DEU|>schloss	ʃ l ɔ s
<|DEU|>schlusspunkt	ʃ l ʊ s p ʊ ŋ k t
<|DEU|>schlüsselanhänger	ʃ l ʏ s l̩ ʔ a n h ɛ n ɡ ɐ
<|DEU|>schmoren	ʃ m oː ʁ ə n
<|DEU|>schneefall	ʃ n eː f a l
<|DEU|>schnell	ʃ n ɛ l
<|DEU|>schnellen	ʃ n ɛ l n̩
<|DEU|>schneller	ʃ n ɛ l ɐ
<|DEU|>schule	ʃ uː l ə
<|DEU|>schutz	ʃ ʊ t͡s
<|DEU|>schweizer	ʃ v a ɪ̯ t͡s ɐ
<|DEU|>schweren	ʃ v eː r ə n
<|DEU|>schätzung	ʃ ɛ t s ʊ ŋ
<|DEU|>schöne	ʃ øː n ə
<|DEU|>schönste	ʃ øː n s t ə
<|DEU|>schüler	ʃ yː l ɐ
<|DEU|>schülern	ʃ yː l ɐ n
<|DEU|>sechs	z ɛ k s
<|DEU|>sehnsüchtig	z eː n z ʏ ç t ɪ ç
<|DEU|>sehr	z eː r
<|DEU|>seid	z a ɪ̯ t
<|DEU|>seien	z a ɪ̯ ə n
<|DEU|>seine	z a ɪ̯ n ə
<|DEU|>seiner	z a ɪ̯ n ɐ
<|DEU|>seines	z a ɪ̯ n ə s
<|DEU|>seit	z a ɪ̯ t
<|DEU|>seite	z a ɪ̯ t ə
<|DEU|>seiten	z a ɪ̯ t ə n
<|DEU|>selbstmord	z ɛ l p s t m ɔ ʁ t
<|DEU|>selbstverwirklichung	z ɛ l p s t f ɛ ɐ̯ v ɪ ʁ k l ɪ ç ʊ ŋ
<|DEU|>senat	z e n aː t
<|DEU|>sender	z ɛ n d ɐ
<|DEU|>setzen	z ɛ t s ə n
<|DEU|>sich	z ɪ ç
<|DEU|>sicherheit	z ɪ ç ɐ h a ɪ̯ t
<|DEU|>sicherlich	z ɪ ç ɐ l ɪ ç
<|DEU|>sichern	z ɪ ç ɐ n
<|DEU|>sieger	z iː ɡ ɐ
<|DEU|>sinkt	z ɪ ŋ k t
<|DEU|>sinnvoll	z ɪ n f ɔ l
<|DEU|>sogar	z o ɡ aː ɐ̯
<|DEU|>solche	z ɔ l ç ə
<|DEU|>soldaten	z ɔ l d aː t n
<|DEU|>soll	z ɔ l
<|DEU|>sommer	z ɔ m ɐ
<|DEU|>spann	ʃ p a n
<|DEU|>spaziergang	ʃ p a t͡s iː ɐ̯ ɡ a ŋ
<|DEU|>speed	s p iː t
<|DEU|>spiel	ʃ p iː l
<|DEU|>spielen	ʃ p iː l ə n
<|DEU|>spieler	ʃ p iː l ɐ
<|DEU|>sportler	ʃ p ɔ ʁ t l ɐ
<|DEU|>sprechen	ʃ p r ɛ ç ə n
<|DEU|>sprecher	ʃ p r ɛ ç ə r
<|DEU|>spricht	ʃ p ʁ ɪ ç t
<|DEU|>sprung	ʃ p ʁ ʊ ŋ
<|DEU|>spur	ʃ p uː ɐ̯
<|DEU|>spüren	ʃ p yː ʁ ə n
<|DEU|>staatsanwalt	ʃ t aː t͡s ʔ a n v a l t
<|DEU|>staatsanwaltschaft	ʃ t aː t͡s ʔ a n v a l t ʃ a f t
<|DEU|>stark	ʃ t a r k
<|DEU|>starten	ʃ t a r t ə n
<|DEU|>statt	ʃ t a t
<|DEU|>stattdessen	ʃ t a t d ɛ s n̩
<|DEU|>steinmauer	ʃ t a ɪ n m a ʊ̯ ɐ
<|DEU|>sterben	ʃ t ɛ ʁ b ə n
<|DEU|>stets	ʃ t eː t s
<|DEU|>steuern	ʃ t ɔ ɪ̯ ɐ n
<|DEU|>stichwort	ʃ t ɪ ç v ɔ ʁ t
<|DEU|>stieg	ʃ t iː k
<|DEU|>stimme	ʃ t ɪ m ə
<|DEU|>stockerl	ʃ t ɔ k ɐ l
<|DEU|>stolz	ʃ t ɔ l t͡s
<|DEU|>strafe	ʃ t ʁ aː f ə
<|DEU|>strasse	ʃ t r aː s ə
<|DEU|>strich	ʃ t ʁ ɪ ç
<|DEU|>stufe	ʃ t uː f ə
<|DEU|>stunden	ʃ t ʊ n d ə n
<|DEU|>stärke	ʃ t ɛ r k ə
<|DEU|>stück	ʃ t ʏ k
<|DEU|>stürmer	ʃ t ʏ r m ə r
<|DEU|>suchen	z uː x ə n
<|DEU|>suchmaschine	z uː x m a ʃ iː n ə
<|DEU|>sucht	z ʊ x t
<|DEU|>süden	z yː d ə n
<|DEU|>sündenbock	z ʏ n d ə n b ɔ k
<|DEU|>tage	t aː ɡ ə
<|DEU|>tagen	t aː ɡ ə n
<|DEU|>tat	t aː t
<|DEU|>tatsächlich	t aː t z ɛ ç l ɪ ç
<|DEU|>teilweise	t a ɪ̯ l v a ɪ̯ z ə
<|DEU|>tests	t ɛ s t s
<|DEU|>teuer	t ɔ ʏ̯ ɐ
<|DEU|>thermometer	t ɛ ʁ m o m eː t ɐ
<|DEU|>thüringen	t yː ʁ ɪ ŋ ə n
<|DEU|>tirol	t i ʁ oː l
<|DEU|>tolle	t ɔ l ə
<|DEU|>tonnen	t ɔ n ə n
<|DEU|>transfer	t r a n s f eː r
<|DEU|>tritt	t ʁ ɪ t
<|DEU|>trockenheit	t ʁ ɔ k ə n h a ɪ̯ t
<|DEU|>trugen	t ʁ uː ɡ n
<|DEU|>tränen	t ʁ ɛ n ə n
<|DEU|>tschernobyl	t͡ʃ ɛ ʁ n oː b ʏ l
<|DEU|>tweet	t v iː t
<|DEU|>twitter	t v ɪ t ə r
<|DEU|>töpfern	t œ p f ɐ n
<|DEU|>uhr	uː r
<|DEU|>um	ʊ m
<|DEU|>umgang	ʊ m ɡ a ŋ
<|DEU|>umsetzung	ʊ m z ɛ t s ʊ ŋ
<|DEU|>unabhängig	ʊ n a p h ɛ ŋ ɪ ç
<|DEU|>unermüdlich	ʊ n ɛ ɐ m yː t l ɪ ç
<|DEU|>unfall	ʊ n f a l
<|DEU|>ungebrochen	ʊ n ɡ ə b ʁ ɔ χ n̩
<|DEU|>ungestraft	ʊ n ɡ ə ʃ t ʁ aː f t
<|DEU|>ungewöhnlich	ʊ n ɡ ə v øː n l ɪ ç
<|DEU|>unglaublich	ʊ n ɡ l a u̯ p l ɪ ç
<|DEU|>uns	ʊ n s
<|DEU|>unter	ʊ n t ɐ
<|DEU|>unterirdisch	ʊ n t ɐ ʔ ɪ ʁ d ɪ ʃ
<|DEU|>unternehmen	ʊ n t ɐ n eː m ə n
<|DEU|>unternehmer	ʊ n t ɐ n eː m ɐ
<|DEU|>unterschied	ʔ ʊ n tʰ ɐ ʃ iː t
<|DEU|>unterschiedlich	ʊ n t ɐ ʃ iː t l ɪ ç
<|DEU|>unterstützung	ʊ n t ɐ ʃ t ʏ t͡s ʊ ŋ
<|DEU|>unterwegs	ʊ n t ɐ v eː k s
<|DEU|>unzufriedenheit	ʔ ʊ n t͡s u f ʁ iː d ə n h a ɪ̯ t
<|DEU|>ursprünglich	ʔ uː ɐ̯ ʃ p ʁ ʏ ŋ l ɪ ç
<|DEU|>veranstaltung	f ɛ ɐ̯ a n ʃ t a l t ʊ ŋ
<|DEU|>verantwortung	f ɛ ɐ̯ ʔ a n t v ɔ ʁ t ʊ ŋ
<|DEU|>verbindung	f ɛ ɐ̯ b ɪ n d ʊ ŋ
<|DEU|>verein	f ɛ ɐ̯ ʔ a ɪ̯ n
<|DEU|>vereinigung	f ɛ ɐ̯ ʔ a ɪ̯ n ɪ ɡ ʊ ŋ
<|DEU|>verfassung	f ɛ ɐ̯ f a s ʊ ŋ
<|DEU|>verfügung	f ɛ ɐ̯ f yː ɡ ʊ ŋ
<|DEU|>vergabe	f ɛ ɐ̯ ɡ aː b ə
<|DEU|>vergangenheit	f ɛ ɐ̯ ɡ a ŋ ə n h a ɪ̯ t
<|DEU|>vergessen	f ɛ ɐ̯ ɡ ɛ s ə n
<|DEU|>verhindert	f ɛ ʁ h ɪ n d ɐ t
<|DEU|>verhältnis	f ɛ ɐ̯ h ɛ l t n ɪ s
<|DEU|>verkauf	f ɛ ɐ̯ k a ʊ̯ f
<|DEU|>verkehr	f ɛ r k eː r
<|DEU|>verkürzen	f ɛ ɐ̯ k ʏ ʁ t͡s ə n
<|DEU|>verlassen	f ə r l a s ə n
<|DEU|>vermeiden	f ɛ ɐ̯ m a ɪ̯ d ə n
<|DEU|>vernichten	f ɛ ɐ̯ n ɪ ç t ə n
<|DEU|>verscheuchen	f ɛ ɐ̯ ʃ ɔ ɪ ç ə n
<|DEU|>verschieben	f ɛ r ʃ iː b ə n
<|DEU|>versicherte	f ɛ ɐ̯ z ɪ ç ɐ t ə
<|DEU|>versickern	f ɛ ɐ̯ z ɪ k ɐ n
<|DEU|>verständnis	f ɛ ɐ̯ ʃ t ɛ n t n ɪ s
<|DEU|>verstärkung	f ɛ ɐ̯ ʃ t ɛ ʁ k ʊ ŋ
<|DEU|>versuchen	f ɛ ɐ̯ z uː x ə n
<|DEU|>verteidigung	f ɛ ɐ̯ t a ɪ̯ d ɪ ɡ ʊ ŋ
<|DEU|>verteilen	f ɛ ʁ t a ɪ̯ l ə n
<|DEU|>vertrauen	f ɛ ɐ̯ t ʁ a ʊ̯ ə n
<|DEU|>vertreibung	f ɛ ʁ t ʁ a ɪ̯ b ʊ ŋ
<|DEU|>veränderung	f ɛ ɐ̯ ɛ n d ə ʁ ʊ ŋ
<|DEU|>verärgern	f ɛ ʁ ʔ ɛ ʁ ɡ ɐ n
<|DEU|>videokonferenz	v iː d e o k ɔ n f e ʁ ɛ n t͡s
<|DEU|>viele	f iː l ə
<|DEU|>vieles	f iː l ə s
<|DEU|>violett	v iː o l ɛ t
<|DEU|>viren	v iː r ə n
<|DEU|>volkes	f ɔ l k ə s
<|DEU|>voll	f ɔ l
<|DEU|>vollendung	f ɔ l ʔ ɛ n d ʊ ŋ
<|DEU|>von	f ɔ n
<|DEU|>vorbild	f oː ɐ̯ b ɪ l t
<|DEU|>vorgänger	f oː ɐ̯ ɡ ɛ ŋ ɐ
<|DEU|>vorhaben	f oː ʁ h aː b ə n
<|DEU|>vorjahr	f oː ɐ̯ j aː ɐ̯
<|DEU|>vorsitz	f oː ɐ̯ z ɪ t s
<|DEU|>vorwurf	f oː ʁ v ʊ ʁ f
<|DEU|>vorüber	f o ʁ yː b ɐ
<|DEU|>waffe	v a f ə
<|DEU|>wahl	v aː l
<|DEU|>wahlen	v aː l ə n
<|DEU|>wahllokal	v aː l l o k aː l
<|DEU|>wahrscheinlich	v aː ɐ̯ ʃ a ɪ̯ n l ɪ ç
<|DEU|>wann	v a n
<|DEU|>wegwerfen	v ɛ k v ɛ ɐ̯ f n̩
<|DEU|>weil	v a ɪ̯ l
<|DEU|>wein	v a ɪ̯ n
<|DEU|>weise	v a ɪ̯ z ə
<|DEU|>weisse	v a ɪ̯ s ə
<|DEU|>welche	v ɛ l ç ə
<|DEU|>welt	v ɛ l t
<|DEU|>weltweit	v ɛ l t v a ɪ̯ t
<|DEU|>wenig	v eː n ɪ ç
<|DEU|>wer	v eː r
<|DEU|>werktags	v ɛ r k t aː k s
<|DEU|>werte	v ɛ ɐ̯ t ə
<|DEU|>wettbewerb	v ɛ t b ə v ɛ ʁ p
<|DEU|>wetter	v ɛ t ɐ
<|DEU|>will	v ɪ l
<|DEU|>willkommen	v ɪ l k ɔ m ə n
<|DEU|>windschutzscheibe	v ɪ n t ʃ ʊ t͡s ʃ a ɪ̯ b ə
<|DEU|>winzerin	v ɪ n t s ɐ ʁ ɪ n
<|DEU|>wird	v ɪ ɐ̯ t
<|DEU|>wirken	v ɪ ʁ k ə n
<|DEU|>wirklich	v ɪ ʁ k l ɪ ç
<|DEU|>wo	v oː
<|DEU|>woche	v ɔ x ə
<|DEU|>wochenende	v ɔ χ n̩ ʔ ɛ n d ə
<|DEU|>wohl	v oː l
<|DEU|>wohlleben	v oː l l eː b n̩
<|DEU|>wohnen	v oː n ə n
<|DEU|>wohnung	v oː n ʊ ŋ
<|DEU|>wollte	v ɔ l t ə
<|DEU|>wort	v ɔ r t
<|DEU|>wunderbar	v ʊ n d ɐ b aː ɐ̯
<|DEU|>wunsch	v ʊ n ʃ
<|DEU|>wurde	v ʊ ʁ d ə
<|DEU|>würde	v ʏ ʁ d ə
<|DEU|>zahl	t s aː l
<|DEU|>zart	t s aː r t
<|DEU|>zehn	t͡s eː n
<|DEU|>zeichen	t s a ɪ̯ ç ə n
<|DEU|>zeigen	t͡s a ɪ̯ ɡ ə n
<|DEU|>zeitlos	t͡s a ɪ̯ t l oː s
<|DEU|>zeitpunkt	t s a ɪ̯ t p ʊ ŋ k t
<|DEU|>zeitraum	t s a ɪ̯ t ʁ a ʊ̯ m
<|DEU|>zeugin	t s ɔ ʏ̯ ɡ ɪ n
<|DEU|>zuerst	t s u ʔ eː ɐ̯ s t
<|DEU|>zufall	t͡s uː f a l
<|DEU|>zufolge	t s u f ɔ l ɡ ə
<|DEU|>zugleich	t͡s u ɡ l a ɪ̯ ç
<|DEU|>zugänglich	t s uː ɡ ɛ ŋ l ɪ ç
<|DEU|>zumindest	t͡s u m ɪ n d ə s t
<|DEU|>zunächst	t s u n ɛː ç s t
<|DEU|>zur	t s uː ɐ̯
<|DEU|>zurzeit	t s ʊ r t s a ɪ t
<|DEU|>zurück	t͡s u ʁ ʏ k
<|DEU|>zuschauer	t͡s uː ʃ a ʊ̯ ɐ
<|DEU|>zuvor	t͡s u f oː ɐ̯
<|DEU|>zwar	t͡s v aː ɐ̯
<|DEU|>zweierlei	t s v a ɪ̯ ɐ l a ɪ̯
<|DEU|>zweifel	t͡s v a ɪ̯ f l̩
<|DEU|>zweitens	t͡s v a ɪ̯ t n̩ s
<|DEU|>zweiter	t͡s v a ɪ̯ t ɐ
<|DEU|>zwingen	t s v ɪ ŋ ə n
<|DEU|>zwischen	t s v ɪ ʃ ə n
<|DEU|>zwölf	t͡s v œ l f
<|DEU|>zürcher	t͡s ʏ ʁ ç ɐ
<|DEU|>äussern	ɔ ʏ̯ s ɐ n
<|DEU|>öffnen	ʔ œ f n ə n
<|DEU|>öffnung	œ f n ʊ ŋ
<|DEU|>österreich	øː s t ə ʁ a ɪ ç
<|DEU|>überhaupt	yː b ɐ h a ʊ̯ p t
<|DEU|>überlegungen	y b ɐ l eː ɡ ʊ ŋ ə n
<|DEU|>überraschend	yː b ɐ ʁ a ʃ ə n t
<|DEU|>überrascht	yː b ɐ ʁ a ʃ t
<|DEU|>übertragen	yː b ə r t r aː ɡ ə n
<|DEU|>überwindung	yː b ɐ v ɪ n d ʊ ŋ
<|SWE|>adjö	a j øː
<|SWE|>affär	a ¹ f ɛː r
<|SWE|>afton	a f t ɔ n
<|SWE|>aggressiv	a ɡ r ɛ s iː v
<|SWE|>agneta	a ŋ ² n eː t a
<|SWE|>aktie	a k t s ɪ ɛ
<|SWE|>aktuell	a k t ɵ ɛ l
<|SWE|>akut	a k ʉː t
<|SWE|>albin	¹ a l b ɪ n
<|SWE|>aldrig	a l d r i ɡ
<|SWE|>alkoholist	a l k ʊ h ʊ l ɪ s t
<|SWE|>allihop	a l ɪ h uː p
<|SWE|>allmän	a l m ɛ n
<|SWE|>allvarlig	a l v ɑː r l ɪ ɡ
<|SWE|>ambitiös	a m b i ɧ øː s
<|SWE|>ana	 ɑː n a
<|SWE|>and	a n d
<|SWE|>andra	a n d r a
<|SWE|>ansikte	a nː s ɪ k t ə
<|SWE|>anspråk	 a n s p r oː k
<|SWE|>ansvarig	 a n s v ɑː r ɪ ɡ
<|SWE|>antisemitism	a n t ɪ s ɛ m ɪ t ɪ s m
<|SWE|>arkiv	a r k iː v
<|SWE|>arrangemang	a r a n ɧ e m a ŋ
<|SWE|>arrangera	a r a n ɧ eː r a
<|SWE|>arsenik	a r s ɛ n iː k
<|SWE|>arton	 ɑː r t ɔ n
<|SWE|>arv	a r v
<|SWE|>as	ɑː s
<|SWE|>attack	a t a k
<|SWE|>avfärda	ɑː v f ɛ r d a
<|SWE|>avgå	 ɑː v ɡ oː
<|SWE|>avled	 ɑː v l eː d
<|SWE|>avseende	ɑː v s eː ɛ n d ɛ
<|SWE|>bad	b ɑː d
<|SWE|>bak	b ɑː k
<|SWE|>bakbord	b aː k b uː r d
<|SWE|>band	b a n d
<|SWE|>bank	b a ŋː k
<|SWE|>barnet	b ɑː r n ɛ t
<|SWE|>bas	b ɑː s
<|SWE|>bedrägeri	b ɛ d r ɛː ɡ ɛ r iː
<|SWE|>behov	b ɛ h uː v
<|SWE|>belgien	b ɛ l ɡ ɪ ɛ n
<|SWE|>berg	b ɛ r j
<|SWE|>berget	b ɛ r j ɛ t
<|SWE|>bergs	b ɛ r j s
<|SWE|>bert	b æ ʈ
<|SWE|>besökare	b ɛ s øː k a r ɛ
<|SWE|>betala	b ɛ t ɑː l a
<|SWE|>betyda	b ɛ ¹ t yː d a
<|SWE|>bilist	b ɪ l ɪ s t
<|SWE|>bill	b ɪ l
<|SWE|>bjuda	 b j ʉː d a
<|SWE|>blad	¹ b l ɑː d
<|SWE|>blandning	 b l a n d n i ŋ
<|SWE|>blev	b l eː v
<|SWE|>bli	b l iː
<|SWE|>blomqvist	 b l ʊ m k v ɪ s t
<|SWE|>blott	b l ɔ tː
<|SWE|>blåljus	b l oː j ʉː s
<|SWE|>bo	b uː
<|SWE|>boden	b uː d ɛ n
<|SWE|>bodil	¹ b uː d ɪ l
<|SWE|>bok	b uː k
<|SWE|>bokhandel	 b uː k h a n d ɛ l
<|SWE|>bord	b uː ɖ
<|SWE|>bordtennis	 b uː ɖ t ɛ n ɪ s
<|SWE|>bortaplan	 b ɔ r t a p l ɑː n
<|SWE|>bostad	 b uː s t ɑː d
<|SWE|>bov	b uː v
<|SWE|>brand	b r a n d
<|SWE|>bris	b r iː s
<|SWE|>brista	 b r ɪ sː t a
<|SWE|>bro	b r uː
<|SWE|>bron	b r uː n
<|SWE|>bröd	b r øː d
<|SWE|>bröt	b r øː t
<|SWE|>bur	b ʉː r
<|SWE|>buss	b ɵ s
<|SWE|>bär	b ɛː r
<|SWE|>båda	b oː d a
<|SWE|>bål	b oː l
<|SWE|>båt	b oː ə t
<|SWE|>böcker	¹ b ø kː ə r
<|SWE|>centimeter	s ɛ n t ɪ m eː t ɛ r
<|SWE|>charlotta	ɧ a r ² ɭ o t a
<|SWE|>charlotte	ɧ a ɭ o t
<|SWE|>dag	d ɑː ɡ
<|SWE|>damm	d a m
<|SWE|>dan	d ɑː n
<|SWE|>danmark	¹ d a n m a r k
<|SWE|>dansk	d a n s k
<|SWE|>danska	 d a n s k a
<|SWE|>december	d ɛ s ɛ m b ɛ r
<|SWE|>definition	d ɛ f ɪ n ɪ ¹ ɧ uː n
<|SWE|>dela	d eː l a
<|SWE|>dem	d ɔ m
<|SWE|>den	d ɛ nː
<|SWE|>denne	d ɛ nː ɛ
<|SWE|>dessa	d ɛ sː a
<|SWE|>dessutom	d e s ʉː t ɔ m
<|SWE|>detektiv	d ɛ t ɛ k t iː v
<|SWE|>dig	d ɛ j
<|SWE|>diskussion	d ɪ s k ɵ ɧ uː n
<|SWE|>djup	j ʉː p
<|SWE|>djupt	j ʉː p t
<|SWE|>djur	j ʉː r
<|SWE|>dock	d ɔ kː
<|SWE|>dog	d uː ɡ
<|SWE|>dra	d r ɑː
<|SWE|>dricka	 d r ɪ kː a
<|SWE|>dricker	d r ɪ kː e r
<|SWE|>droppen	d r ɔ pː ɛ n
<|SWE|>dryg	d r yː ɡ
<|SWE|>dröm	d r œ mː
<|SWE|>dubbel	d ɵ b ɛ l
<|SWE|>dyr	d yː r
<|SWE|>där	d ɛː r
<|SWE|>då	d oː
<|SWE|>dålig	d oː l ɪ ɡ
<|SWE|>dö	d øː
<|SWE|>död	d øː d
<|SWE|>döda	 d øː d a
<|SWE|>dölja	d œ l j a
<|SWE|>efter	ɛ f t ɛ r
<|SWE|>eftersom	 ɛ f t æ r s ɔ m
<|SWE|>ek	eː k
<|SWE|>elegant	ɛ l ɛ ɡ a n t
<|SWE|>elfte	ɛ l f t ɛ
<|SWE|>eller	ɛ l ɛ r
<|SWE|>elva	ɛ l v a
<|SWE|>enda	ɛ n d a
<|SWE|>engagera	a ŋ ɡ a ɧ eː r a
<|SWE|>engelska	e ŋ e l s k a
<|SWE|>enhetlig	eː n h eː t l ɪ ɡ
<|SWE|>enkel	ɛ ŋ k ɛ l
<|SWE|>ensam	 ɛ nː s a mː
<|SWE|>erkänna	eː r ɕ ɛ n a
<|SWE|>eskilstuna	ɛ̂ sː k ɪ l s t ʉː n a
<|SWE|>ett	ɛ t
<|SWE|>europé	ɛ r ʊ p eː
<|SWE|>fabrik	f a b r iː k
<|SWE|>fader	f ɑː d ɛ r
<|SWE|>fallskärm	f a l ɧ ɛ r m
<|SWE|>farlig	 f ɑː r l ɪ ɡ
<|SWE|>februari	f ɛ b r ɵ ɑː r ɪ
<|SWE|>fem	f ɛ m
<|SWE|>femton	f ɛ m t ɔ n
<|SWE|>fett	f ɛ t
<|SWE|>ficka	f ɪ kː a
<|SWE|>finger	f ɪ ŋː ɛ r
<|SWE|>finska	 f ɪ n s k a
<|SWE|>fisk	f ɪ s k
<|SWE|>fiske	 f ɪ s k ɛ
<|SWE|>fisken	f ɪ sː k ɛ n
<|SWE|>fjol	f j uː l
<|SWE|>flicka	f l ɪ kː a
<|SWE|>flickan	f l ɪ kː a n
<|SWE|>flickor	f l ɪ k ʊ r
<|SWE|>folkmusik	 f ɔ l k m ɵ s iː k
<|SWE|>fotboll	f uː t b ɔ l
<|SWE|>fram	f r a m
<|SWE|>framför	 f r a m f œː r
<|SWE|>franska	 f r a n s k a
<|SWE|>fred	f r eː d
<|SWE|>frihet	f r iː h eː t
<|SWE|>fru	f r ʉː
<|SWE|>frukt	f r ɵ k t
<|SWE|>främlingsfientlighet	 f r ɛ m l ɪ ŋ s f ɪ ɛ n t l ɪ ɡ h eː t
<|SWE|>fråga	f r oː ɡ a
<|SWE|>frånvaro	 f r oː n v ɑː r ʊ
<|SWE|>frös	f r øː s
<|SWE|>full	f ɵ l
<|SWE|>fungera	f ɵ ŋ ɡ eː r a
<|SWE|>fusk	f ɵ s k
<|SWE|>fyr	f yː r
<|SWE|>färg	f ɛ r j
<|SWE|>färsk	f ɛ r s k
<|SWE|>får	f oː r
<|SWE|>fåtal	 f oː t ɑː l
<|SWE|>förbruka	f œ r b r ʉː k a
<|SWE|>förbundskapten	f œ r ² b ɵ n d s k a p t eː n
<|SWE|>förena	f œ r eː n a
<|SWE|>förening	f œ r eː n ɪ ŋ
<|SWE|>förgäves	f œ r j ɛː v ɛ s
<|SWE|>förrän	f œ r ɛ n
<|SWE|>försiktighet	f øː r s ɪ k t ɪ ɡ h eː t
<|SWE|>förstöra	f œ ʂ ʈ œː r a
<|SWE|>försvarstal	f œ r ² s v ɑː r s t ɑː l
<|SWE|>förvärras	f œ̞ r v æ r a s
<|SWE|>förälder	f œ r ¹ ɛ l d æ r
<|SWE|>förälskelse	f œ r ɛ l s k ɛ l s ɛ
<|SWE|>gammal	 ɡ a mː a l
<|SWE|>gav	ɡ ɑː v
<|SWE|>ge	j eː
<|SWE|>genren	ɧ a ŋ ɛ r n
<|SWE|>georg	j eː ɔ r j
<|SWE|>DEU	j eː r
<|SWE|>gjorde	j ʊ ɖ ɛ
<|SWE|>gjort	j ʊ ʈ
<|SWE|>gjuta	 j ʉː t a
<|SWE|>glatt	ɡ l a tː
<|SWE|>glögg	ɡ l œ ɡ
<|SWE|>gott	ɡ ɔ t
<|SWE|>green	ɡ r iː n
<|SWE|>grej	ɡ r ɛ j
<|SWE|>grekland	ɡ r eː k l a n d
<|SWE|>grep	ɡ r eː p
<|SWE|>gross	ɡ r ɔ s
<|SWE|>grund	ɡ r ɵ n d
<|SWE|>grät	ɡ r ɛː t
<|SWE|>grön	ɡ r øː n
<|SWE|>gud	ɡ ʉː d
<|SWE|>gula	 ɡ ʉː l a
<|SWE|>guld	ɡ ɵ l d
<|SWE|>gym	j ʏ m
<|SWE|>gärna	 j ɛː r n a
<|SWE|>gävle	j ɛː v l ɛ
<|SWE|>gång	ɡ ɔ ŋ
<|SWE|>göran	j øː r a n
<|SWE|>hade	 h a dː ɛ
<|SWE|>haft	h a f t
<|SWE|>hall	h a l
<|SWE|>halv	h a l v
<|SWE|>halvlek	 h a l v l eː k
<|SWE|>hand	h a n d
<|SWE|>hans	h ɑː n s
<|SWE|>hantverk	h a n t v ɛ r k
<|SWE|>har	h ɑː r
<|SWE|>hat	h ɑː t
<|SWE|>hav	h ɑː v
<|SWE|>heat	h iː t
<|SWE|>hej	h ɛ jː
<|SWE|>hel	h eː l
<|SWE|>helig	h eː l ɪ ɡ
<|SWE|>helsingborg	h ɛ l s ɪ ŋ b ɔ r j
<|SWE|>helsingfors	h ɛ l s ɪ ŋ f ɔ r s
<|SWE|>hemester	h ɛ m ɛ s t ɛ r
<|SWE|>hemmaplan	 h ɛ m a p l ɑː n
<|SWE|>henne	h ɛ nː ɛ
<|SWE|>herr	h ɛ r
<|SWE|>heta	h eː t a
<|SWE|>hitta	h ɪ t a
<|SWE|>hjälp	j ɛ l p
<|SWE|>holm	h ɔ l m ɛ
<|SWE|>honom	h ɔ nː ɔ m
<|SWE|>hoppa	h ɔ p a
<|SWE|>hot	h uː t
<|SWE|>hotell	h ʊ t ɛ lː
<|SWE|>hud	h ʉː d
<|SWE|>humle	h ɵ m l ɛ
<|SWE|>hund	h ɵ n d
<|SWE|>hundra	h ɵ n d r a
<|SWE|>hungrig	h ɵ ŋ r ɪ ɡ
<|SWE|>hur	h ʉː r
<|SWE|>hus	h ʉː s
<|SWE|>hustru	h ɵ̄ sː t r ʉ̂ː
<|SWE|>hygglig	h ʏ ɡ l ɪ ɡ
<|SWE|>hylla	h ʏ lː a
<|SWE|>häl	h ɛː l
<|SWE|>häll	h ɛ l
<|SWE|>här	h æː r
<|SWE|>härlig	h ɛː r l ɪ ɡ
<|SWE|>hårt	h oː ʈ
<|SWE|>hö	h øː
<|SWE|>hög	h øː ɡ
<|SWE|>höga	h øː ɡ a
<|SWE|>högljudd	 h øː ɡ j ɵ d
<|SWE|>höst	h œ s t
<|SWE|>höstas	 h œ s t a s
<|SWE|>idrott	 iː d r ɔ t
<|SWE|>igelkott	iː ɡ ɛ l k ɔ t
<|SWE|>ihjäl	ɪ j ɛː l
<|SWE|>ihop	ɪ h uː p
