aare	ɑ ɹ ə
minyans	m ɪ n a ɪ ə n z
miserly	m a ɪ z ə ɹ l i
misoprostol	m a ɪ s o ʊ p ɹ ɑ s t ɔ l
mithraeum	m ɪ θ ɹ i ə m
mizo	m ɪ z o ʊ
mnemotechnical	n ɛ m o ʊ t ɛ k n ɪ k ə l
moan	m o ʊ n
modus	m o ʊ d ə s
mogwai	m ɔ ɡ w a ɪ
moil	m ɔ ɪ l
molestation	m o ʊ l ɪ s t e ɪ ʃ ə n
montpellier	m ɔ n p ɛ l i e ɪ
montseny	m ɔ n t s e ɪ n
moonwalk	m u n w ɔ k
morass	m ə ɹ æ s
mosey	m o ʊ z i
motel	m o ʊ t ɛ l
mowed	m o ʊ d
mud	m ʌ d
mundialization	m ɑ n d i ə l ə z e ɪ ʃ ə n
munificence	m j u n ɪ f ɪ s ə n s
mussolini	m ʊ s ə l i n i
mutable	m j u t ə b l̩
myob	ɛ m w a ɪ o ʊ b i
myoglobinemia	m a ɪ o ʊ ɡ l o ʊ b ɪ n i m i ə
mystic	m ɪ s t ɪ k
nanterre	n ɑ n t ɛ ɹ
narrowly	n ɛ ɹ o ʊ l i
nate	n e ɪ t
nazareth	n æ z ə ɹ ə θ
ncaa	ɛ n s i e ɪ e ɪ
neb	n ɛ b
nectar	n ɛ k t ə ɹ
need	n i d
needful	n i d f ə l
negus	n i ɡ ə s
nephite	n i f a ɪ t
nepotic	n ə p ɔ t ɪ k
nervy	n ɝ v i
netter	n ɛ t ə ɹ
neville	n ɛ v ə l
newman	n u m ə n
nifurtimox	n a ɪ f ɝ t ɪ m ɑ k s
niggery	n ɪ ɡ ə ɹ i
niobium	n a ɪ o ʊ b i ə m
nithing	n a ɪ ð ɪ ŋ
nob	n ɑ b
nominalize	n ɑ m ə n ə l a ɪ z
noscapine	n ɑ s k ə p i n
numinous	n j u m ə n ə s
obliviality	ə b l ɪ v i æ l ɪ t i
occupied	ɑ k j ə p a ɪ d
octad	ɑ k t æ d
octobers	ɑ k t o ʊ b ɚ z
octosyllabic	ɑ k t o ʊ s ɪ l æ b ɪ k
octyne	ɔ k t a ɪ n
ok	o ʊ k e ɪ
olson	o ʊ l s ə n
omohyoid	o ʊ m o ʊ h a ɪ ɔ ɪ d
onchocerciasis	ɔ ŋ k ə s ɜ k a ɪ ə s ɪ s
oneirocritic	o ʊ n a ɪ ɹ ə k ɹ ɪ t ɪ k
onymous	ɑ n ɪ m ə s
oov	u v
openly	o ʊ p ə n l i
orangeat	ɔ ɹ æ n ʒ æ t
orfe	ɔ f
organum	ɔ ɹ ɡ ə n ə m
orotundity	ɔ ɹ ə t ʌ n d ɪ t i
ostentation	ɔ s t ə n t e ɪ ʃ ə n
ostrichism	ɑ s t ɹ i t͡ʃ ɪ z ə m
otira	o ʊ t ɪ ɹ ɑ
ouguiya	u ɡ i j ə
overact	o ʊ v ə ɹ æ k t
overdraft	o ʊ v ɚ d ɹ æ f t
overlive	o ʊ v ə ɹ l ɪ v
overproof	o ʊ v ɚ p ɹ u f
oversolicitous	o ʊ v ɚ s ə l ɪ s ɪ ɾ ə s
overspecialization	o ʊ v ɚ s p ɛ ʃ ə l ɪ z e ɪ ʃ n̩
overview	o ʊ v ə ɹ v j u
oxymethazoline	ɑ k s ɪ m ə θ æ z ə l i n
paan	p ɑ n
packet	p æ k ɪ t
paint	p e ɪ n t
paladin	p æ l ə d ɪ n
palau	p ə l a ʊ
pantheists	p æ n t h i ĭ s t s
paraenesis	p ə ɹ i n ɪ s ɪ s
paramour	p æ ɹ ə m ɔ ɹ
parchment	p ɑ ɹ t͡ʃ m ə n t
parfilage	p ɑ ɹ f ɪ l ɑ ʒ
participation	p ɑ ɹ t ɪ s ɪ p e ɪ ʃ ə n
passively	p æ s ɪ v l i
pater	p e ɪ t ɚ
patientive	p e ɪ ʃ ə n t ɪ v
patroon	p ə t ɹ u n
paving	p e ɪ v ɪ ŋ
peach	p i t͡ʃ
peacocking	p i k ɑ k ɪ ŋ
peasants	p ɛ z ə n t s
pebbles	p ɛ b ə l z
peck	p ɛ k
peddle	p ɛ d ə l
pee	p i
peeves	p i v z
peptics	p ɛ p t ɪ k s
periegete	p ɛ ɹ i ə d͡ʒ i t
periodical	p ɪ ɹ i ɑ d ɪ k l̩
pert	p ɝ t
perth	p ɝ θ
pestled	p ɛ s ə l d
petalous	p ɛ t ə l ə s
phillip	f ɪ l ɪ p
phosphorus	f ɑ s f ɚ ə s
picnics	p ɪ k n ɪ k s
piles	p a ɪ l z
pima	p i m ə
pincer	p ɪ n s ə ɹ
piquing	p i k ɪ ŋ
pishogue	p ɪ ʃ o ʊ ɡ
pixie	p ɪ k s i
placed	p l e ɪ s t
placenta	p l ə s ɛ n t ə
plane	p l e ɪ n
pleat	p l i t
plectrum	p l ɛ k t ɹ ə m
plogging	p l ɔ ɡ ɪ ŋ
pluck	p l ʌ k
pluranimous	p l ʊ ɹ æ n ɪ m ə s
pococurantism	p o ʊ k o ʊ k j ʊ ɹ æ n t ɪ z ə m
pooped	p u p t
pork	p ɔ ɹ k
portentously	p ɔ t e n t ə s l i
portrayal	p ɔ ɹ t ɹ e ɪ ə l
positivism	p ɑ z ɪ t ɪ v ɪ z m
posology	p ə z ɑ l ə d͡ʒ i
prate	p ɹ e ɪ t
predilection	p ɹ ɛ d ə l ɛ k ʃ n̩
preengage	p r i ɪ n ɡ e ɪ d͡ʒ
prefer	p ɹ ɪ f ɝ
preke	p ɹ i k
prelect	p ɹ ɪ l ɛ k t
preoccupy	p ɹ i ɑ k j u p a ɪ
presented	p ɹ ɪ z ɛ n t ɪ d
presuit	p ɹ ɪ s j u t
prised	p ɹ a ɪ z d
probability	p ɹ ɑ b ə b ɪ l ɪ ɾ i
procedures	p ɹ ə s i d͡ʒ ɚ s
proceeded	p ɹ ə s i d ɪ d
profuseness	p ɹ o ʊ f j u s n ə s
prognosis	p ɹ ɑ ɡ n o ʊ s ɪ s
proposed	p ɹ ə p o ʊ z d
prosaism	p ɹ o ʊ z e ɪ ɪ z ə m
provide	p ɹ ə v a ɪ d
prowl	p ɹ a ʊ l
proximity	p ɹ ɑ k s ɪ m ɪ t i
psaki	s ɑ k i
psych	s a ɪ k
ptolemaic	t ɑ l ə m e ɪ ɪ k
publican	p ʌ b l ɪ k ə n
puffy	p ʌ f i
pug	p ʌ ɡ
pullulate	p ʌ l j ʊ l e ɪ t
punishings	p ʌ n ɪ ʃ ɪ ŋ z
pyramidal	p ɪ ɹ æ m ɪ d l̩
quadriplegia	k w ɑ d ɹ ɪ p l i d͡ʒ ə
quarl	k w ɔ ɹ l
queerdar	k w ɪ ɹ d ɑ ɹ
quicksilver	k w ɪ k s ɪ l v ɚ
quintillionth	k w ɪ n t ɪ l i ə n θ
rach	ɹ e ɪ t͡ʃ
rains	ɹ e ɪ n z
rapunzel	ɹ ə p ʌ n z ə l
rats	ɹ æ t s
rattail	ɹ æ t t e ɪ l
ravage	ɹ æ v ɪ d͡ʒ
ravel	ɹ æ v ə l
ravening	ɹ æ v ə n ɪ ŋ
reaction	ɹ i æ k ʃ ə n
reap	ɹ i p
reason	ɹ i z ə n
rebellion	ɹ ɪ b ɛ l i ə n
recalcitrance	ɹ ɪ k æ l s ɪ t ɹ ə n s
receivability	ɹ ə s i v ɑ b ɪ l ɪ t i
recrimination	ɹ i k ɹ ɪ m ə n e ɪ ʃ ə n
recto	ɹ ɛ k t o ʊ
redebug	ɹ i d i b ʌ ɡ
redig	ɹ i d ɪ ɡ
reduce	ɹ ɪ d u s
regarding	ɹ ɪ ɡ ɑ ɹ d ɪ ŋ
regulating	ɹ ɛ ɡ j ə l e ɪ t ɪ ŋ
regurgitate	ɹ ɪ ɡ ɝ d͡ʒ ə t e ɪ t
relation	ɹ ɪ l e ɪ ʃ ə n
religiosity	ɹ ɪ l ɪ d͡ʒ ɪ ɑ s ə t i
remover	ɹ ɪ m u v ɚ
remunerative	ɹ ɪ m j u n ə ɹ ə t ɪ v
renverse	ɹ ɪ n v ɜ ɹ s
repug	ɹ ə p ə ɡ
reverent	ɹ ɛ v ɹ ə n t
revolt	ɹ ɪ v o ʊ l t
rhodium	ɹ o ʊ d i ə m
rich	ɹ ɪ t͡ʃ
ridotto	ɹ ə d o ʊ t o ʊ
roughly	ɹ ʌ f l i
rubato	r ə b ɑ t o ʊ
ruism	ɹ u ɪ z ə m
running	ɹ ʌ n ɪ ŋ
ruption	ɹ ʌ p ʃ ə n
ruritanian	ɹ ʊ ɹ ɪ t e ɪ n i ə n
sacrament	s æ k ɹ ə m ə n t
sagacious	s ə ɡ e ɪ ʃ ə s
sailor	s e ɪ l ɚ
sakhalin	s æ k ə l i n
salmon	s æ m ə n
sambadrome	s æ m b ə d ɹ o ʊ m
sancerre	s ɔ̃ n s ɛ ɹ
sandy	s æ n d i
sappho	s æ f o ʊ
sardinia	s ɑ ɹ d ɪ n i ə
sardonyx	s ɑ ɹ d ɔ n ɪ k s
saunter	s ɔ n t ɚ
savings	s e ɪ v ɪ ŋ z
savoy	s ə v ɔ ɪ
scab	s k æ b
scale	s k e ɪ l
scanty	s k æ n t i
schlepps	ʃ l ɛ p s
schmooze	ʃ m u z
scholarship	s k ɑ l ə ɹ ʃ ɪ p
scramble	s k ɹ æ m b l̩
scriptings	s k ɹ ɪ p t ɪ ŋ s
scrofula	s k ɹ ɔ f j ə l ə
scrotum	s k ɹ o ʊ t ə m
scrubber	s k ɹ ʌ b ɚ
seal	s i l
sedge	s ɛ d͡ʒ
seemer	s i m ə ɹ
seemly	s i m l i
seems	s i m z
selfish	s ɛ l f ɪ ʃ
semipermeable	s ɛ m i p ɜ ɹ m i ə b ə l
sensitive	s ɛ n s ɪ t ɪ v
sentence	s ɛ n t ə n s
sephirah	s ə f ɪ ɹ ə
sept	s ɛ p t
septendecillion	s ɛ p t ə n d ə s ɪ l i ə n
sequela	s ɪ k w i l ə
sextant	s ɛ k s t ə n t
shamed	ʃ e ɪ m d
shamefully	ʃ e ɪ m f ə l i
share	ʃ ɛ ɹ
shed	ʃ ɛ d
sheen	ʃ i n
shells	ʃ ɛ l z
shergottite	ʃ ɚ ɡ ə t a ɪ t
shits	ʃ ɪ t s
shorn	ʃ ɔ ɹ n
shout	ʃ a ʊ t
showing	ʃ o ʊ ɪ ŋ
shrubby	ʃ ɹ ʌ b i
shrugged	ʃ ɹ ʌ ɡ d
shtetl	ʃ t ɛ t ə l
sibred	s ɪ b ɹ ə d
sibsey	s ɪ b z i
sideways	s a ɪ d w e ɪ z
sig	s ɪ ɡ
signary	s ɪ ɡ n ə ɹ i
singularity	s ɪ ŋ ɡ j ə l æ ɹ ə t ɪ
sketchy	s k ɛ t͡ʃ i
skiddy	s k ɪ d i
skilled	s k ɪ l d
skirl	s k ɜ l
skunk	s k ʌ ŋ k
skysill	s k a ɪ s ɪ l
slack	s l æ k
slashy	s l æ ʃ i
sleiveen	s l i v i n
slogan	s l o ʊ ɡ ə n
slowworm	s l o ʊ w ɜ ɹ m
sluff	s l ʌ f
slushy	s l ʌ ʃ i
smicker	s m ɪ k ə ɹ
smokehouse	s m o ʊ k h a ʊ s
smollett	s m ɑ l ə t
smorc	s m ɔ ɹ k
snapin	s n æ p ɪ n
snelly	s n ɛ l i
snippety	s n ɪ p ɪ t i
socking	s ɑ k ɪ ŋ
socle	s o ʊ k ə l
soiree	s w ɑ ɹ e ɪ
somnifacient	s ɑ m n ə f e ɪ ʃ ə n t
soprano	s ə p ɹ æ n o ʊ
sorbet	s ɔ ɹ b e ɪ
spac	s p æ k
spasmodic	s p æ z m ɑ d ɪ k
spathe	s p e ɪ ð
spean	s p i n
specifier	s p ɛ s ə f a ɪ ɚ
speedboat	s p i d b o ʊ t
spelunks	s p ɪ l ʌ ŋ k s
spidey	s p a ɪ d i
spilt	s p ɪ l t
spim	s p ɪ m
spinner	s p ɪ n ɚ
spiral	s p a ɪ ɹ ə l
splunk	s p l ʌ ŋ k
splutter	s p l ʌ t ɚ
sporty	s p ɔ ɹ t i
sprayed	s p ɹ e ɪ d
sql	ɛ s k j u ɛ l
squarely	s k w ɛ ɹ l i
stan	s t æ n
stared	s t ɛ ɹ d
stationed	s t ɛ ɪ ʃ ə n d
stave	s t e ɪ v
stenoses	s t ɛ n o ʊ s i z
stephanie	s t ɛ f ə n i
sterns	s t ɜ ɹ n z
stethoscope	s t ɛ θ ə s k o ʊ p
stheno	s θ ɛ n o ʊ
stiff	s t ɪ f
stiletto	s t ə l ɛ t o ʊ
stork	s t ɔ ɹ k
strain	s t ɹ e ɪ̯ n
strained	s t ɹ e ɪ̯ n d
strake	s t ɹ e ɪ k
strigate	s t ɹ ɪ ɡ ə t
strumpet	s t ɹ ʌ m p ɪ t
stun	s t ʌ n
stutter	s t ʌ ɾ ɚ
subdivide	s ʌ b d ɪ v a ɪ d
succedaneum	s ʌ k s ɪ d e ɪ n ɪ ə m
succeeding	s ə k s i d ɪ ŋ
successive	s ə k s ɛ s ɪ v
sucky	s ʌ k i
suds	s ʌ d z
suffer	s ʌ f ɚ
suifenhe	s w e ɪ f ʌ n h ʌ
sulfamethoxazole	s ʌ l f ə m ɛ θ ɑ k s ə z o ʊ l
summon	s ʌ m ə n
summons	s ʌ m ə n z
sunfish	s ʌ n f ɪ ʃ
sunspot	s ʌ n s p ɑ t
superannuate	s u p ə ɹ æ n j u e ɪ t
suprasternal	s u p ɹ ə s t ɜ n ə l
swam	s w æ m
swell	s w ɛ l
synechia	s ɪ n ɛ k i ə
synomone	s ɪ n ə m o ʊ n
systems	s ɪ s t ə m z
taco	t ɑ k o ʊ
talents	t æ l ə n t s
tammy	t æ m i
tankard	t æ ŋ k ɚ d
tariff	t ɛ ɹ ɪ f
tarnation	t ɑ ɹ n e ɪ ʃ ə n
tass	t æ s
teetotaling	t i t o ʊ t ə l ɪ ŋ
teh	t ɛ
telekong	t ə l ə k o ŋ
telekung	t ə l ə k u ŋ
teleophyte	t ɛ l i o ʊ f a ɪ t
telepathetic	t ɛ l ə p ə t h ɛ t ɪ k
telepathetically	t ɛ l ə p ə θ ɛ t ɪ k l i
telmisartan	t ɛ l m ɪ s ɑ ɹ t ə n
tenecteplase	t ə n ɛ k t ə p l e ɪ s
tenent	t ɛ n ɛ n t
tennessine	t ɛ n ə s i n
tense	t ɛ n s
tenure	t ɛ n j ɚ
termagant	t ɚ m ə ɡ ə n t
terminate	t ɝ m ɪ n e ɪ t
tetraoxanes	t ɛ t ɹ ə ɔ k s e ɪ n z
thad	θ æ d
thalia	θ ə l a ɪ ə
tham	t ʌ m
thatcherite	θ æ t͡ʃ ə ɹ a ɪ t
thereto	ð ɛ ɚ t u
theseus	θ i s i ə s
thiol	θ a ɪ ɔ l
thought	θ ɔ t
thrace	θ ɹ e ɪ s
threatened	θ ɹ ɛ t n̩ d
threatening	θ ɹ ɛ t n̩ ɪ ŋ
thrombospondin	θ ɹ ɑ m b o ʊ s p ɑ n d ɪ n
thrusts	θ ɹ ʌ s t s
tie	t a ɪ
tigris	t a ɪ ɡ ɹ ɪ s
timber	t ɪ m b ɚ
timorous	t ɪ m ə ɹ ə s
tint	t ɪ n t
titan	t a ɪ t ə n
tonicity	t ə n ɪ s ɪ t i
tooter	t u t ə r
toothy	t u θ i
topeka	t ə p i k ə
topology	t ə p ɑ l ə d͡ʒ i
toque	t o ʊ k
torah	t ɔ ɹ ɑ
tornado	t ɔ ɹ n e ɪ d o ʊ
touchdown	t ʌ t͡ʃ d a ʊ n
traitor	t ɹ e ɪ t ɚ
transcendence	t ɹ æ n t s ɛ n d ə n s
transwell	t ɹ æ n z w ɛ l
tray	t ɹ e ɪ
tregear	t ɹ ə ɡ ɪ ə ɹ
triamterene	t ɹ a ɪ æ m t ə ɹ i n
triathlon	t ɹ a ɪ æ θ l ɔ n
trifecta	t ɹ a ɪ f ɛ k t ə
trig	t ɹ ɪ ɡ
trinketry	t ɹ ɪ ŋ k ɪ t ɹ i
triptote	t ɹ ɪ p t o ʊ t
tritone	t͡ʃ ɹ a ɪ t o ʊ n
trowel	t ɹ a ʊ ə l
tsipouro	t s ɪ p ʊ ɹ o ʊ
tugboat	t ʌ ɡ b o ʊ t
tumbrel	t ʌ m b ɹ ə l
tunes	t j ʉː n s
tunis	t u n ə s
turkman	t ɜ ɹ k m ə n
tweeter	t w i t ɚ
twite	t w a ɪ t
typing	t a ɪ p ɪ ŋ
tyres	t a ɪ ə ɹ z
ultramarine	ʌ l t ɹ ə m ə ɹ i n
umgang	ʌ m ɡ a ŋ
unbeknownst	ʌ n b ɪ n o ʊ n s t
uncaged	ʌ n k e ɪ d͡ʒ d
underarm	ʌ n d ɚ ɑ ɹ m
unexpectedly	ʌ n ɪ k s p ɛ k t ɪ d l i
unfriendly	ʌ n f ɹ ɛ n d l i
unvitiated	ʌ n v ɪ ʃ i e ɪ t ɪ d
uphold	ʌ p h o l d
uptalking	ə p t ɔ k ɪ ŋ
urethra	j ʊ ɹ i θ ɹ ə
uterus	j u t ə ɹ ə s
uxoricide	ʌ k s ɔ ɹ ɪ s a ɪ d
valiant	v æ l j ə n t
valleys	v æ l i z
vancomycin	v æ ŋ k ə m a ɪ s ɪ n
vanish	v æ n ɪ ʃ
vaticination	v ə t ɪ s ɪ n e ɪ ʃ ə n
vega	v e ɪ ɡ ə
vegeburger	v ɛ d͡ʒ i b ɜ ɹ ɡ ə ɹ
vegetal	v ɛ d͡ʒ ɪ̈ t l̩
venda	v ɛ n d ə
verdure	v ɜ d͡ʒ ɚ
veridical	v ə ɹ ɪ d ɪ k ə l
vetter	v ɛ t ɚ
vicegerency	v a ɪ s d͡ʒ ɪ ə ɹ ə n t s i
victories	v ɪ k t ə ɹ i z
vig	v ɪ ɡ
vigil	v ɪ d͡ʒ ə l
vigneron	v i n j ə ɹ ɔ̃
violoncello	v a ɪ ə l ə n t͡ʃ ɛ l o ʊ
virtuous	v ɝ t͡ʃ u ə s
vivid	v ɪ v ɪ d
vivifying	v ɪ v ɪ f ʌ ɪ ŋ
volley	v ɔ l i
voltaic	v ɔ l t e ɪ ɪ k
wabash	w ɑ b æ ʃ
wack	w æ k
wallaby	w ɑ l ə b i
wasp	w ɑ s p
watercress	w ɔ t ə ɹ k ɹ ɛ s
weaken	w i k ə n
weaponize	w ɛ p ə n a ɪ z
welly	w ɛ l i
welwyn	w ɛ l ɪ n
whiffle	w ɪ f l̩
whooshy	w u ʃ i
wicky	w ɪ k i
wilton	w ɪ l t ə n
windage	w ɪ n d ɪ d͡ʒ
wiper	w a ɪ p ɚ
woken	w o ʊ k ə n
woman	w ʊ m ə n
wonder	w ʌ n d ɚ
woundable	w u n d ə b ə l
wrexham	ɹ ɛ k s ə m
wushu	w u ʃ u
xining	ʃ i n ɪ ŋ
yare	j ɛ ɹ
yeovil	j o ʊ v ɪ l
yerevanian	j e ɹ ə v ɑ n i ə n
yeung	j ʌ ŋ
yoicks	j ɔ ɪ k s
yonic	j o ʊ n ɪ k
zelensky	z ɪ l ɛ n s k i
zetetic	z ə t ɛ t ɪ k
zine	z i n
zinefan	z i n f æ n
zipper	z ɪ p ɚ
ziti	z i t i
zoologist	z o ʊ ɑ l ə d͡ʒ ɪ s t
