aare	ɑ ɹ ə
cortisone	k ɔ ɹ t ɪ s o ʊ n
corunna	k ə ɹ ʌ n ə
cosmogony	k ɔ z m ɔ ɡ ə n i
cosmopolis	k ɔ z m ɔ p ɔ l ɪ s
costamere	k ɑ s t ə m ɪ ɹ
costive	k ɑ s t ɪ v
cotulla	k ə t j u l ə
coulisse	k u l i s
counterintuitive	k a ʊ n t ə ɹ ɪ n t u ɪ t ɪ v
counterplot	k a ʊ n t ɚ p l ɑ t
counterpoise	k a ʊ n t ə ɹ p ɔ ɪ z
countryside	k ʌ n t ɹ i s a ɪ d
countrywide	k ʌ n t ɹ i w a ɪ d
couple	k ʌ p ə l
courageous	k ə ɹ e ɪ d͡ʒ ə s
courtship	k ɔ ɹ t͡ʃ ɪ p
cowan	k a ʊ ə n
cowbell	k a ʊ b ɛ l
cowered	k a ʊ ɚ d
cowrie	k a ʊ ɹ i
cozenage	k ʌ z ə n ɪ d͡ʒ
crane	k ɹ e ɪ n
crare	k ɹ ɛ ɹ
craze	k ɹ e ɪ z
creak	k ɹ i k
creaked	k ɹ i k t
cream	k ɹ i m
creator	k ɹ i e ɪ t ɚ
cred	k ɹ ɛ d
credibility	k ɹ ɛ d ə b ɪ ɫ ɪ t i
creepshot	k ɹ i p ʃ ɔ t
creolization	k ɹ i ə ʊ̆ l a ɪ z e ɪ ʃ ə̆ n
crewmember	k ɹ u m ɛ m b ɚ
criminalistic	k ɹ ɪ m ɪ n ə l ɪ s t ɪ k
cringed	k ɹ ɪ n d͡ʒ d
croft	k ɹ ɔ f t
crogglement	k ɹ ɔ ɡ ə l m ə n t
cronut	k ɹ o ʊ n ʌ t
crosne	k ɹ o ʊ n
crossed	k ɹ ɔ s t
crossfire	k ɹ ɔ s f a ɪ ɹ
crotch	k ɹ ɑ t͡ʃ
crowings	k ɹ o ʊ ɪ ŋ z
cruise	k ɹ u z
cruisings	k ɹ u z ɪ ŋ z
crumbs	k ɹ ʌ m z
crustings	k ɹ ʌ s t ɪ ŋ z
cruz	k ɹ u z
crystalline	k ɹ ɪ s t ə l a ɪ n
css	s i ɛ s ɛ s
csx	s i ɛ s ɛ k s
cuds	k ʌ d z
cued	k j u d
culled	k ʌ l d
culls	k ʌ l z
cumbernauld	k ʌ m b ə ɹ n ɔ l d
cumulation	k j u m j ə l e ɪ ʃ ə n
curia	k j u ɹ i ə
cusps	k ʌ s p s
cutlery	k ʌ t l ə ɹ i
cycles	s a ɪ k ə l z
cyclone	s a ɪ k l o ʊ n
cylindrical	s ɪ l ɪ n d ɹ ɪ k ə l
cynganeddion	k ə ŋ ə n ɛ ð j ə n
cypriot	s ɪ p ɹ i ə t
cyprus	s a ɪ p ɹ ə s
cytonuclear	s a ɪ t o n u k l i ɚ
daddy	d æ d i
daftness	d æ f t n ə s
dalry	d æ l ɹ a ɪ
dames	d e ɪ m z
dams	d æ m z
damsel	d æ m z ə l
dan	d æ n
danae	d æ n e ɪ i
danbo	d æ n b o ʊ
dapagliflozin	d æ p ə ɡ l ə f l o ʊ z ɪ n
darken	d ɑ ɹ k ə n
darth	d ɑ ɹ θ
darvel	d ɑ ɹ v ə l
davis	d e ɪ v ɪ s
dawk	d ɔ k
dawson	d ɔ s ə n
daylights	d e ɪ l a ɪ t s
dazy	d e ɪ z i
deadline	d ɛ d l a ɪ n
deaths	d ɛ θ s
debasement	d ɪ b e ɪ s m ə n t
decadent	d ɛ k ə d ə n t
decarceration	d i k ɑ ɹ s ə ɹ e ɪ ʃ ə n
december	d ɪ s ɛ m b ə ɹ
decim	d ɛ s ɪ m
declan	d ɛ k l ə n
deconcatenate	d i k ə n k æ t ə n e ɪ t
dedovshchina	dʲ ɪ d ɐ f ɕː i n ə
deepest	d i p ɪ s t
defcon	d ɛ f k ɑ n
deftly	d ɛ f t l i
degrees	d ɪ ɡ ɹ i z
dehydration	d i h a ɪ d ɹ e ɪ ʃ ə n
dehymenization	d i h a ɪ m ə n a ɪ z e ɪ ʃ ə n
deictic	d a ɪ k t ɪ k
deirdre	d ɪ ɹ d ɹ ə
delam	d i l æ m
delavirdine	d ɛ l ə v ɪ ɹ d i n
deluxe	d ə l ʌ k s
demonstratable	d ɛ m ə n s t ɹ e ɪ t ə b l
demur	d ɪ m ɝ
demurral	d ɪ m ɝ ə l
denali	d i n ɑ l i
denotes	d ɪ n o ʊ t s
denouement	d e ɪ n u m ɑ̃
dentiparous	d ɛ n t ɪ p ə ɹ ə s
deontic	d i ɔ n t ɪ k
departed	d ɪ p ɑ ɹ t ɪ d
deplore	d ɪ p l ɔ ɹ
depress	d ɪ p ɹ ɛ s
depuration	d ɛ p j ʊ ɹ e ɪ ʃ ə n
derelict	d ɛ ɹ ə l ɪ k t
deride	d ɪ ɹ a ɪ d
dermic	d ɜ ɹ m ɪ k
dernful	d ɜ ɹ n f ə l
deshler	d ɛ ʃ l ə ɹ
desiccation	d ɛ s ɪ k e ɪ ʃ ə n
desires	d ɪ z a ɪ ɹ z
desmond	d ɛ z m ə n d
despairing	d ɪ s p ɛ ɹ ɪ ŋ
despot	d ɛ s p ə t
detraction	d ɪ t ɹ æ k ʃ ə n
devious	d i v i ə s
devote	d ɪ v o ʊ t
dewberry	d u b ɛ ɹ i
dexterity	d ɛ k s t ɛ ɹ ɪ t i
dexterous	d ɛ k s t ɹ ə s
dextrin	d ɛ k s t ɹ ɪ n
dezh	d ɛ ʒ
dialog	d a ɪ ə l ɑ ɡ
dialogical	d a ɪ ə l ɑ d͡ʒ ɪ k ə ɫ
diastema	d a ɪ ə s t i m ə
diathetic	d a ɪ ə θ ə t ɪ k
diatom	d a ɪ ə t ɑ m
dicked	d ɪ k t
dictionary	d ɪ k ʃ ə n ɛ ɹ i
diddest	d ɪ d ɛ s t
dido	d a ɪ d o ʊ
didst	d ɪ d s t
diedre	d ɪ ə d r i
diener	d i n ə ɹ
dietitian	d a ɪ ə t ɪ ʃ ə n
difenoxin	d a ɪ f ə n ɑ k s ɪ n
different	d ɪ f ə ɹ ə n t
difficulties	d ɪ f ɪ k ə l t i z
digger	d ɪ ɡ ɚ
dilapidation	d ə l æ p ə d e ɪ ʃ ə n
diltiazem	d ɪ l t a ɪ ə z ɛ m
dimmer	d ɪ m ə ɹ
dimp	d ɪ m p
dims	d ɪ m z
dinning	d ɪ n ɪ ŋ
dinton	d ɪ n t ə n
diocese	d a ɪ ə s ɪ s
diploe	d ɪ p l o ʊ i
diplomatic	d ɪ p l ə m æ t ɪ k
dirigent	d ɪ ɹ ɪ d͡ʒ ə n t
disadvantage	d ɪ s ə d v æ n t ɪ d͡ʒ
disaster	d ɪ z æ s t ɚ
disavow	d ɪ s ə v a ʊ
disburden	d ɪ s b ɜ ɹ d ə n
discernible	d ɪ s ɝ n ɪ b l̩
discernibly	d ɪ s ɜ ɹ n ɪ b l i
discerning	d ɪ s ɝ n i ŋ
disciple	d ɪ s a ɪ p l̩
disco	d ɪ s k o ʊ
discography	d ɪ s k ɑ ɡ ɹ ə f i
disconnection	d ɪ s k ə n ɛ k ʃ ə n
discretionary	d ɪ s k ɹ ɛ ʃ ə n ɛ ɹ i
discriminatory	d ɪ s k ɹ ɪ m ɪ n ə t ɔ ɹ i
disdain	d ɪ s d e ɪ n
disenfranchisement	d ɪ s ɪ n f ɹ æ n t͡ʃ a ɪ z m ə n t
disinhibit	d ɪ s ɪ n h ɪ b ɪ t
disinvite	d ɪ s ɪ n v a ɪ t
disorientation	d ɪ s ɔ ɹ i ɪ n t e i ʃ n̩
disparadise	d ɪ s p æ ɹ ə d a ɪ s
displease	d ɪ s p l i z
disremember	d ɪ s ɹ ɪ m ɛ m b ɚ
disruptive	d ɪ s ɹ ʌ p t ɪ v
dissension	d ɪ s ɛ n ʃ ə n
dissite	d ɪ s a ɪ t
distress	d ɪ s t ɹ ɛ s
distributing	d ɪ s t ɹ ɪ b j u t ɪ ŋ
distribution	d ɪ s t ɹ ə b j u ʃ ə n
ditchings	d ɪ t͡ʃ ɪ ŋ z
divaricated	d ʌ ɪ v æ ɹ ɪ k e ɪ t ɪ d
diver	d a ɪ̯ v ə ɹ
dixie	d ɪ k s i
djibouti	d͡ʒ ɪ b u t i
doctor	d ɑ k t ɚ
doggedly	d ɔ ɡ ə d l i
dogie	d o ʊ ɡ i
doily	d ɔ ɪ l i
doldrum	d ɑ l d ɹ ə m
dominance	d ɑ m ɪ n ə n s
dominic	d ɑ m ə n ɪ k
dormouse	d ɔ ɹ m a ʊ s
doubly	d ʌ b l i
doug	d ʌ ɡ
doves	d ʌ v z
downed	d a ʊ n d
downgrade	d a ʊ n ɡ ɹ e ɪ d
drapery	d ɹ e ɪ p ə ɹ i
drawbar	d ɹ ɔ b ɑ ɹ
dreaded	d ɹ ɛ d ɪ d
dreadful	d ɹ ɛ d f ʊ l
dreamed	d ɹ i m d
dreamer	d ɹ i m ɚ
dreamtime	d ɹ i m t a ɪ m
dregs	d ɹ ɛ ɡ z
drey	d ɹ e ɪ
drifting	d ɹ ɪ f t ɪ ŋ
drilling	d ɹ ɪ l ɪ ŋ
drillings	d ɹ ɪ l ɪ ŋ z
dronabinol	d ɹ o ʊ n æ b ɪ n ɔ l
droned	d ɹ o ʊ n d
droshky	d ɹ ɔ ʃ k i
drostanolone	d ɹ ɑ s t æ n ə l o ʊ n
droved	d ɹ o ʊ v d
drown	d ɹ a ʊ n
drowsing	d ɹ a ʊ z ɪ ŋ
droxicam	d ɹ ɔ k s ɪ k æ m
drupe	d ɹ u p
dsi	d i ɛ s a ɪ
dubonnet	d j u b ə n e ɪ
duck	d ʌ k
ducky	d ʌ k i
duffy	d ʌ f i
duluth	d ə l u θ
dumbwaiter	d ʌ m w e ɪ t ə ɹ
dumped	d ʌ m p t
dumpling	d ʌ m p l ɪ ŋ
dumpster	d ʌ m p s t ɚ
dundee	d ʌ n d i
dungan	d ʊ ŋ ɡ ɑ n
dunn	d ʌ n
duskish	d ʌ s k ɪ ʃ
dustin	d ʌ s t ɪ n
dweller	d w ɛ l ə ɹ
dyscrasia	d ɪ s k ɹ e ɪ z ɪ ə
dystopian	d ɪ s t o ʊ p i ə n
dyun	dʲ ʊ n
earnestly	ɝ n ɪ s t l i
ears	ɪ ɹ z
earwig	ɪ ə ɹ w ɪ ɡ
ease	i z
easel	i z ə l
easter	i s t ɚ
eastleigh	i s t l i
eats	i t s
ecchymose	ɛ k ɪ m o ʊ z
echoise	ɛ k o ʊ a ɪ z
ed	ɛ d
edgewise	ɛ d͡ʒ w e ɪ z
edgy	ɛ d͡ʒ i
edification	ɛ d ɪ f ɪ k e ɪ ʃ ə n
edifice	ɛ d ɪ f ɪ s
edified	ɛ d ɪ f a ɪ d
editings	ɛ d ɪ t ɪ ŋ z
educational	ɛ d͡ʒ ʊ k e ɪ ʃ ə n ə l
educe	ɪ d u s
ees	i z
eff	ɛ f
effervescent	ɛ f ɚ v ɛ s ə n t
effloresced	ɛ f l ə ɹ ɛ s t
efren	ɛ f ɹ ɛ n
eft	ɛ f t
egestion	i d͡ʒ ɛ s t͡ʃ ə n
eggar	ɛ ɡ ɚ
eggs	ɛ ɡ z
electrolyte	i l ɛ k t ɹ ɵ l a ɪ t
elks	ɛ l k s
ellipses	ɪ l ɪ p s i z
elsinore	ɛ l s ə n ɔ ɹ
elutriate	ɪ l u t ɹ ɪ e ɪ t
elvan	ɛ l v ə n
elven	ɛ l v ə n
elytron	ɛ l ɪ t ɹ ɔ n
emancipatory	ɪ m æ n s ɪ p ə t ɔ ɹ i
embarrassing	ɪ m b æ ɹ ə s ɪ ŋ
emblematic	ɛ m b l ə m a t ɪ k
embolalia	ɛ m b ə l e ɪ l i ə
embow	ɪ m b o ʊ
embroidery	ɪ m b ɹ ɔ ɪ d ə ɹ i
emesa	ɛ m ə s ə
emicant	ɛ m ɪ k ə n t
empathic	ɛ m p æ θ ɪ k
emulate	ɛ m j ə l e ɪ t
enamored	ɪ n æ m ə ɹ d
enaunter	ɪ n ɔ n t ə ɹ
enchilada	ɛ n t͡ʃ ɪ l ɑ d ə
endearing	i n d ɪ ɹ i ŋ
endeavouring	ɪ n d ɛ v ə ɹ ɪ ŋ
ending	ɛ n d ɪ ŋ
endlong	ɛ n d l ɔ ŋ
endymion	ɛ n d ɪ m i ə n
enfleurage	ɑ̃ f l u ɹ ɑ ʒ
engineering	ɛ n d͡ʒ ɪ n ɪ ə ɹ ɪ ŋ
ensconce	ɛ n s k ɑ n s
ensiform	ɛ n s ə f ɔ ɹ m
entrust	ɪ n t ɹ ʌ s t
entscheidungsproblem	ɛ n t͡ʃ ʌ ɪ d ʊ ŋ s p ɹ ɔ b l ə m
epaulement	e ɪ p o ʊ l m ɑ n t
epeolatry	ɛ p i ɔ l ə t ɹ i
epicness	ɛ p ɪ k n ə s
epilation	ɛ p ɪ l e ɪ ʃ ə n
epinephrine	ɛ p ɪ n ɛ f ɹ ɪ n
episcopalian	ə p ɪ s k ə p e ɪ l i n̩
epitrachelion	ɛ p ɪ t ɹ ɑ k i l i ɔ n
eradicate	ɪ ɹ æ d ɪ k e ɪ t
erd	ɛ ɹ d
erlking	ɜ l k ɪ ŋ
ernes	ɝ n z
ervil	ɜ ɹ v ɪ l
eschatology	ɛ s k ə t ɔ l ə d͡ʒ i
eschaton	ɛ s k ə t ɑ n
esker	ɛ s k ɚ
esoterica	ɛ s ɵ t ɛ ɹ ɪ k ə
esotropia	ɛ s o ʊ t ɹ o ʊ p i ə
ester	ɛ s t ɚ
estivate	ɛ s t ɪ v e ɪ t
estriol	ɛ s t ɹ a ɪ ɔ l
ethiopia	i θ i o ʊ p i ə
ethiopian	i θ i o ʊ p i ə n
etymology	ɛ t ɪ m ɑ l ə d͡ʒ i
eucalyptus	j u k ə l ɪ p t ə s
eunatremic	j u n ə t ɹ i m ɪ k
eunuch	j u n ə k
euouae	j u u i
euterpe	j u t ɝ p i
evangelic	i v æ n d͡ʒ ɛ l ɪ k
evangelical	i v æ n d͡ʒ ɛ l ɪ k ə l
eve	i v
everyone	ɛ v ɹ i w ʌ n
eves	i v z
evidentiality	ɛ v ɪ d ɛ n ʃ i æ l ɪ t i
excave	ɛ k s k e ɪ v
exceptional	ɪ k s ɛ p ʃ ə n ə l
excitement	ɪ k s a ɪ t m ə n t
excommune	ɛ k s k ə m j u n
excursus	ɪ k s k ɜ s ə s
execs	e k s e k s
exemestane	ɛ k s ə m ɛ s t e ɪ n
exhale	ɛ k s h e ɪ l
exhausted	ɪ ɡ z ɔ s t ɪ d
expedite	ɛ k s p ɪ d a ɪ t
expletive	ɛ k s p l ə t ɪ v
exploitation	ɛ k s p l ɔ ɪ t e ɪ ʃ n̩
exporting	ɪ k s p ɔ ɹ t ɪ ŋ
extensive	ɛ k s t ɛ n s ɪ v
extinguish	ɪ k s t ɪ ŋ ɡ w ɪ ʃ
exuberant	ɪ ɡ z u b ə ɹ ə n t
ezafe	ɛ z ɑ f e ɪ
facer	f e ɪ s ə r
facile	f æ s ə l
factorial	f æ k t ɔ ɹ i ə l
fain	f e ɪ n
faked	f e ɪ k t
fallow	f æ l o ʊ
falsify	f ɔ l s ɪ f a ɪ
famished	f æ m ɪ ʃ t
fane	f e ɪ n
fangle	f æ ŋ ɡ ə l
fanmag	f æ n m æ ɡ
farce	f ɑ ɹ s
fardel	f ɑ ɹ d ə l
farewell	f ɛ ɹ w ɛ l
farthest	f ɑ ɹ ð ɪ s t
fascism	f æ ʃ ɪ z ə m
fashion	f æ ʃ ə n
fat	f æ t
fatberg	f æ t b ɝ ɡ
fatso	f æ t s o ʊ
fatuous	f æ t͡ʃ u ə s
faule	f ɔ l
faults	f ɔ l t s
favillous	f ə v ɪ l ə s
favors	f e ɪ v ɚ z
feck	f ɛ k
feckful	f ɛ k f ə l
federer	f ɛ d ə ɹ ɚ
feeb	f i b
feelings	f i l ɪ ŋ z
feigns	f e ɪ n z
feisty	f a ɪ s t i
felicity	f ə l ɪ s ɪ t i
feline	f i l a ɪ n
fellah	f ɛ l ə
felon	f ɛ l ə n
femaleness	f i m e ɪ l n ɪ s
femra	f ɛ m ɑ ɹ e ɪ
fence	f ɛ n s
fess	f ɛ s
fettle	f ɛ t ə l
feudalist	f j u d ə l ɪ s t
fickle	f ɪ k ə l
ficus	f a ɪ k ə s
fidel	f ɪ d e l
fief	f i f
filipino	f ɪ l ɪ p i n o ʊ
filly	f ɪ l i
films	f ɪ l m z
finest	f a ɪ n ɪ s t
finnair	f ɪ n ɛ ɹ
fiqh	f i k
fir	f ɝ
firebrand	f a ɪ ɚ b ɹ æ n d
fisherman	f ɪ ʃ ɚ m ə n
fishy	f ɪ ʃ i
fisted	f ɪ s t ɪ d
fit	f ɪ t
fixable	f ɪ k s ə b ə l
fizz	f ɪ z
fizzle	f ɪ z ə l
flab	f l æ b
flailing	f l e ɪ l ɪ ŋ
flanders	f l æ n d ɚ z
flashbulb	f l æ ʃ b ʌ l b
flat	f l æ t
flaubertian	f l o ʊ b ɝ t i ə n
flaxen	f l æ k s ə n
fleak	f l i k
fleckings	f l ɛ k ɪ ŋ z
fleming	f l ɛ m ɪ ŋ
flog	f l ɑ ɡ
flogging	f l ɔ ɡ ɪ ŋ
flotilla	f l o ʊ t ɪ l ə
floyd	f l ɔ ɪ d
fluffings	f l ʌ f ɪ ŋ z
fluorophilic	f l ɔ ɹ ə f ɪ l ɪ k
flus	f l u z
fnaf	f ə n æ f
foci	f o ʊ s a ɪ
foils	f ɔ ɪ l z
foodful	f u d f ə l
foods	f u d z
fool	f u l
footfall	f ʊ t f ɔ l
footstool	f ʊ t s t u l
foramina	f ə ɹ æ m ɪ n ə
forbes	f ɔ ɹ b z
forder	f ɔ ɹ d ɚ
foreignness	f ɔ ɹ ə n n ə s
foresay	f ɔ ɹ s e ɪ
forever	f ə ɹ ɛ v ɚ
forfeit	f ɔ ɹ f ɪ t
forint	f ɔ ɹ ɪ n t
formal	f ɔ ɹ m ə l
forming	f ɔ ɹ m ɪ ŋ
fortis	f ɔ ɹ t ɪ s
fossor	f ɔ s ə ɹ
foulard	f u l ɑ ɹ d
founded	f a ʊ n d ɪ d
fourier	f ʊ ə r i e ɪ
foxily	f ɔ k s ɪ l i
freaking	f ɹ i k ɪ ŋ
freakings	f ɹ i k ɪ ŋ z
freck	f ɹ ɛ k
freckle	f ɹ ɛ k ə l
freddy	f ɹ ɛ d i
freeboot	f ɹ i b u t
freedive	f r i d a ɪ v
freelance	f ɹ i l æ n s
freester	f ɹ i s t ɚ
fremd	f ɹ ɛ m d
frenemy	f ɹ ɛ n ɪ m i
fresco	f ɹ ɛ s k o ʊ
fresher	f ɹ ɛ ʃ ɚ
freudian	f ɹ ɔ ɪ d i ə n
frieze	f ɹ i z
frigging	f ɹ ɪ ɡ ɪ ŋ
fritz	f ɹ ɪ t s
frizzle	f ɹ ɪ z ə l
frosh	f ɹ ɔ ʃ
frowned	f ɹ a ʊ n d
frowny	f ɹ a ʊ n i
frush	f ɹ ʌ ʃ
frustrate	f ɹ ʌ s t ɹ e ɪ t
fucus	f j u k ə s
fujimycin	f u d͡ʒ ɪ m a ɪ s ɪ n
fujoshi	f u j o ʊ ʃ i
full	f ʊ l
functions	f ʌ ŋ k ʃ ə n z
funded	f ʌ n d ɪ d
fussbutton	f ʌ s b ʌ t n̩
fuster	f ʌ s t ɚ
future	f j u t͡ʃ ɚ
gabe	ɡ e ɪ b
gabs	ɡ æ b z
gadsbud	ɡ æ d z b ʌ d
gaits	ɡ e ɪ t s
galimatias	ɡ æ l ə m e ɪ ʃ i ə s
gallium	ɡ æ l i ə m
gandalf	ɡ æ n d ɑ l f
gangnam	ɡ ɑ ŋ n ɑ m
gasbag	ɡ æ s b æ ɡ
gases	ɡ æ s ɪ z
gast	ɡ æ s t
gastrodiplomacy	ɡ æ s t ɹ o ʊ d ɪ p l o ʊ m ə s i
gaur	ɡ a ʊ ə ɹ
gavel	ɡ æ v ə l
gazed	ɡ e ɪ z d
geek	ɡ i k
generosity	d͡ʒ ɛ n ə ɹ ɑ s ə t i
genet	d͡ʒ ɛ n ɪ t
genistein	d͡ʒ ə n ɪ s t i ɪ n
genizah	ɡ ɛ n i z ə
genocidaire	d͡ʒ ɛ n ə s i d ɛ ɹ
genteel	d͡ʒ ɛ n t i l
genus	d͡ʒ i n ə s
geode	d͡ʒ i o ʊ d
geodetic	d͡ʒ i ə d ɛ t ɪ k
geodetics	d͡ʒ i o ʊ d ɛ t ɪ k s
geography	d͡ʒ i ɑ ɡ ɹ ə f i
geometry	d͡ʒ i ɑ m ə t ɹ i
geophyte	d͡ʒ i o ʊ f a ɪ t
geospace	d͡ʒ i o ʊ s p e ɪ s
gern	ɡ ɜ ɹ n
gesso	d͡ʒ ɛ s o ʊ
ghostology	ɡ o ʊ s t ɔ l ə d͡ʒ i
ghrelin	ɡ ɹ ɛ l ɪ n
gibberish	d͡ʒ ɪ b ə ɹ ɪ ʃ
gibnut	ɡ ɪ b n ʌ t
gigged	ɡ ɪ ɡ d
gilded	ɡ ɪ l d ɪ d
ginger	d͡ʒ ɪ n d͡ʒ ɚ
ginsu	ɡ ɪ n s u
given	ɡ ɪ v ə n
glade	ɡ l e ɪ d
gladly	ɡ l æ d l i
glamorous	ɡ l a m ə ɹ ə s
gleaning	ɡ l i n ɪ ŋ
glioma	ɡ l a ɪ o ʊ m ə
glissonian	ɡ l ɪ s o ʊ n i ə n
gloak	ɡ l o ʊ k
gloomy	ɡ l u m i
gloria	ɡ l ɔ ɹ i ə
glued	ɡ l u d
glutamatergic	ɡ l u t ə m ə t ɝ d͡ʒ ɪ k
gmat	d͡ʒ i m æ t
gnaw	n ɔ
gnocchi	n j o ʊ k i
gogo	ɡ o ʊ ɡ o ʊ
goguryeo	ɡ o ʊ ɡ ʊ ə ɹ i o ʊ
goldilocks	ɡ o ʊ l d i l ɔ k s
goliath	ɡ ə l a ɪ ə θ
gomorrah	ɡ ə m ɔ ɹ ə
goods	ɡ ʊ d z
goos	ɡ u z
gothamite	ɡ ɔ θ ə m a ɪ t
goucher	ɡ a ʊ t͡ʃ ə ɹ
gout	ɡ a ʊ t
gove	ɡ o ʊ v
governed	ɡ ə v ɚ n d
gowns	ɡ a ʊ n z
grabber	ɡ ɹ æ b ə ɹ
grabby	ɡ ɹ æ b i
grading	ɡ ɹ e ɪ d ɪ ŋ
graft	ɡ ɹ æ f t
graverobber	ɡ ɹ e ɪ v ɹ ɑ b ɚ
greek	ɡ ɹ i k
greengage	ɡ ɹ i n ɡ e ɪ d͡ʒ
greet	ɡ ɹ i t
greeting	ɡ ɹ i t ɪ ŋ
grenadine	ɡ ɹ ɛ n ə d i n
gridlocks	ɡ ɹ ɪ d l ɔ k s
grieved	ɡ ɹ i v d
grinches	ɡ ɹ ɪ n t͡ʃ ɪ z
grip	ɡ ɹ ɪ p
grist	ɡ ɹ ɪ s t
grit	ɡ ɹ ɪ t
grogram	ɡ ɹ ɑ ɡ ɹ ə m
grossly	ɡ ɹ o ʊ s l i
grotch	ɡ ɹ ɑ t͡ʃ
groupie	ɡ ɹ u p i
growlf	ɡ ɹ a ʊ l f
grown	ɡ ɹ o ʊ n
growth	ɡ ɹ o ʊ θ
grr	ɡ ɝ
gruff	ɡ ɹ ʌ f
gruffish	ɡ ɹ ʌ f ɪ ʃ
guardiancy	ɡ ɑ ɹ d i ə n s i
guerdon	ɡ ɝ d ə n
guiles	ɡ a ɪ l z
guinevere	ɡ w ɪ n ɪ v ɪ ɹ
gullah	ɡ ʌ l ə
gums	ɡ ʌ m z
gunate	ɡ u n e ɪ t
gunship	ɡ ʌ n ʃ ɪ p
gunzel	ɡ ʌ n z l̩
gushes	ɡ ʌ ʃ ɪ z
gusla	ɡ ʊ s l ə
gusto	ɡ ʌ s t o ʊ
guzheng	ɡ u d͡ʒ ʌ ŋ
gynaecophobia	ɡ a ɪ n ɪ k ə f o ʊ b ɪ ə
gynoid	ɡ a ɪ n ɔ ɪ d
habilitation	h ə b ɪ l ɪ t e ɪ ʃ ə n
hacienda	h ɑ s i ɛ n d ə
hack	h æ k
hades	h e ɪ d i z
haggard	h æ ɡ ɚ d
haida	h a ɪ d ə
hailey	h e ɪ l i
haiti	h e ɪ t i
hallucination	h ə l u s ɪ n e ɪ ʃ ə n
handled	h æ n d l̩ d
hangar	h æ ŋ ɚ
hanger	h æ ŋ ɡ ɚ
hardened	h ɑ ɹ d n̩ d
hark	h ɑ ɹ k
harmless	h ɑ ɹ m l ə s
harmonize	h ɑ ɹ m ə n a ɪ z
hart	h ɑ ɹ t
hast	h æ s t
hate	h e ɪ t
hath	h æ θ
hattemer	h æ t ə m ə ɹ
haulage	h ɔ l ə d͡ʒ
haupt	h a ʊ p t
havoc	h æ v ə k
haw	h ɔ
hawthorn	h ɔ θ ɔ ɹ n
hazelwood	h e ɪ z ə l w ʊ d
headbutt	h ɛ d b ʌ t
headdesk	h ɛ d d ɛ s k
headwind	h ɛ d w ɪ n d
heaty	h i t i
hebdomadal	h ɛ b d ɔ m ə d ə l
hebrides	h ɛ b ɹ ə d i z
hecatomb	h ɛ k ə t o ʊ m
hecatonicosachoron	h ɛ k ə t ɔ n a ɪ k o ʊ s i k o ʊ ɹ ɔ n
heeding	h i d ɪ ŋ
heel	h i l
hegelian	h ə ɡ e ɪ l i ə n
hegemon	h ɛ d͡ʒ ɛ m ə n
heists	h a ɪ s t s
helena	h ɛ l ə n ə
heles	h i l z
hellacious	h ɛ l e ɪ ʃ ə s
helladic	h ə l æ d ɪ k
hellenicity	h ɛ l ɛ n ɪ s ə t i
hemisphere	h ɛ m ɪ s f ɪ ə ɹ
hemocytometer	h i m o ʊ s a ɪ t ɑ m ɪ ɾ ɚ
hendecanol	h ɛ n d ɛ k ə n ɔ l
henderson	h ɛ n d ɚ s ə n
henotheism	h ɛ n o ʊ θ i ɪ z ə m
hep	h ɛ p
herbivore	h ɜ ɹ b ɪ v ɔ ɹ
heriot	h ɛ ɹ ɪ ə t
hersham	h ɜ ʃ ə m
hertz	h ɝ t s
hesitate	h ɛ z ɪ t e ɪ t
hess	h ɛ s
hewn	h j u n
hicked	h ɪ k t
hicking	h ɪ k ɪ ŋ
hickman	h ɪ k m ə n
hierocracy	h a ɪ ə ɹ ɑ k ɹ ə s i
hieroglyphic	h a ɪ ɹ ə ɡ l ɪ f ɪ k
higham	h a ɪ ə m
highfather	h a ɪ f ɑ ð ɚ
hijackers	h a ɪ d͡ʒ æ k ə ɹ s
hike	h a ɪ k
hiked	h a ɪ k t
hilum	h a ɪ l ə m
hippic	h ɪ p ɪ k
hippyish	h ɪ p i ɪ ʃ
hirono	h ɪ ɹ o ʊ n o ʊ
hirs	h ɪ ɹ z
hissed	h ɪ s t
hisses	h ɪ s ɪ z
historical	h ɪ s t ɔ ɹ ɪ k ə l
hittite	h ɪ t a ɪ t
hived	h a ɪ v d
hiya	h a ɪ j ə
hobbyist	h ɑ b i ɪ s t
homer	h o ʊ m ə ɹ
homey	h o ʊ m i
homiletical	h ɔ m ɪ l ɛ t ɪ k ə l
homodimer	h o ʊ m o ʊ d a ɪ m ɚ
honeyed	h ʌ n i d
honeysuckle	h ʌ n i s ʌ k ə l
hoodwink	h ʊ d w ɪ ŋ k
hooray	h ə ɹ e ɪ
hooted	h u t ɪ d
hornbeam	h ɔ ɹ n b i m
hornbill	h ɔ ɹ n b ɪ l
hornblende	h ɔ ɹ n b l ɛ n d
horologion	ɔ ɹ ə l ɔ j ɔ n
hot	h ɑ t
hotspur	h ɔ t s p ɜ ɹ
housel	h a ʊ z ə l
houthi	h u θ i
hov	e ɪ t͡ʃ o ʊ v i
huboon	h j u b u n
hulks	h ʌ l k s
humanize	h j u m ə n a ɪ z
humanoid	h j u m ə n ɔ ɪ d
humbert	h ʌ m b ə ɹ t
humped	h ʌ m p t
