<|IND|>gen	ɡ ɛ n
<|IND|>antum	a n t ʊ m
<|IND|>irama	i r a m a
<|IND|>ekaristi	ɛ k a r i s t i
<|IND|>among	a m ɔ ŋ
<|IND|>kamber	k a m . b ə r
<|IND|>Juni	d͡ʒ u . n i
<|IND|>dorna	d o r n a
<|IND|>saat	s a . ʔ a t
<|IND|>aplikan	a p̚ l i k a n
<|IND|>lauk	l a . ʊ ʔ
<|IND|>rasio	r a s i o̯
<|IND|>kasuistik	k a s u ɪ s t ɪ k̚
<|IND|>dewana	d ɛ w a n a
<|IND|>suvenir	s u v ə n ɪ r
<|IND|>aktivisme	a k̚ t i v ɪ s m ə
<|IND|>heptana	h e p . t a . n a
<|IND|>giat	ɡ i a t̚
<|IND|>sengsai	s ɛ ŋ . s a i
<|IND|>mengencingi	m ə . ŋ e n . c i ŋ . i
<|IND|>ongkos	o ŋ . k o s
<|IND|>angrem	a ŋ r ə m
<|IND|>desalinasi	d e . s a . l i . n a . s i
<|IND|>terbesar	t ə r b ə s a r
<|IND|>taring	t a . r ɪ ŋ
<|IND|>onigiri	o . n i . ɡ i . r i
<|IND|>wortel	w o r . t ə l
<|IND|>anggas	a ŋ ɡ a s
<|IND|>partus	p a r . t ʊ s
<|IND|>pemabuk	p ə m a b u k
<|IND|>rindang	r ɪ n d a ŋ
<|IND|>sagu	s a ɡ o
<|IND|>khizanatulkitab	x i z a n a t ʊ l k i t a p̚
<|IND|>KPK	k a p e k a
<|IND|>negoisasi	n ɛ . ɡ o . s i . a . s i
<|IND|>menganggap	m ə ŋ a ŋ ɡ a p̚
<|IND|>heterogen	h e . t e . r o . ɡ ɛ n
<|IND|>parlementer	p a r l ə m ɛ n t ɛ r
<|IND|>SHUN	ɛ s h a u ɛ n
<|IND|>babatan	b a . b a t . a n
<|IND|>tepis	t ə . p ɪ s
<|IND|>anggal	a ŋ . ɡ a l
<|IND|>jadi	d ʒ a . d i
<|IND|>mencekoki	m ə ɲ . t͡ʃ ə . k o . k i
<|IND|>sambungan	s a m . b ʊ ŋ . a n
<|IND|>siang	s i . a ŋ
<|IND|>tersier	t ɛ r s i ɛ r
<|IND|>rasional	r a s i o n a l
<|IND|>kolektivitas	k o l ɛ k t i v i t a s
<|IND|>moda	m o . d a
<|IND|>asyik	a . ʃ ɪ k
<|IND|>ꦱꦺꦴꦕ	s o t͡ʃ ɔ
<|IND|>pemacu	p ə . m a . t͡ʃ u
<|IND|>asbabulwurud	a s . b a . b ʊ l . w u . r ʊ t
<|IND|>pengecaman	p ə . ŋ ə . t͡ʃ a m . a n
<|IND|>binasa	b i . n a . s a
<|IND|>micin	m i . t͡ʃ i n
<|IND|>pandemi	p a n d e m i
<|IND|>kabuki	k a b u k i
<|IND|>merk	m ɛ r k
<|IND|>angki	a ŋ k i
<|IND|>catat	t͡ʃ a t a t̚
<|IND|>luka	l u k a
<|IND|>Islandia	ɪ s l a n d i a̯
<|IND|>Indra	i n . d r a
<|IND|>antaladan	a n . t a . l a . d a n
<|IND|>julang	d͡ʒ u l a ŋ
<|IND|>pertahanan	p ə r t a h a n a n
<|IND|>bungsut	b ʊ ŋ s ʊ t̚
<|IND|>masakan	m a s a k̚ a n
<|IND|>jagung	d͡ʒ a ɡ ʊ ŋ
<|IND|>perpaduan	p ə r p a d u a n
<|IND|>kultivasi	k ʊ l t i v a s i
<|IND|>aspal	a s . p a l
<|IND|>aloun	a . l o . ʊ n
<|IND|>perbuatan	p ə r . b u . a . t a n
<|IND|>akar	a . k a r
<|IND|>tengok	t e . ŋ ɔ k
<|IND|>perembesan	p ə . r ə m . b ə s . a n
<|IND|>kotor	k o t o r
<|IND|>tiram	t i r a m
<|IND|>baba	b a . b a
<|IND|>borang	b ɔ r a ŋ
<|IND|>dukung	d u . k ʊ ŋ
<|IND|>tinjau	t i n d͡ʒ a u̯
<|IND|>onagata	o . n a . ɡ a . t a
<|IND|>arowon	a . r o . w ɔ n
<|IND|>magnitudo	m a k n i t u d o
<|IND|>nyaman	ɲ a m a n
<|IND|>zikir	z i k ɪ r
<|IND|>menggarisbawahi	m ə ŋ . ɡ a . r i s . b a . w a h . i
<|IND|>penganjur	p ə ŋ a n d͡ʒ ʊ r
<|IND|>kontributor	k ɔ n . t r i . b u . t ɔ r
<|IND|>berbeda	b ə r b ɛ d a
<|IND|>kabupaten	k a . b u . p a . t e n
<|IND|>nabatah	n a b a t a h
<|IND|>tanggapan	t a ŋ . ɡ a . p a n
<|IND|>tengar	t ə ŋ a r
<|IND|>siber	s i b ə r
<|IND|>permainan	p ə r m a i . n a n
<|IND|>rekonsiliasi	r e . k ɔ n . s i . l i . a . s i
<|IND|>mengatakan	m ə ŋ a t a k a n
<|IND|>ritsleting	r i t . s l ə . t i ŋ
<|IND|>nalar	n a l a r
<|IND|>mukbang	m ʊ k b ɑ ŋ
<|IND|>kayas	k a j a s
<|IND|>pihak	p i h a ʔ
<|IND|>kehujanan	k ə h u d͡ʒ a n a n
<|IND|>asrok	a s . r ɔ k
<|IND|>amporang	a m p o r a ŋ
<|IND|>bersenandung	b ə r s ə n a n d ʊ ŋ
<|IND|>ransel	r a n . s ə l
<|IND|>perdana	p ə r d a n a
<|IND|>am	a m
<|IND|>pita	p i . t a
<|IND|>buku	b u k u
<|IND|>eksim	ɛ k . s ɪ m
<|IND|>determinasi	d e . t ɛ r . m i . n a . s i
<|IND|>warkat	w a r . k a t
<|IND|>sentul	s ə n . t ʊ l
<|IND|>yuyitsu	j u . j i t . s u
<|IND|>izin	ɪ z ɪ n
<|IND|>calak	t͡ʃ a l a ʔ
<|IND|>abras	a b . r a s
<|IND|>perabuan	p ə r a b u a n
<|IND|>manga	m a n ɡ a
<|IND|>IPA	i . p a
<|IND|>kedaerahan	k ə . d a ɛ . r a h . a n
<|IND|>komet	k o . m ɛ t̚
<|IND|>alodna	a . l ɔ t . n a
<|IND|>psikolog	p ə s i k o l ɔ k̚
<|IND|>pialang	p ɪ j a l a ŋ
<|IND|>sadir	s a d ɪ r
<|IND|>alis	ʔ ä . l i s
<|IND|>aora	a . o . r a
<|IND|>doa	d o a
<|IND|>persentil	p ə r . s ɛ n . t ɪ l
<|IND|>Tamil	t a m ɪ l
<|IND|>aruris	a . r u . r ɪ s
<|IND|>pencucian	p ə n t͡ʃ u t͡ʃ iʲ a n
<|IND|>sami	s a m i
<|IND|>bagan	b a . ɡ a n
<|IND|>amput	a m p ʊ t̚
<|IND|>ajara	a d͡ʒ a r a
<|IND|>gugus	ɡ u ɡ ʊ s
<|IND|>muluk	m u . l ʊ ʔ
<|IND|>kandungan	k a n d ʊ ŋ a n
<|IND|>iotasisme	i o t a s ɪ s m ə
<|CEB|>Abapo	ʔ a b a p o
<|CEB|>Abesamis	ʔ a b e s a m i s
<|CEB|>Abril	ʔ a b ɾ i l
<|CEB|>Adbentista	ʔ a d b e n t i s t a
<|CEB|>Adlawan	ʔ ɐ d l a w a n
<|CEB|>Agas	a ɡ ɐ s
<|CEB|>Agdao	ʔ a ɡ d a w
<|CEB|>Alcoy	ʔ a l k o j
<|CEB|>Alvarado	ʔ a l b a ɾ a d o
<|CEB|>Aragon	ʔ a ɾ a ɡ o n
<|CEB|>Baclayon	b a k l a j o n
<|CEB|>Bacus	b a k u s
<|CEB|>Balatik	b a l a t i k
<|CEB|>Balbuena	b a l b u w e n a
<|CEB|>Barcenas	b a ɾ s e n a s
<|CEB|>Bautista	b a w t i s t a
<|CEB|>Bernes	b e ɾ n e s
<|CEB|>Bibliya	b i b l i a
<|CEB|>Bogohanon	b o ɡ o h a n o n
<|CEB|>Bohol	b o h o l
<|CEB|>Bonghanoy	b o ŋ h a n o j
<|CEB|>Borongan	b o ɾ o n ɡ a n
<|CEB|>Bulacan	b u l a k a n
<|CEB|>Cabanlit	k a b a n l i t
<|CEB|>Cabatuan	k a b a t u ʔ a n
<|CEB|>Cabello	k a b e l j o
<|CEB|>Cadeliña	k a d e l i ɲ a
<|CEB|>Calinan	k a l i n a n
<|CEB|>Castañeda	k a s t a ɲ e d a
<|CEB|>Castaños	k a s t a ɲ o s
<|CEB|>Catmon	k a t m o n
<|CEB|>Cayanong	k a j a n o ŋ
<|CEB|>Cañete	k a ɲ e t e
<|CEB|>Comendador	k o m e n d a d o ɾ
<|CEB|>Cyrus	s a j ɾ u s
<|CEB|>Daanlungsod	d a a n l u ŋ s o d
<|CEB|>Dacumos	d a k u m o s
<|CEB|>Dagohoy	d a ɡ o h o j
<|CEB|>Divinagracia	d i b i n a ɡ ɾ a s j a
<|CEB|>Diyos	d i j o s
<|CEB|>Eguia	ʔ e ɡ i j a
<|CEB|>Enero	ʔ e n e ɾ o
<|CEB|>Eulogia	ʔ e w l o h i j a
<|CEB|>Francisco	p ɾ a n s i s k o
<|CEB|>Genaro	h e n a ɾ o
<|CEB|>Gomez	ɡ o m e s
<|CEB|>Guiuan	ɡ i w a n
<|CEB|>Huybes	h u i b e s
<|CEB|>Ibañez	ʔ i b a ɲ e s
<|CEB|>Iloilo	ʔ i l o j l o
<|CEB|>Intsik	ʔ ɪ n t͡ʃ i k
<|CEB|>Jorge	h o r h ɛ
<|CEB|>Jose	h o s e
<|CEB|>Kasambagan	k a s a m b a ɡ a n
<|CEB|>Kinatsila	k i n a t s i l a ʔ
<|CEB|>Kulas	k u l a s
<|CEB|>Lawas	l a w a s
<|CEB|>Lisondra	l i s o n d ɾ a
<|CEB|>Loreto	l o ɾ e t o
<|CEB|>Lunes	l u n e s
<|CEB|>Mafalda	m a p a l d a
<|CEB|>Mananquil	m a n a ŋ k i l
<|CEB|>Manzano	m a n s a n o
<|CEB|>Marigondon	m a ɾ i ɡ o n d o n
<|CEB|>Marso	m a ɾ s o
<|CEB|>Martinez	m a ɾ t i n e s
<|CEB|>Matugas	m a t u ɡ a s
<|CEB|>Mercader	m e ɾ k a d e ɾ
<|CEB|>Ocampo	ʔ o k a m p o
<|CEB|>Ocaña	ʔ o k a ɲ a
<|CEB|>Padayhag	p a d a j a ɡ
<|CEB|>Paquibato	p a k i b a t o
<|CEB|>Pasipiko	p a s i p i k o
<|CEB|>Perez	p e ɾ e s
<|CEB|>Perla	p e ɾ l a
<|CEB|>Pilapil	p i l a p i l
<|CEB|>Pinadayag	p i n a d a j a ɡ
<|CEB|>Quiñones	k i ɲ o n e s
<|CEB|>Razonable	ɾ a s o n a b l e
<|CEB|>Rodriguez	ɾ o d ɾ i ɡ e s
<|CEB|>Sabado	s a b a d o
<|CEB|>Samar	s a m a ɾ
<|CEB|>Santiago	s a n t i a ɡ o
<|CEB|>Santillan	s a n t i l j a n
<|CEB|>Sinangote	s i n a ŋ ɡ o t e
<|CEB|>Surigao	s u ɾ i ɡ a w
<|CEB|>Tampos	t a m p o s
<|CEB|>Taneo	t a n e o
<|CEB|>Toledohanon	t o l e d o h a n o n
<|CEB|>Tomas	t o m a s
<|CEB|>Toril	t o ɾ i l
<|CEB|>Torres	t o ɾ e s
<|CEB|>Ulalong	ʔ u l a l o ŋ
<|CEB|>Villanueva	b i l j a n u w e b a
<|CEB|>abaga	ʔ a b a ɡ a
<|CEB|>abakadhan	ʔ a b a k a d h a n
<|CEB|>abog	ɐ b u ɡ
<|CEB|>abogado	ʔ a b o ɡ a d o
<|CEB|>abogasiya	ʔ a b o ɡ a s i j a
<|CEB|>abrigo	ʔ a b ɾ i ɡ o
<|CEB|>absolusyon	ʔ a b s o l u s j o n
<|CEB|>administrador	ʔ a d m i n i s t ɾ a d o ɾ
<|CEB|>adunahan	ʔ a d u n a h a n
<|CEB|>agay	a ɡ a ɪ
<|CEB|>agridulse	ʔ a ɡ ɾ i d u l s e
<|CEB|>ahedres	ʔ a h e d ɾ e s
<|CEB|>ahente	ʔ a h e n t e
<|CEB|>akademiya	ʔ a k a d e m i j a
<|CEB|>ako	ʔ a h o
<|CEB|>aksiyon	ʔ a k s i j o n
<|CEB|>aktibidades	ʔ a k t i b i d a d e s
<|CEB|>akusar	ʔ a k u s a ɾ
<|CEB|>akusasyon	ʔ a k u s a s j o n
<|CEB|>alahas	ʔ a l a h a s
<|CEB|>alambre	ʔ a l a m b ɾ e
<|CEB|>alang	ʔ a l a ŋ
<|CEB|>alegasyon	ʔ a l e ɡ a s j o n
<|CEB|>aleluya	ʔ a l e l u j a
<|CEB|>alibangbang	ʔ a l i b a ŋ b a ŋ
<|CEB|>alimpatakan	ʔ a l i m p a t a k a n
<|CEB|>alingagngag	a l i ŋ a ɡ ŋ a ɡ
<|CEB|>almoranas	ʔ a l m o ɾ a n a s
<|CEB|>alpa	ʔ a l p a
<|CEB|>amag	ʔ a m a ɡ
<|CEB|>amaon	ʔ a m a ʔ o n
<|CEB|>amba	a m b a ʔ
<|CEB|>amendar	ʔ a m e n d a ɾ
<|CEB|>amplipikasyon	ʔ a m p l i p i k a s j o n
<|CEB|>anak	ʔ a n a k
<|CEB|>anemya	ʔ a n e m j a
<|CEB|>angso	ʔ a ŋ s o
<|CEB|>anilaw	ʔ a n i l a w
<|CEB|>anino	ʔ a n i n o
<|CEB|>anso	ʔ a n s o
<|CEB|>antigo	ʔ a n t i ɡ o
<|CEB|>antod	ʔ a n t o d
<|CEB|>apostol	ʔ a p o s t o l
<|CEB|>ari	ʔ a ɾ i
<|CEB|>arisgar	ʔ a ɾ i s ɡ a ɾ
<|CEB|>ariyos	ʔ a ɾ i j o s
<|CEB|>arkipelago	ʔ a ɾ k i p e l a ɡ o
<|CEB|>arkitekto	ʔ a ɾ k i t e k t o
<|CEB|>arsobispado	ʔ a ɾ s o b i s p a d o
<|CEB|>asa	ʔ a s a
<|CEB|>asul	ʔ a s u l
<|CEB|>atop	a t ʊ p
<|CEB|>atsoy	ʔ a t s o j
<|CEB|>away	ʔ a w a j
<|CEB|>awto	ʔ a w t o
<|CEB|>awtorisar	ʔ a w t o ɾ i s a ɾ
<|CEB|>ayaay	ʔ a j a ʔ a j
<|CEB|>ayroplano	ʔ a j ɾ o p l a n o
<|CEB|>baboy	b a b o j
<|CEB|>bagol	b a ɡ o l
<|CEB|>bagsak	b a ɡ s a k
<|CEB|>bahag	b a h a ɡ
<|CEB|>baho	b a h o
<|CEB|>bakilid	b a k i l i d
<|CEB|>baklay	b a k l a j
<|CEB|>bako	b a k o ʔ
<|CEB|>bakos	b a k o s
<|CEB|>baktas	b a k t a s
<|CEB|>bakunawa	b a k u n a w a
<|CEB|>balalatok	b a l a l a t o k
<|CEB|>balatian	b a l a t i ʔ a n
<|CEB|>balbakuwa	b a l b a k u w a
<|CEB|>balda	b a l d a
<|CEB|>balibago	b a l i b a ɡ o
<|CEB|>balod	b a l o d
<|CEB|>balon	b a j o n
<|CEB|>balukag	b a l u k a ɡ
<|CEB|>balungbong	b a l̪ u ŋ b o ŋ
<|CEB|>bandido	b a n d i d o
<|CEB|>bangkarote	b a ŋ k a ɾ o t e
<|CEB|>banwa	b a n w a
<|CEB|>banyera	b a n j e ɾ a
<|CEB|>baos	b aː u s
<|CEB|>barag	b a ɾ a ɡ
<|CEB|>baskog	b a s k o ɡ
<|CEB|>bat	b a t
<|CEB|>batayan	b a t a j a n
<|CEB|>bati	b a t i
<|CEB|>batid	b a t i d
<|CEB|>batiis	b a t i ʔ i s
<|CEB|>batong	b a t o ŋ
<|CEB|>batsilyer	b a t s i l j e ɾ
<|CEB|>batuta	b a t u t a ʔ
<|CEB|>batyag	b a t j a ɡ
<|CEB|>bawod	b a w o d
<|CEB|>bawos	b a w o s
<|CEB|>bayad	b a d͡ʒ a d
<|CEB|>bayat	b a j a t
<|CEB|>baybay	b a j b a j
<|CEB|>belib	b e l i b
<|CEB|>berdin	b ɛ r d i n
<|CEB|>bersikulo	b e ɾ s i k u l o
<|CEB|>beterana	b e t e ɾ a n a
<|CEB|>beterano	b e t e ɾ a n o
<|CEB|>bibihan	b i b i h a n̪
<|CEB|>biko	b i k o
<|CEB|>bilat	b i l a t
<|CEB|>bildo	b i l̪ d̪ o
<|CEB|>bilyar	b i l j a ɾ
<|CEB|>binali	b i n̪ a l̪ i
<|CEB|>binatonan	b i n a t o n a n
<|CEB|>binilanggo	b i n i l a ŋ ɡ o ʔ
<|CEB|>birada	b i ɾ a d a
<|CEB|>bitad	b i t a d
<|CEB|>bitay	b i t a j
<|CEB|>bitbit	b i t b i t
<|CEB|>bitoon	b i t uˑ ʔ u n
<|CEB|>biyahe	b i a h e
<|CEB|>bloke	b l o k e
<|CEB|>boda	b o d a
<|CEB|>bodka	b o d k a
<|CEB|>bokabularyo	b o k a b u l a ɾ j o
<|CEB|>bokasyon	b o k a s j o n
<|CEB|>bondying	b o n d j i ŋ
<|CEB|>botas	b o t a s
<|CEB|>botelya	b o t e l j a
<|CEB|>boykot	b o j k o t
<|CEB|>bringhinas	b ɾ i ŋ h i n a s
<|CEB|>buang	b u ʔ a ŋ
<|CEB|>buaya	b u ʔ a j a
<|CEB|>bubo	b u b o
<|CEB|>budaya	b u d a j a
<|CEB|>budhi	b u d h i ʔ
<|CEB|>bugaw	b u ɡ a w
<|CEB|>bugdo	b u ɡ d o
<|CEB|>bughaw	b u ɡ h a w
<|CEB|>bugoy	b u ɡ ɔ ɪ
<|CEB|>buhi	b u h i ʔ
<|CEB|>buklad	b u k l a d
<|CEB|>bukol	b u k o l
<|CEB|>buktot	b u k t o t
<|CEB|>bulakbol	b u l a k b o l
<|CEB|>bulalakaw	b u l a l a k a w
<|CEB|>bulawan	b u a w a n
<|CEB|>bulhog	b u l h o ɡ
<|CEB|>bulinaw	b u l i n a w
<|CEB|>bulkan	b u l k a n
<|CEB|>bulog	b u l o ɡ
<|CEB|>bulto	b u l t o
<|CEB|>bungahoy	b u ŋ a h o j
<|CEB|>bunot	b u n o t
<|CEB|>bunsod	b u n s o d
<|CEB|>buntod	b u n t o d
<|CEB|>buot	b u ʔ o t
<|CEB|>buros	b u ɾ o s
<|CEB|>busay	b u s a j
<|CEB|>calculator	k a l k j u l e i t o ɾ
<|CEB|>chiongbian	t͡ʃ ɔ ŋ b j a n
<|CEB|>daan	d a ʔ a n
<|CEB|>dagami	d a ɡ a m i
<|CEB|>daghan	d a ɡ h a n
<|CEB|>dagit	d a ɡ i t
<|CEB|>dakbayan	d a k b a j a n
<|CEB|>dalunggan	d a l u ŋ ɡ a n
<|CEB|>dampog	d a m p o ɡ
<|CEB|>danggit	d a ŋ ɡ i t
<|CEB|>daog	d a ʔ o ɡ
<|CEB|>dato	d a t o ʔ
<|CEB|>day	d̪ a ɪ
<|CEB|>dayap	d a j a p
<|CEB|>deliryo	d e l i ɾ j o
<|CEB|>detalye	d e t a l j e
<|CEB|>diin	d i ʔ i n
<|CEB|>diriyot	d i ɾ i j o t
<|CEB|>disenteriya	d i s e n t e ɾ i j a
<|CEB|>diyakono	d i a k o n o
<|CEB|>diyot	d i j o t
<|CEB|>dodong	d o d o ŋ
<|CEB|>dughit	d u ɡ h i t
<|CEB|>dugos	d u ɡ o s
<|CEB|>dulaan	d u a ʔ a n
<|CEB|>dulon	d u j o n
<|CEB|>dumog	d u m o ɡ
<|CEB|>dunggab	d u ŋ ɡ a b
<|CEB|>dunggan	d u ŋ ɡ a n
<|CEB|>dunggo	d u ŋ ɡ o ʔ
<|CEB|>dunggoanan	d u ŋ ɡ o ʔ a n a n
<|CEB|>edukasyon	ʔ e d u k a s j o n
<|CEB|>eleksyon	ʔ e l e k s j o n
<|CEB|>elepante	ʔ e l e p a n t e
<|CEB|>empleyado	ʔ e m p l e j a d o
<|CEB|>enad	ɛː n a d
<|CEB|>espiritu	ʔ e s p i ɾ i t u
<|CEB|>estatuwa	ʔ e s t a t u a
<|CEB|>estupido	ʔ e s t u p i d o
<|CEB|>exag	ɪ k s ɑ d ʒ
<|CEB|>foreigner	f ɔ ɾ i n ə ɹ
<|CEB|>gaba	ɡ a b a
<|CEB|>gahom	ɡ a h o m
<|CEB|>gajod	ɡ a d͡ʒ o d
<|CEB|>gama	ɡ a m a ʔ
<|CEB|>gamot	ɡ a m o t
<|CEB|>gana	ɡ a n a
<|CEB|>ganahan	ɡ a n a h a n
<|CEB|>ganansiya	ɡ a n a n s i a
<|CEB|>garing	ɡ a ɾ i ŋ
<|CEB|>gilayon	ɡ i l a j o n
<|CEB|>guba	ɡ u b a ʔ
<|CEB|>gumamela	ɡ u m a m e l a
<|CEB|>gutang	ɡ u t a ŋ
<|CEB|>guwatsi	ɡ u w a t̪ s̪ i
<|CEB|>gwapa	ɡ w a p a
<|CEB|>habagatan	h a b a ɡ a t a n
<|CEB|>habal	h a b a l
<|CEB|>hagnaya	h a ɡ n a j a
<|CEB|>halang	h a l a ŋ
<|CEB|>halingan	h a l i ŋ a n
<|CEB|>hangga	h a ŋ ɡ a ʔ
<|CEB|>harina	h a ɾ i n a
<|CEB|>hasang	h a s a ŋ
<|CEB|>hasler	h a s l e ɾ
<|CEB|>hatag	h a t a ɡ
<|CEB|>hayahay	h a j a h a j
<|CEB|>helikopter	h e l i k o p t e ɾ
<|CEB|>higante	h i ɡ a n t e
<|CEB|>hikot	h i k o t
<|CEB|>hilomon	h i l o m o n
<|CEB|>himantayon	h i m a n t a j o n
<|CEB|>hinagiban	h i n a ɡ i b a n
<|CEB|>hingatulog	h i ŋ a t u l o ɡ
<|CEB|>hinguko	h i ŋ u k o
<|CEB|>hinog	h i n o ɡ
<|CEB|>hipon	h i p o n
<|CEB|>hiring	h i ɾ̪ i ŋ
<|CEB|>hita	h i t a ʔ
<|CEB|>hitsura	h i t s u ɾ a
<|CEB|>hiusa	h i uː s̪ a
<|CEB|>hospital	h o s p i t a l
<|CEB|>hubag	h u b a ɡ
<|CEB|>hubo	h u b o ʔ
<|CEB|>hugas	h u ɡ a s
<|CEB|>hulga	h u l ɡ a ʔ
<|CEB|>huwad	h u a d
<|CEB|>huyang	h u j a ŋ
<|CEB|>ibabaw	ʔ i b a b a w
<|CEB|>ignorante	ʔ i ɡ n o ɾ a n t e
<|CEB|>iho	ʔ i h o
<|CEB|>ikaduha	i k a d u h a
<|CEB|>ikanapulo	i k a n a p u l ʊ ʔ
<|CEB|>ikaunom	i k a u n ʊ m
<|CEB|>ikaupat	i k a u p a t̪
<|CEB|>ikog	ʔ i k o ɡ
<|CEB|>ilok	ʔ i l o k
<|CEB|>imburnal	ʔ i m b u ɾ n a l
<|CEB|>implikasyon	ʔ i m p l i k a s j o n
<|CEB|>importansiya	ʔ i m p o ɾ t a n s i a
<|CEB|>inadlawan	i n̪ a d̪ l̪ a w a n̪
<|CEB|>inahan	ʔ i n a h a n
<|CEB|>inom	ʔ i n o m
<|CEB|>instruksyon	ʔ i n s t ɾ u k s j o n
<|CEB|>inunlan	ʔ i n u n l a n
<|CEB|>inunom	i n u n ʊ m
<|CEB|>ipos	i p o s̪
<|CEB|>isda	ʔ i s d a ʔ
<|CEB|>isi	ʔ i s i
<|CEB|>ispat	i s̪ p a t̪
<|CEB|>itikan	i t̪ i k a n̪
<|CEB|>itlog	ʔ i t l o ɡ
<|CEB|>ito	ʔ i t o ʔ
<|CEB|>iya	ʔ i a
<|CEB|>iyot	ʔ i j o t
<|CEB|>jakol	d͡ʒ a k o l
<|CEB|>jorge	h o r h ɛ
<|CEB|>jud	d͡ʒ u d
<|CEB|>kaaslom	k a ʔ a s l o m
<|CEB|>kabanga	k a b a ŋ a
<|CEB|>kabuang	k a b u ʔ a ŋ
<|CEB|>kadto	k a d t o
<|CEB|>kaduha	k a d̪ u h a
<|CEB|>kagabii	k a ɡ a b i ʔ i
<|CEB|>kagawasan	k a ɡ a w a s a n
<|CEB|>kagwapo	k a ɡ w a p o
<|CEB|>kajo	k a d͡ʒ o
<|CEB|>kakahoyan	k a k a h o j a n
<|CEB|>kalabera	k a l a b e ɾ a
<|CEB|>kalainan	k a l a ʔ i n a n
<|CEB|>kalambre	k a l a m b ɾ e
<|CEB|>kalasag	k a l a s a ɡ
<|CEB|>kalaskas	k a l a s k a s
<|CEB|>kalatkat	k a l̪ a t̪ k a t̪
<|CEB|>kalentura	k a l e n t u ɾ a
<|CEB|>kalinaw	k a l i n a w
<|CEB|>kaliwatan	k a l i w a t a n
<|CEB|>kamalig	k a m a l i ɡ
<|CEB|>kamao	k a m a ʔ o
<|CEB|>kamatis	k a m a t i s
<|CEB|>kamatuoran	k a m a t u ʔ o ɾ a n
<|CEB|>kambras	k a m b ɾ a s
<|CEB|>kamkam	k a m k a m
<|CEB|>kamlas	k a m l a s
<|CEB|>kamot	k a m o t
<|CEB|>kampana	k a m p a n a ʔ
<|CEB|>kanta	k a n t a
<|CEB|>kapait	k a p a i t
<|CEB|>kapay	k a p a j
<|CEB|>kapayas	k a p a j a s
<|CEB|>kapito	k a p i t̪ o
<|CEB|>kapuloan	k a p u l o ʔ a n
<|CEB|>kaputol	k a p u t̪ o l̪
<|CEB|>karaan	k a ɾ a ʔ ɐ n
<|CEB|>karbon	k a ɾ b o n
<|CEB|>karinyo	k a ɾ i n j o
<|CEB|>kasag	k a s a ɡ
<|CEB|>kasiyam	k a s̪ i j ʌ m
<|CEB|>kasundalohan	k a s u n d a l o h a n
<|CEB|>katahom	k a t a h o m
<|CEB|>katarata	k a t a ɾ a t a
<|CEB|>katawa	k a t a w a
<|CEB|>katkat	k a t̪ k a t̪
<|CEB|>katol	k a t o l
<|CEB|>katre	k a t ɾ e
<|CEB|>katulo	k a t̪ ɔ l ʊ
<|CEB|>katunhayan	k a t u n h a j a n
<|CEB|>katuod	k a t u ʔ o d
<|CEB|>kaugalingnan	k a ʔ u ɡ a l i ŋ n a n
<|CEB|>kaunom	k a u n ʊ m
<|CEB|>kaupat	k a ɔ p a t̪
<|CEB|>kausa	k a ɔ s a
<|CEB|>kay	k a j
<|CEB|>kaymito	k a j m i t o
<|CEB|>kayo	k aː y u
<|CEB|>kilat	k i l a t
<|CEB|>kinahanglan	k i n a h a ŋ l a n
<|CEB|>kinaunahan	k i n ʌ u n a h ʌ n
<|CEB|>kinsa	k i n s a ʔ
<|CEB|>kisame	k i s a m e
<|CEB|>kita	k i t a
<|CEB|>kobrador	k o b ɾ a d o ɾ
<|CEB|>kolera	k o l e ɾ a
<|CEB|>kombensyon	k o m b e n s j o n
<|CEB|>kombento	k o m b ɛ n t o
<|CEB|>komedyana	k o m e d j a n a
<|CEB|>komite	k o m i t e
<|CEB|>komportable	k o m p o ɾ t a b l e
<|CEB|>komun	k o m u n
<|CEB|>kondensada	k o n d e n s a d a
<|CEB|>kongreso	k o n ɡ ɾ e s o
<|CEB|>konkreto	k o n k ɾ e t o
<|CEB|>konsagrasyon	k o n s a ɡ ɾ a s j o n
<|CEB|>konsolasyon	k o n s o l a s j o n
<|CEB|>konsorte	k o n s o ɾ t e
<|CEB|>kontento	k o n t e n t o
<|CEB|>kosina	k o s i n a
<|CEB|>kubalan	k u b a l a n
<|CEB|>kubkob	k u b k o b
<|CEB|>kugmo	k u ɡ m o
<|CEB|>kugon	k u ɡ o n
<|CEB|>kukok	k u k o k
<|CEB|>kulago	k u l a ɡ o ʔ
<|CEB|>kuli	k u l i ʔ
<|CEB|>kulkog	k u l k u ɡ
<|CEB|>kulkol	k u l k o l
<|CEB|>kulob	k u l o b
<|CEB|>kulukabildo	k u l̪ u k a b i l̪ d̪ o
<|CEB|>kumalagko	k u m a l a ɡ k o ʔ
<|CEB|>kupo	k u p o ʔ
<|CEB|>kuratsa	k u ɾ a t s a
<|CEB|>kusgan	k u s ɡ a n
<|CEB|>kutsara	k u t s a ɾ a
<|CEB|>kutsaron	k u t s a ɾ o n
<|CEB|>kuwadrilyon	k u w a d ɾ i l j o n
<|CEB|>kuwang	k u w a ŋ
<|CEB|>kuwartahan	k u w a ɾ t a h a n
<|CEB|>kuwenta	k u w e n t a
<|CEB|>kuwintilyon	k u w i n t i l j o n
