aare	ɑ ɹ ə
icebreaker	a ɪ s b ɹ e ɪ k ə ɹ
icositetrachoron	a ɪ k o ʊ s i t ɛ t ɹ ə k o ʊ ɹ ɔ n
ielts	a ɪ̯ ɛ l t s
ignote	ɪ ɡ n o ʊ t
ikey	ʌ ɪ k i
illecebrous	ɪ l ɛ s ɪ b ɹ ə s
illimitable	ɪ l ɪ m ɪ t ə b ə l
ily	ɪ l i
immerse	ɪ m ɜ ɹ s
immutably	ɪ m j u t ə b l ɪ
impales	ɪ m p e ɪ l z
imperfection	ɪ m p ɚ f ɛ k ʃ ə n
imperil	ɪ m p ɛ ɹ ə l
imply	ɪ m p l a ɪ
importunity	ɪ m p ɔ ɹ t u n ɪ t i
impoverished	ɪ m p ɑ v ə ɹ ɪ ʃ t
impressive	ɪ m p ɹ ɛ s ɪ v
impugn	ɪ m p j u n
imputation	ɪ m p j ʊ t e ɪ ʃ ə n
inaccurate	ɪ n æ k j ʊ ɹ ə t
inappropro	ɪ n ə p ɹ o ʊ p ɹ o ʊ
inchings	ɪ n t͡ʃ ɪ ŋ z
inconsiderate	ɪ n k ə n s ɪ d ə ɹ ɪ t
incredulity	ɪ n k ɹ ɪ d j u l ɪ t i
indebted	ɪ n d ɛ t ɪ d
indecision	ɪ n d ɪ s ɪ ʒ ə n
indeterminate	ɪ n d ɪ t ɜ ɹ m ɪ n ə t
indices	ɪ n d ɪ s i z
indulge	ɪ n d ʌ l d͡ʒ
infiltrationism	ɪ n f ɪ l t ɹ e ɪ ʃ ə n ɪ z m̩
inflammable	ɪ n f l æ m ə b ə l
informant	ɪ n f ɔ ɹ m ə n t
ingemination	ɪ n d͡ʒ ɛ m ɪ n e ɪ ʃ ə n
ingredient	ɪ n ɡ ɹ i d i ə n t
inhabitant	ɪ n h æ b ɪ t ə n t
inheritance	ɪ n h ɛ ɹ ə t ə n s
initial	ɪ n ɪ ʃ ə l
injector	ɪ n d͡ʒ ɛ k t ɚ
inosite	ɪ n ə s a ɪ t
inquest	ɪ ŋ k w ɛ s t
inquiration	ɪ ŋ k w ɪ ɹ e ɪ ʃ ə n
insolvable	ɪ n s ɔ l v ə b ə l
insure	ɪ n ʃ ʊ ɚ
intently	ɪ n t ɛ n t l i
intermezzo	ɪ n t ɚ m ɛ t s o ʊ
intermittent	ɪ n t ɚ m ɪ t n̩ t
interspecific	ɪ n t ɚ s p ə s ɪ f ɪ k
interventive	ɪ n t ɚ v ɛ n t ə v
intrahepatic	ɪ n t ɹ ə h ə p æ t ɪ k
intraresidue	ɪ n t ɹ ə ɹ ɛ z ɪ d u
invariably	ɪ n v ɛ ɹ i ə b l i
iphone	a ɪ f o ʊ̯ n
irredeemable	ɪ ɹ ə d i m ə b ə l
irreparable	ɪ ɹ ɛ p ə ɹ ə b ə l
irruent	ɪ ɹ ɪ ʊ ə n t
isauria	a ɪ s ɔ ɹ i ə
isethionate	a ɪ s ɪ θ a ɪ ə n e ɪ t
isolated	a ɪ s ə l e ɪ t ɪ d
isotropy	a ɪ s ɔ t ɹ ə p i
isthmus	ɪ s m ə s
italianization	ɪ t æ l j ə n ə z e ɪ ʃ ə n
iwan	i w ɑ n
jacal	h ə k ɑ l
jace	d͡ʒ e ɪ s
jakun	d͡ʒ ʌ k u n
janissary	d͡ʒ æ n ə z e ɹ i
japanese	d͡ʒ æ p ə n i z
jared	d͡ʒ æ ɹ ə d
jenkin	d͡ʒ ɛ ŋ k ɪ n
jestings	d͡ʒ ɛ s t ɪ ŋ z
jig	d͡ʒ ɪ ɡ
jodhpurs	d͡ʒ ɑ d p ɚ z
johnnycake	d͡ʒ ɑ n i k e ɪ k
jonathan	d͡ʒ ɑ n ə θ ə n
journal	d͡ʒ ɝ n ə l
judder	d͡ʒ ʌ d ɚ
judeophilia	d͡ʒ u d i o ʊ f ɪ l ɪ ə
juicer	d͡ʒ u s ɚ
justify	d͡ʒ ʌ s t ɪ f a ɪ
katana	k ə t ɑ n ə
kellia	k ɛ l i ə
keynsham	k e ɪ n ʃ ə m
khazar	k ə z ɑ ɹ
kiki	k i k i
kinds	k a ɪ n d z
kishke	k ɪ ʃ k ə
kithe	k ʌ ɪ ð
klein	k l a ɪ n
kniffles	n ɪ f l i z
koi	k ɔ ɪ
kriol	k ɹ i o ʊ l
kylix	k a ɪ l ɪ k s
kylixes	k a ɪ l ɪ k s ə z
kyphotone	k a ɪ f ə t o ʊ n
kyrgyz	k ɪ ɹ ɡ ɪ z
labiodental	l e ɪ b i o ʊ d e n t ə l
labor	l e ɪ b ɚ
lacerated	l æ s ə ɹ e ɪ t ɪ d
laciniate	l ə s ɪ n i ə t
lack	l æ k
lacrimogenous	l æ k ɹ ɪ m ɑ d͡ʒ ə n ə s
ladakh	l ə d ɑ k
laden	l e ɪ d ə n
lageniform	l ə d͡ʒ ɛ n ə f ɔ ɹ m
lager	l ɑ ɡ ɚ
landing	l æ n d ɪ ŋ
landon	l æ n d ə n
landover	l æ n d o ʊ v ə ɹ
languet	l æ ŋ ɡ w ɪ t
langur	l ʌ ŋ ɡ ʊ ə ɹ
lantibiotic	l æ n t i b a ɪ ɔ t ɪ k
lapses	l æ p s ɪ z
lariat	l æ ɹ ɪ ə t
laters	l e ɪ t ɚ z
lazed	l e ɪ z d
leaks	l i k s
leapfrog	l i p f ɹ ɑ ɡ
legato	l ə ɡ ɑ t o ʊ
leninite	l ɛ n ɪ n a ɪ t
lesdar	l ɛ z d ɑ ɹ
lesson	l ɛ s n̩
lethargy	l ɛ θ ɚ d͡ʒ i
leucotome	l u k ə t o ʊ m
levitous	l ɛ v ɪ t ə s
lewdness	l u d n ə s
lezzer	l ɛ z ɚ
li	l i
lias	l i ə s
libertine	l ɪ b ɚ t i n
lignify	l ɪ ɡ n ɪ f a ɪ
likelihood	l a ɪ k l i h ʊ d
liken	l a ɪ k ə n
likin	l i k ɪ n
lil	l ɪ l
lilliputian	l ɪ l ɪ p j u ʃ ə n
limn	l ɪ m
limner	l ɪ m n ɚ
lipline	l ɪ p l a ɪ n
listicle	l ɪ s t ə k l̩
listing	l ɪ s t ɪ ŋ
litharge	l ɪ θ ɑ ɹ d͡ʒ
litterateur	l ɪ t ə ɹ ə t ʊ ɚ
loaf	l o ʊ f
loam	l o ʊ m
lodgment	l ɑ d͡ʒ m ə n t
loggat	l ɔ ɡ ə t
logological	l ɑ ɡ o ʊ l ɑ d͡ʒ i k ə l
logorrhea	l ɔ ɡ ə ɹ i ə
logy	l o ʊ ɡ i
londraville	l ɑ n d ɹ ə v ɪ l
long	l ɔ ŋ
longed	l ɔ ŋ d
longeval	l ɔ n d͡ʒ i v ə l
longhope	l ɔ ŋ h o ʊ p
looked	l ʊ k t
loose	l u s
lote	l o ʊ t
lottery	l ɑ t ɚ i
lusk	l ʌ s k
lusophilia	l u s ə f ɪ l ɪ ə
macdonald	m ə k d ɑ n ə l d
macher	m ɑ x ɛ ɹ
machinist	m ə ʃ i n ɪ s t
macky	m æ k i
macspaunday	m ə k s p ɔ n d e ɪ
maggie	m æ ɡ i
magnesia	m æ ɡ n i ʒ ə
magnificent	m æ ɡ n ɪ f ə s ə n t
maidan	m a ɪ d ɑ n
malady	m æ l ə d i
malamute	m æ l ə m j u t
malarkey	m ə l ɑ ɹ k i
malevolent	m ə l ɛ v ə l ə n t
malodorous	m æ l o ʊ d ə ɹ ə s
mammal	m æ m ə l
mandarin	m æ n d ə ɹ ɪ n
mandom	m æ n d ə m
manks	m æ ŋ k s
manly	m æ n l i
manpack	m æ n p æ k
mantilla	m æ n t i j ə
map	m æ p
marginally	m ɑ ɹ d͡ʒ ɪ n ə l i
mariah	m ə ɹ a ɪ ə
marine	m ə ɹ i n
marocain	m ɑ ɹ ə k e ɪ n
massachusetts	m æ s ə t͡ʃ u s ɪ t s
massingbird	m æ s ɪ ŋ b ɜ ɹ d
masterdom	m æ s t ɚ d ə m
maulstick	m ɔ l s t ɪ k
meal	m i l
mean	m i n
mediator	m i d i e ɪ t ɚ
meerkitten	m i ə k ɪ t ə n
membraneous	m ɛ m b ɹ e ɪ n i ə s
men	m ɛ n
mendaciously	m ɛ n d e ɪ ʃ ə s l i
mendelevium	m ɛ n d ə l i v i ə m
mental	m ɛ n t ə l
merenchyma	m ɛ ɹ ɪ ŋ k a ɪ m ə
mesmerize	m ɛ z m ə ɹ a ɪ z
messias	m ə s a ɪ ə s
messrs	m ɛ s ɚ z
metacercaria	m ɛ t ə s ɜ ɹ k ɛ ɹ ɪ ə
metatheoretical	m ɛ t ə θ i ə ɹ ɛ t ɪ k l̩
mete	m i t
meth	m ɛ θ
metharbital	m ə θ ɑ ɹ b ə t ɔ l
metic	m ɛ t ə k
mexiletine	m ɛ k s ɪ l ə t i n
microzyma	m a ɪ k ɹ o ʊ z a ɪ m ə
milnacipran	m ɪ l n æ s ə p ɹ æ n
mimantean	m ɪ m æ n t i ə n
mime	m a ɪ m
ministerial	m ɪ n ə s t ɪ ɹ i ə l
minto	m ɪ n t o ʊ
minyans	m ɪ n a ɪ ə n z
miserabilist	m ɪ z ə ɹ ə b ə l ɪ s t
miserly	m a ɪ z ə ɹ l i
misoprostol	m a ɪ s o ʊ p ɹ ɑ s t ɔ l
mithraeum	m ɪ θ ɹ i ə m
mitre	m a ɪ t ə ɹ
mizo	m ɪ z o ʊ
mnemotechnical	n ɛ m o ʊ t ɛ k n ɪ k ə l
moan	m o ʊ n
modus	m o ʊ d ə s
mogwai	m ɔ ɡ w a ɪ
moil	m ɔ ɪ l
molestation	m o ʊ l ɪ s t e ɪ ʃ ə n
monaco	m ɑ n ə k o ʊ
montpellier	m ɔ n p ɛ l i e ɪ
montseny	m ɔ n t s e ɪ n
moonwalk	m u n w ɔ k
moos	m u z
morass	m ə ɹ æ s
mosey	m o ʊ z i
motel	m o ʊ t ɛ l
mowed	m o ʊ d
much	m ʌ t͡ʃ
mud	m ʌ d
mundialization	m ɑ n d i ə l ə z e ɪ ʃ ə n
munificence	m j u n ɪ f ɪ s ə n s
mussolini	m ʊ s ə l i n i
mutable	m j u t ə b l̩
myeloid	m a ɪ ə l ɔ ɪ d
myob	ɛ m w a ɪ o ʊ b i
myoglobinemia	m a ɪ o ʊ ɡ l o ʊ b ɪ n i m i ə
mystic	m ɪ s t ɪ k
myvyrian	m i v ɪ ɹ i ə n
nabal	n e ɪ b ə l
naltrexone	n æ l t ɹ ɛ k s o ʊ n
naming	n e ɪ m ɪ ŋ
nandrolone	n æ n d ɹ ə l o ʊ n
nanson	n æ n s ə n
nanterre	n ɑ n t ɛ ɹ
narrowly	n ɛ ɹ o ʊ l i
nate	n e ɪ t
nazareth	n æ z ə ɹ ə θ
ncaa	ɛ n s i e ɪ e ɪ
neb	n ɛ b
nectar	n ɛ k t ə ɹ
need	n i d
needful	n i d f ə l
negus	n i ɡ ə s
nephite	n i f a ɪ t
nepotic	n ə p ɔ t ɪ k
nervy	n ɝ v i
netter	n ɛ t ə ɹ
neutral	n u t ɹ ə l
neville	n ɛ v ə l
newman	n u m ə n
nifurtimox	n a ɪ f ɝ t ɪ m ɑ k s
niggery	n ɪ ɡ ə ɹ i
nighness	n a ɪ n ə s
nintendo	n ɪ n t ɛ n d o ʊ
niobium	n a ɪ o ʊ b i ə m
nithing	n a ɪ ð ɪ ŋ
nob	n ɑ b
nog	n ɔ ɡ
nominalize	n ɑ m ə n ə l a ɪ z
noscapine	n ɑ s k ə p i n
nougat	n u ɡ ə t
nulls	n ʌ l z
numinous	n j u m ə n ə s
obliviality	ə b l ɪ v i æ l ɪ t i
obsequious	ə b s i k w i ə s
obstinacy	ɑ b s t ɪ n ə s i
occupied	ɑ k j ə p a ɪ d
octad	ɑ k t æ d
octobers	ɑ k t o ʊ b ɚ z
octosyllabic	ɑ k t o ʊ s ɪ l æ b ɪ k
octyne	ɔ k t a ɪ n
offend	ə f ɛ n d
oiler	ɔ ɪ l ɚ
ok	o ʊ k e ɪ
olson	o ʊ l s ə n
omohyoid	o ʊ m o ʊ h a ɪ ɔ ɪ d
onchocerciasis	ɔ ŋ k ə s ɜ k a ɪ ə s ɪ s
oneirocritic	o ʊ n a ɪ ɹ ə k ɹ ɪ t ɪ k
onymous	ɑ n ɪ m ə s
oov	u v
openly	o ʊ p ə n l i
orangeat	ɔ ɹ æ n ʒ æ t
orfe	ɔ f
organum	ɔ ɹ ɡ ə n ə m
orotundity	ɔ ɹ ə t ʌ n d ɪ t i
ossify	ɑ s ə f a ɪ
ostentation	ɔ s t ə n t e ɪ ʃ ə n
ostrichism	ɑ s t ɹ i t͡ʃ ɪ z ə m
otira	o ʊ t ɪ ɹ ɑ
ouagadougou	w ɑ ɡ ə d u ɡ u
ouguiya	u ɡ i j ə
overact	o ʊ v ə ɹ æ k t
overawe	o ʊ v ɚ ɔ
overdraft	o ʊ v ɚ d ɹ æ f t
overlive	o ʊ v ə ɹ l ɪ v
overproof	o ʊ v ɚ p ɹ u f
oversolicitous	o ʊ v ɚ s ə l ɪ s ɪ ɾ ə s
overspecialization	o ʊ v ɚ s p ɛ ʃ ə l ɪ z e ɪ ʃ n̩
overview	o ʊ v ə ɹ v j u
oxycodone	ɑ k s ɪ k o ʊ d o ʊ n
oxymethazoline	ɑ k s ɪ m ə θ æ z ə l i n
paan	p ɑ n
packet	p æ k ɪ t
pact	p æ k t
pagination	p æ d͡ʒ ə n e ɪ ʃ ə n
paint	p e ɪ n t
painting	p e ɪ n t ɪ ŋ
paladin	p æ l ə d ɪ n
palau	p ə l a ʊ
panendeistic	p æ n ɛ n d i ɪ s t ɪ k
pantheists	p æ n t h i ĭ s t s
pantries	p æ n t ɹ i z
paraenesis	p ə ɹ i n ɪ s ɪ s
paramour	p æ ɹ ə m ɔ ɹ
parchment	p ɑ ɹ t͡ʃ m ə n t
parfilage	p ɑ ɹ f ɪ l ɑ ʒ
parity	p æ ɹ ɪ t i
participation	p ɑ ɹ t ɪ s ɪ p e ɪ ʃ ə n
parting	p ɑ ɹ t ɪ ŋ
passively	p æ s ɪ v l i
pasture	p æ s t͡ʃ ɚ
pater	p e ɪ t ɚ
patientive	p e ɪ ʃ ə n t ɪ v
patroon	p ə t ɹ u n
patting	p æ t ɪ ŋ
paving	p e ɪ v ɪ ŋ
payer	p e ɪ ɚ
peach	p i t͡ʃ
peacocking	p i k ɑ k ɪ ŋ
peasants	p ɛ z ə n t s
pebbles	p ɛ b ə l z
peck	p ɛ k
peddle	p ɛ d ə l
pee	p i
peeves	p i v z
pembrokeshire	p ɛ m b ɹ ʊ k ʃ ə ɹ
peptics	p ɛ p t ɪ k s
perfidious	p ɚ f ɪ d i ə s
periegete	p ɛ ɹ i ə d͡ʒ i t
periodical	p ɪ ɹ i ɑ d ɪ k l̩
perpetual	p ɚ p ɛ t͡ʃ u ə l
perseverate	p ɚ s ɛ v ə ɹ e ɪ t
pert	p ɝ t
perth	p ɝ θ
pestled	p ɛ s ə l d
petalous	p ɛ t ə l ə s
pettywhin	p ɛ t i w ɪ n
phillip	f ɪ l ɪ p
phinary	f a ɪ n ə ɹ i
phosphorus	f ɑ s f ɚ ə s
picnics	p ɪ k n ɪ k s
piggott	p ɪ ɡ ə t
pilate	p a ɪ l ə t
piles	p a ɪ l z
pilled	p ɪ l d
pima	p i m ə
pincer	p ɪ n s ə ɹ
piquing	p i k ɪ ŋ
piscivore	p ɪ s ɪ v ɔ ɹ
pishogue	p ɪ ʃ o ʊ ɡ
pituitary	p ɪ t u ɪ t ɛ ɹ i
pixie	p ɪ k s i
placed	p l e ɪ s t
placenta	p l ə s ɛ n t ə
plag	p l æ d͡ʒ
planchette	p l æ n ʃ ɛ t
plane	p l e ɪ n
planning	p l æ n ɪ ŋ
plasmid	p l æ z m ɪ d
pleat	p l i t
plectrum	p l ɛ k t ɹ ə m
plogging	p l ɔ ɡ ɪ ŋ
pluck	p l ʌ k
pluranimous	p l ʊ ɹ æ n ɪ m ə s
pococurantism	p o ʊ k o ʊ k j ʊ ɹ æ n t ɪ z ə m
polysemic	p ɔ l ɪ s i m ɪ k
polyzoa	p ɔ l i z o ʊ ə
pooped	p u p t
pork	p ɔ ɹ k
portentously	p ɔ t e n t ə s l i
portrayal	p ɔ ɹ t ɹ e ɪ ə l
positivism	p ɑ z ɪ t ɪ v ɪ z m
posology	p ə z ɑ l ə d͡ʒ i
prairial	p ɹ ɛ ɹ j ɑ l
prate	p ɹ e ɪ t
pratt	p ɹ æ t
preconsonantal	p ɹ i k ɔ n s ə n æ n t ə l
predilection	p ɹ ɛ d ə l ɛ k ʃ n̩
preengage	p r i ɪ n ɡ e ɪ d͡ʒ
prefect	p ɹ i f e k t
prefer	p ɹ ɪ f ɝ
preke	p ɹ i k
prelect	p ɹ ɪ l ɛ k t
prenup	p ɹ i n ʌ p
preoccupy	p ɹ i ɑ k j u p a ɪ
prescriptive	p ɹ ɪ s k ɹ ɪ p t ɪ v
presented	p ɹ ɪ z ɛ n t ɪ d
presuit	p ɹ ɪ s j u t
prevention	p ɹ ɪ v ɛ n ʃ ə n
primitive	p ɹ ɪ m ɪ t ɪ v
prised	p ɹ a ɪ z d
prisoned	p ɹ ɪ z ə n d
probability	p ɹ ɑ b ə b ɪ l ɪ ɾ i
procedures	p ɹ ə s i d͡ʒ ɚ s
proceeded	p ɹ ə s i d ɪ d
profuseness	p ɹ o ʊ f j u s n ə s
prognosis	p ɹ ɑ ɡ n o ʊ s ɪ s
prolix	p ɹ o ʊ l ɪ k s
propane	p ɹ o ʊ p e ɪ n
proposed	p ɹ ə p o ʊ z d
proposition	p ɹ ɑ p ə z ɪ ʃ ə n
prosaism	p ɹ o ʊ z e ɪ ɪ z ə m
prosperous	p ɹ ɑ s p ə ɹ ə s
protect	p ɹ ə t ɛ k t
provide	p ɹ ə v a ɪ d
provisional	p ɹ ə v ɪ ʒ ə n ə l
prowl	p ɹ a ʊ l
prowled	p ɹ a ʊ l d
proximity	p ɹ ɑ k s ɪ m ɪ t i
psaki	s ɑ k i
psych	s a ɪ k
ptolemaic	t ɑ l ə m e ɪ ɪ k
publican	p ʌ b l ɪ k ə n
puffy	p ʌ f i
pug	p ʌ ɡ
pulleys	p ʊ l i z
pullulate	p ʌ l j ʊ l e ɪ t
pumps	p ʌ m p s
punishings	p ʌ n ɪ ʃ ɪ ŋ z
pursuing	p ɚ s u ɪ ŋ
pyramidal	p ɪ ɹ æ m ɪ d l̩
pyrophyte	p a ɪ ɹ ə f a ɪ t
quacks	k w æ k s
quadriplegia	k w ɑ d ɹ ɪ p l i d͡ʒ ə
quarl	k w ɔ ɹ l
quarry	k w ɔ ɹ i
queerdar	k w ɪ ɹ d ɑ ɹ
quicksilver	k w ɪ k s ɪ l v ɚ
quidnunc	k w ɪ d n ʌ ŋ k
quintillionth	k w ɪ n t ɪ l i ə n θ
rach	ɹ e ɪ t͡ʃ
radius	ɹ e ɪ d i ə s
radon	ɹ e ɪ d ɔ n
rains	ɹ e ɪ n z
rapunzel	ɹ ə p ʌ n z ə l
rats	ɹ æ t s
rattail	ɹ æ t t e ɪ l
ravage	ɹ æ v ɪ d͡ʒ
ravel	ɹ æ v ə l
ravening	ɹ æ v ə n ɪ ŋ
reaction	ɹ i æ k ʃ ə n
reap	ɹ i p
reason	ɹ i z ə n
rebellion	ɹ ɪ b ɛ l i ə n
recalcitrance	ɹ ɪ k æ l s ɪ t ɹ ə n s
receivability	ɹ ə s i v ɑ b ɪ l ɪ t i
recrimination	ɹ i k ɹ ɪ m ə n e ɪ ʃ ə n
recto	ɹ ɛ k t o ʊ
redebug	ɹ i d i b ʌ ɡ
redig	ɹ i d ɪ ɡ
reduce	ɹ ɪ d u s
reese	ɹ i s
regarding	ɹ ɪ ɡ ɑ ɹ d ɪ ŋ
regorge	ɹ ɪ ɡ ɔ ɹ d͡ʒ
regulating	ɹ ɛ ɡ j ə l e ɪ t ɪ ŋ
regurgitate	ɹ ɪ ɡ ɝ d͡ʒ ə t e ɪ t
relation	ɹ ɪ l e ɪ ʃ ə n
religiosity	ɹ ɪ l ɪ d͡ʒ ɪ ɑ s ə t i
remission	ɹ ə m ɪ ʃ ə n
remover	ɹ ɪ m u v ɚ
remunerative	ɹ ɪ m j u n ə ɹ ə t ɪ v
renverse	ɹ ɪ n v ɜ ɹ s
repug	ɹ ə p ə ɡ
reputation	ɹ ɛ p j ʊ t e ɪ ʃ ə n
resentment	ɹ ɪ z ɛ n t m ə n t
resident	ɹ ɛ z ɪ d ə n t
resolute	ɹ ɛ z ə l j u t
resoundingly	ɹ ɪ z a ʊ n d ɪ ŋ l i
restricted	ɹ ɪ s t ɹ ɪ k t ɪ d
reverent	ɹ ɛ v ɹ ə n t
revolt	ɹ ɪ v o ʊ l t
rhodium	ɹ o ʊ d i ə m
rich	ɹ ɪ t͡ʃ
ridotto	ɹ ə d o ʊ t o ʊ
rif	ɹ ɪ f
roasted	ɹ o ʊ s t ɪ d
roughly	ɹ ʌ f l i
rubato	r ə b ɑ t o ʊ
ruism	ɹ u ɪ z ə m
running	ɹ ʌ n ɪ ŋ
rupert	ɹ u p ɚ t
ruption	ɹ ʌ p ʃ ə n
ruritanian	ɹ ʊ ɹ ɪ t e ɪ n i ə n
sabulous	s æ b j ʊ l ə s
sacrament	s æ k ɹ ə m ə n t
sagacious	s ə ɡ e ɪ ʃ ə s
sailor	s e ɪ l ɚ
sakhalin	s æ k ə l i n
sallies	s æ l i z
salmon	s æ m ə n
salmonella	s æ l m ə n ɛ l ə
salsify	s æ l s ɪ f i
sambadrome	s æ m b ə d ɹ o ʊ m
sancerre	s ɔ̃ n s ɛ ɹ
sandy	s æ n d i
sappho	s æ f o ʊ
sardinia	s ɑ ɹ d ɪ n i ə
sardonyx	s ɑ ɹ d ɔ n ɪ k s
satcoms	s a t k ɑ m z
sault	s u
saunter	s ɔ n t ɚ
savings	s e ɪ v ɪ ŋ z
savoy	s ə v ɔ ɪ
scab	s k æ b
scale	s k e ɪ l
scanty	s k æ n t i
schlepps	ʃ l ɛ p s
schmooze	ʃ m u z
scholarship	s k ɑ l ə ɹ ʃ ɪ p
scramble	s k ɹ æ m b l̩
scriptings	s k ɹ ɪ p t ɪ ŋ s
scrofula	s k ɹ ɔ f j ə l ə
scrotum	s k ɹ o ʊ t ə m
scrubber	s k ɹ ʌ b ɚ
seal	s i l
sedge	s ɛ d͡ʒ
seed	s i d
seemer	s i m ə ɹ
seemly	s i m l i
seems	s i m z
selfish	s ɛ l f ɪ ʃ
semipermeable	s ɛ m i p ɜ ɹ m i ə b ə l
sensitive	s ɛ n s ɪ t ɪ v
sentence	s ɛ n t ə n s
sephirah	s ə f ɪ ɹ ə
sept	s ɛ p t
septendecillion	s ɛ p t ə n d ə s ɪ l i ə n
sequela	s ɪ k w i l ə
serf	s ɝ f
setiform	s i t ə f ɔ ɹ m
sextant	s ɛ k s t ə n t
shamed	ʃ e ɪ m d
shameful	ʃ e ɪ m f ə l
shamefully	ʃ e ɪ m f ə l i
shampoo	ʃ æ m p u
share	ʃ ɛ ɹ
shed	ʃ ɛ d
sheen	ʃ i n
shells	ʃ ɛ l z
shergottite	ʃ ɚ ɡ ə t a ɪ t
shits	ʃ ɪ t s
shorn	ʃ ɔ ɹ n
shout	ʃ a ʊ t
showing	ʃ o ʊ ɪ ŋ
shrubby	ʃ ɹ ʌ b i
shrugged	ʃ ɹ ʌ ɡ d
shrugging	ʃ ɹ ʌ ɡ ɪ ŋ
shtetl	ʃ t ɛ t ə l
sibred	s ɪ b ɹ ə d
sibsey	s ɪ b z i
sideways	s a ɪ d w e ɪ z
sig	s ɪ ɡ
signary	s ɪ ɡ n ə ɹ i
silenus	s a ɪ l i n ə s
singularity	s ɪ ŋ ɡ j ə l æ ɹ ə t ɪ
skamania	s k ə m e ɪ n i ə
sketchy	s k ɛ t͡ʃ i
skiddy	s k ɪ d i
skilled	s k ɪ l d
skirl	s k ɜ l
skum	s k ʌ m
skunk	s k ʌ ŋ k
skysill	s k a ɪ s ɪ l
slack	s l æ k
slashy	s l æ ʃ i
sleiveen	s l i v i n
slogan	s l o ʊ ɡ ə n
slowworm	s l o ʊ w ɜ ɹ m
sluff	s l ʌ f
slushy	s l ʌ ʃ i
smicker	s m ɪ k ə ɹ
smokehouse	s m o ʊ k h a ʊ s
smollett	s m ɑ l ə t
smorc	s m ɔ ɹ k
smudge	s m ʌ d͡ʒ
snacky	s n æ k i
snapin	s n æ p ɪ n
snelly	s n ɛ l i
snippety	s n ɪ p ɪ t i
snooze	s n u z
socking	s ɑ k ɪ ŋ
socle	s o ʊ k ə l
soiree	s w ɑ ɹ e ɪ
somalia	s ə m ɑ l i ə
somnifacient	s ɑ m n ə f e ɪ ʃ ə n t
soprano	s ə p ɹ æ n o ʊ
sorbet	s ɔ ɹ b e ɪ
spac	s p æ k
spasmodic	s p æ z m ɑ d ɪ k
spathe	s p e ɪ ð
spean	s p i n
specifier	s p ɛ s ə f a ɪ ɚ
speedboat	s p i d b o ʊ t
spell	s p ɛ l
spelunks	s p ɪ l ʌ ŋ k s
spidey	s p a ɪ d i
spilt	s p ɪ l t
spim	s p ɪ m
spinner	s p ɪ n ɚ
spiral	s p a ɪ ɹ ə l
splinter	s p l ɪ n t ɚ
splunk	s p l ʌ ŋ k
splutter	s p l ʌ t ɚ
sporty	s p ɔ ɹ t i
sprayed	s p ɹ e ɪ d
sql	ɛ s k j u ɛ l
squarely	s k w ɛ ɹ l i
squishiness	s k w ɪ ʃ i n ə s
stan	s t æ n
stared	s t ɛ ɹ d
stationed	s t ɛ ɪ ʃ ə n d
stave	s t e ɪ v
steal	s t i l
stenoses	s t ɛ n o ʊ s i z
stephanie	s t ɛ f ə n i
stepson	s t ɛ p s ʌ n
sterns	s t ɜ ɹ n z
stethoscope	s t ɛ θ ə s k o ʊ p
stheno	s θ ɛ n o ʊ
stiff	s t ɪ f
stiletto	s t ə l ɛ t o ʊ
stinnett	s t ɪ n ɛ t
stithy	s t ɪ ð i
stooge	s t u d͡ʒ
store	s t ɔ ɹ
stork	s t ɔ ɹ k
strain	s t ɹ e ɪ̯ n
strained	s t ɹ e ɪ̯ n d
strake	s t ɹ e ɪ k
strigate	s t ɹ ɪ ɡ ə t
strived	s t ɹ a ɪ v d
stroud	s t ɹ a ʊ d
stroy	s t ɹ ɔ ɪ
strumpet	s t ɹ ʌ m p ɪ t
stun	s t ʌ n
stutter	s t ʌ ɾ ɚ
stylize	s t a ɪ l a ɪ z
subdivide	s ʌ b d ɪ v a ɪ d
succedaneum	s ʌ k s ɪ d e ɪ n ɪ ə m
succeeding	s ə k s i d ɪ ŋ
successive	s ə k s ɛ s ɪ v
sucky	s ʌ k i
suds	s ʌ d z
sufentanil	s u f ɛ n t ə n ɪ l
suffer	s ʌ f ɚ
suifenhe	s w e ɪ f ʌ n h ʌ
sulfamethoxazole	s ʌ l f ə m ɛ θ ɑ k s ə z o ʊ l
summon	s ʌ m ə n
summons	s ʌ m ə n z
sunfish	s ʌ n f ɪ ʃ
sunspot	s ʌ n s p ɑ t
superannuate	s u p ə ɹ æ n j u e ɪ t
superflux	s u p ə ɹ f l ʌ k s
superhero	s j u p ə ɹ h ɪ ɹ o ʊ
supes	s u p s
suprasternal	s u p ɹ ə s t ɜ n ə l
surround	s ə ɹ a ʊ n d
swam	s w æ m
sweats	s w ɛ t s
swell	s w ɛ l
switches	s w ɪ t͡ʃ ɪ z
synechia	s ɪ n ɛ k i ə
synomone	s ɪ n ə m o ʊ n
systematize	s ɪ s t ə m ə t a ɪ z
systems	s ɪ s t ə m z
tablet	t æ b l ə t
tabloid	t æ b l ɔ ɪ d
taco	t ɑ k o ʊ
tad	t æ d
tainted	t e ɪ n t ɪ d
takes	t e ɪ k s
talarozole	t ə l æ ɹ ə z o ʊ l
talents	t æ l ə n t s
tammy	t æ m i
