aare	ɑ ɹ ə
easel	i z ə l
easter	i s t ɚ
eastleigh	i s t l i
eats	i t s
ecchymose	ɛ k ɪ m o ʊ z
ed	ɛ d
edgewise	ɛ d͡ʒ w e ɪ z
edgy	ɛ d͡ʒ i
edification	ɛ d ɪ f ɪ k e ɪ ʃ ə n
edifice	ɛ d ɪ f ɪ s
edified	ɛ d ɪ f a ɪ d
editings	ɛ d ɪ t ɪ ŋ z
educational	ɛ d͡ʒ ʊ k e ɪ ʃ ə n ə l
educe	ɪ d u s
ees	i z
eff	ɛ f
effervescent	ɛ f ɚ v ɛ s ə n t
effloresced	ɛ f l ə ɹ ɛ s t
egestion	i d͡ʒ ɛ s t͡ʃ ə n
eggar	ɛ ɡ ɚ
eggs	ɛ ɡ z
electrolyte	i l ɛ k t ɹ ɵ l a ɪ t
elks	ɛ l k s
elutriate	ɪ l u t ɹ ɪ e ɪ t
elvan	ɛ l v ə n
elven	ɛ l v ə n
elytron	ɛ l ɪ t ɹ ɔ n
embarrassing	ɪ m b æ ɹ ə s ɪ ŋ
emblematic	ɛ m b l ə m a t ɪ k
embolalia	ɛ m b ə l e ɪ l i ə
embow	ɪ m b o ʊ
embroidery	ɪ m b ɹ ɔ ɪ d ə ɹ i
emesa	ɛ m ə s ə
empathic	ɛ m p æ θ ɪ k
enamored	ɪ n æ m ə ɹ d
enaunter	ɪ n ɔ n t ə ɹ
enchilada	ɛ n t͡ʃ ɪ l ɑ d ə
endeavouring	ɪ n d ɛ v ə ɹ ɪ ŋ
ending	ɛ n d ɪ ŋ
endlong	ɛ n d l ɔ ŋ
endymion	ɛ n d ɪ m i ə n
enfleurage	ɑ̃ f l u ɹ ɑ ʒ
engineering	ɛ n d͡ʒ ɪ n ɪ ə ɹ ɪ ŋ
ensconce	ɛ n s k ɑ n s
entrust	ɪ n t ɹ ʌ s t
entscheidungsproblem	ɛ n t͡ʃ ʌ ɪ d ʊ ŋ s p ɹ ɔ b l ə m
epaulement	e ɪ p o ʊ l m ɑ n t
epeolatry	ɛ p i ɔ l ə t ɹ i
epicness	ɛ p ɪ k n ə s
epilation	ɛ p ɪ l e ɪ ʃ ə n
epinephrine	ɛ p ɪ n ɛ f ɹ ɪ n
episcopalian	ə p ɪ s k ə p e ɪ l i n̩
eradicate	ɪ ɹ æ d ɪ k e ɪ t
erlking	ɜ l k ɪ ŋ
eschatology	ɛ s k ə t ɔ l ə d͡ʒ i
esker	ɛ s k ɚ
esoterica	ɛ s ɵ t ɛ ɹ ɪ k ə
esotropia	ɛ s o ʊ t ɹ o ʊ p i ə
estivate	ɛ s t ɪ v e ɪ t
estriol	ɛ s t ɹ a ɪ ɔ l
ethiopian	i θ i o ʊ p i ə n
etymology	ɛ t ɪ m ɑ l ə d͡ʒ i
eunatremic	j u n ə t ɹ i m ɪ k
eunuch	j u n ə k
euouae	j u u i
euterpe	j u t ɝ p i
evangelic	i v æ n d͡ʒ ɛ l ɪ k
eves	i v z
evidentiality	ɛ v ɪ d ɛ n ʃ i æ l ɪ t i
excave	ɛ k s k e ɪ v
excommune	ɛ k s k ə m j u n
excursus	ɪ k s k ɜ s ə s
execs	e k s e k s
exhausted	ɪ ɡ z ɔ s t ɪ d
expedite	ɛ k s p ɪ d a ɪ t
expletive	ɛ k s p l ə t ɪ v
exploitation	ɛ k s p l ɔ ɪ t e ɪ ʃ n̩
exporting	ɪ k s p ɔ ɹ t ɪ ŋ
extensive	ɛ k s t ɛ n s ɪ v
exuberant	ɪ ɡ z u b ə ɹ ə n t
facer	f e ɪ s ə r
facile	f æ s ə l
factorial	f æ k t ɔ ɹ i ə l
fain	f e ɪ n
fallow	f æ l o ʊ
falsify	f ɔ l s ɪ f a ɪ
famished	f æ m ɪ ʃ t
farce	f ɑ ɹ s
farewell	f ɛ ɹ w ɛ l
farthest	f ɑ ɹ ð ɪ s t
fat	f æ t
fatso	f æ t s o ʊ
fatuous	f æ t͡ʃ u ə s
faults	f ɔ l t s
favillous	f ə v ɪ l ə s
favors	f e ɪ v ɚ z
feck	f ɛ k
feckful	f ɛ k f ə l
federer	f ɛ d ə ɹ ɚ
feeb	f i b
feigns	f e ɪ n z
felicity	f ə l ɪ s ɪ t i
fellah	f ɛ l ə
felon	f ɛ l ə n
femaleness	f i m e ɪ l n ɪ s
fence	f ɛ n s
fettle	f ɛ t ə l
feudalist	f j u d ə l ɪ s t
fidel	f ɪ d e l
filipino	f ɪ l ɪ p i n o ʊ
filly	f ɪ l i
films	f ɪ l m z
finnair	f ɪ n ɛ ɹ
fir	f ɝ
firebrand	f a ɪ ɚ b ɹ æ n d
fishy	f ɪ ʃ i
fisted	f ɪ s t ɪ d
fit	f ɪ t
fixable	f ɪ k s ə b ə l
fizzle	f ɪ z ə l
flab	f l æ b
flailing	f l e ɪ l ɪ ŋ
flashbulb	f l æ ʃ b ʌ l b
flat	f l æ t
flaubertian	f l o ʊ b ɝ t i ə n
flaxen	f l æ k s ə n
fleak	f l i k
fleming	f l ɛ m ɪ ŋ
flog	f l ɑ ɡ
flotilla	f l o ʊ t ɪ l ə
floyd	f l ɔ ɪ d
fluffings	f l ʌ f ɪ ŋ z
fluorophilic	f l ɔ ɹ ə f ɪ l ɪ k
flus	f l u z
fnaf	f ə n æ f
foils	f ɔ ɪ l z
foodful	f u d f ə l
foods	f u d z
fool	f u l
footfall	f ʊ t f ɔ l
footstool	f ʊ t s t u l
foramina	f ə ɹ æ m ɪ n ə
forbes	f ɔ ɹ b z
foreignness	f ɔ ɹ ə n n ə s
foresay	f ɔ ɹ s e ɪ
forever	f ə ɹ ɛ v ɚ
forint	f ɔ ɹ ɪ n t
formal	f ɔ ɹ m ə l
forming	f ɔ ɹ m ɪ ŋ
fossor	f ɔ s ə ɹ
foulard	f u l ɑ ɹ d
fourier	f ʊ ə r i e ɪ
foxily	f ɔ k s ɪ l i
freaking	f ɹ i k ɪ ŋ
freakings	f ɹ i k ɪ ŋ z
freck	f ɹ ɛ k
freeboot	f ɹ i b u t
freedive	f r i d a ɪ v
freelance	f ɹ i l æ n s
freester	f ɹ i s t ɚ
fremd	f ɹ ɛ m d
frenemy	f ɹ ɛ n ɪ m i
fresher	f ɹ ɛ ʃ ɚ
freudian	f ɹ ɔ ɪ d i ə n
frieze	f ɹ i z
frigging	f ɹ ɪ ɡ ɪ ŋ
fritz	f ɹ ɪ t s
frizzle	f ɹ ɪ z ə l
frosh	f ɹ ɔ ʃ
frowned	f ɹ a ʊ n d
frowny	f ɹ a ʊ n i
frush	f ɹ ʌ ʃ
frustrate	f ɹ ʌ s t ɹ e ɪ t
fucus	f j u k ə s
full	f ʊ l
functions	f ʌ ŋ k ʃ ə n z
funded	f ʌ n d ɪ d
fussbutton	f ʌ s b ʌ t n̩
fuster	f ʌ s t ɚ
future	f j u t͡ʃ ɚ
gabe	ɡ e ɪ b
gadsbud	ɡ æ d z b ʌ d
gaits	ɡ e ɪ t s
gallium	ɡ æ l i ə m
gandalf	ɡ æ n d ɑ l f
gangnam	ɡ ɑ ŋ n ɑ m
gasbag	ɡ æ s b æ ɡ
gases	ɡ æ s ɪ z
gast	ɡ æ s t
gastrodiplomacy	ɡ æ s t ɹ o ʊ d ɪ p l o ʊ m ə s i
gavel	ɡ æ v ə l
geek	ɡ i k
generosity	d͡ʒ ɛ n ə ɹ ɑ s ə t i
genet	d͡ʒ ɛ n ɪ t
genistein	d͡ʒ ə n ɪ s t i ɪ n
genocidaire	d͡ʒ ɛ n ə s i d ɛ ɹ
genteel	d͡ʒ ɛ n t i l
genus	d͡ʒ i n ə s
geodetic	d͡ʒ i ə d ɛ t ɪ k
geodetics	d͡ʒ i o ʊ d ɛ t ɪ k s
geography	d͡ʒ i ɑ ɡ ɹ ə f i
geophyte	d͡ʒ i o ʊ f a ɪ t
geospace	d͡ʒ i o ʊ s p e ɪ s
gern	ɡ ɜ ɹ n
gibberish	d͡ʒ ɪ b ə ɹ ɪ ʃ
gibnut	ɡ ɪ b n ʌ t
gigged	ɡ ɪ ɡ d
gilded	ɡ ɪ l d ɪ d
ginsu	ɡ ɪ n s u
glade	ɡ l e ɪ d
gladly	ɡ l æ d l i
glioma	ɡ l a ɪ o ʊ m ə
gloak	ɡ l o ʊ k
gloomy	ɡ l u m i
gloria	ɡ l ɔ ɹ i ə
glued	ɡ l u d
glutamatergic	ɡ l u t ə m ə t ɝ d͡ʒ ɪ k
gmat	d͡ʒ i m æ t
gnaw	n ɔ
gnocchi	n j o ʊ k i
goguryeo	ɡ o ʊ ɡ ʊ ə ɹ i o ʊ
goldilocks	ɡ o ʊ l d i l ɔ k s
goods	ɡ ʊ d z
goos	ɡ u z
gout	ɡ a ʊ t
gove	ɡ o ʊ v
gowns	ɡ a ʊ n z
grabber	ɡ ɹ æ b ə ɹ
grabby	ɡ ɹ æ b i
graft	ɡ ɹ æ f t
graverobber	ɡ ɹ e ɪ v ɹ ɑ b ɚ
greengage	ɡ ɹ i n ɡ e ɪ d͡ʒ
greet	ɡ ɹ i t
gridlocks	ɡ ɹ ɪ d l ɔ k s
grieved	ɡ ɹ i v d
grinches	ɡ ɹ ɪ n t͡ʃ ɪ z
grip	ɡ ɹ ɪ p
grist	ɡ ɹ ɪ s t
grit	ɡ ɹ ɪ t
grogram	ɡ ɹ ɑ ɡ ɹ ə m
grotch	ɡ ɹ ɑ t͡ʃ
groupie	ɡ ɹ u p i
growlf	ɡ ɹ a ʊ l f
grown	ɡ ɹ o ʊ n
gruff	ɡ ɹ ʌ f
gruffish	ɡ ɹ ʌ f ɪ ʃ
guardiancy	ɡ ɑ ɹ d i ə n s i
guerdon	ɡ ɝ d ə n
guinevere	ɡ w ɪ n ɪ v ɪ ɹ
gums	ɡ ʌ m z
gunate	ɡ u n e ɪ t
gunship	ɡ ʌ n ʃ ɪ p
gunzel	ɡ ʌ n z l̩
gushes	ɡ ʌ ʃ ɪ z
gusla	ɡ ʊ s l ə
guzheng	ɡ u d͡ʒ ʌ ŋ
gynoid	ɡ a ɪ n ɔ ɪ d
habilitation	h ə b ɪ l ɪ t e ɪ ʃ ə n
hacienda	h ɑ s i ɛ n d ə
hack	h æ k
hades	h e ɪ d i z
haggard	h æ ɡ ɚ d
haida	h a ɪ d ə
haiti	h e ɪ t i
hallucination	h ə l u s ɪ n e ɪ ʃ ə n
handled	h æ n d l̩ d
hanger	h æ ŋ ɡ ɚ
hardened	h ɑ ɹ d n̩ d
harmless	h ɑ ɹ m l ə s
harmonize	h ɑ ɹ m ə n a ɪ z
hast	h æ s t
hath	h æ θ
hattemer	h æ t ə m ə ɹ
haupt	h a ʊ p t
havoc	h æ v ə k
hawthorn	h ɔ θ ɔ ɹ n
hazelwood	h e ɪ z ə l w ʊ d
headdesk	h ɛ d d ɛ s k
headwind	h ɛ d w ɪ n d
heaty	h i t i
hebdomadal	h ɛ b d ɔ m ə d ə l
hebrides	h ɛ b ɹ ə d i z
hecatomb	h ɛ k ə t o ʊ m
hecatonicosachoron	h ɛ k ə t ɔ n a ɪ k o ʊ s i k o ʊ ɹ ɔ n
heeding	h i d ɪ ŋ
hegelian	h ə ɡ e ɪ l i ə n
hegemon	h ɛ d͡ʒ ɛ m ə n
heists	h a ɪ s t s
heles	h i l z
hellacious	h ɛ l e ɪ ʃ ə s
helladic	h ə l æ d ɪ k
hellenicity	h ɛ l ɛ n ɪ s ə t i
hemisphere	h ɛ m ɪ s f ɪ ə ɹ
hemocytometer	h i m o ʊ s a ɪ t ɑ m ɪ ɾ ɚ
hep	h ɛ p
herbivore	h ɜ ɹ b ɪ v ɔ ɹ
heriot	h ɛ ɹ ɪ ə t
hertz	h ɝ t s
hicked	h ɪ k t
hicking	h ɪ k ɪ ŋ
hickman	h ɪ k m ə n
hieroglyphic	h a ɪ ɹ ə ɡ l ɪ f ɪ k
higham	h a ɪ ə m
highfather	h a ɪ f ɑ ð ɚ
hijackers	h a ɪ d͡ʒ æ k ə ɹ s
hike	h a ɪ k
hiked	h a ɪ k t
hippic	h ɪ p ɪ k
hippyish	h ɪ p i ɪ ʃ
hirs	h ɪ ɹ z
hissed	h ɪ s t
hisses	h ɪ s ɪ z
historical	h ɪ s t ɔ ɹ ɪ k ə l
hittite	h ɪ t a ɪ t
hobbyist	h ɑ b i ɪ s t
homer	h o ʊ m ə ɹ
homiletical	h ɔ m ɪ l ɛ t ɪ k ə l
homodimer	h o ʊ m o ʊ d a ɪ m ɚ
honeyed	h ʌ n i d
hoodwink	h ʊ d w ɪ ŋ k
hooted	h u t ɪ d
hornbeam	h ɔ ɹ n b i m
hornbill	h ɔ ɹ n b ɪ l
horologion	ɔ ɹ ə l ɔ j ɔ n
hot	h ɑ t
hotspur	h ɔ t s p ɜ ɹ
housel	h a ʊ z ə l
houthi	h u θ i
hov	e ɪ t͡ʃ o ʊ v i
huboon	h j u b u n
hulks	h ʌ l k s
humanize	h j u m ə n a ɪ z
humbert	h ʌ m b ə ɹ t
humped	h ʌ m p t
hungry	h ʌ ŋ ɡ ɹ i
hunnic	h ʌ n ɪ k
hunny	h ʌ n i
hutt	h ʌ t
hydaspes	h a ɪ d æ s p i z
hydrargyron	h a ɪ d ɹ ɑ d͡ʒ ɪ ɹ ɔ n
hydrocodone	h a ɪ d ɹ o ʊ k o ʊ d o ʊ n
hyllus	h ɪ l ə s
hyp	h ɪ p
hyperemotional	h a ɪ p ə ɹ i m o ʊ ʃ ə n ə l
hyperplasia	h a ɪ p ɚ p l e ɪ ʒ ə
hypnotize	h ɪ p n ə t a ɪ̯ z
hypolemma	h a ɪ p o ʊ l ɛ m ə
hyrax	h a ɪ ɹ æ k s
ibisbill	a ɪ b ɪ s b ɪ l
ibotenic	i b o ʊ t ɛ n ɪ k
icebreaker	a ɪ s b ɹ e ɪ k ə ɹ
icositetrachoron	a ɪ k o ʊ s i t ɛ t ɹ ə k o ʊ ɹ ɔ n
idioticon	ɪ d i o ʊ t ə k ə n
ielts	a ɪ̯ ɛ l t s
ignote	ɪ ɡ n o ʊ t
ikey	ʌ ɪ k i
illecebrous	ɪ l ɛ s ɪ b ɹ ə s
illegally	ɪ l i ɡ ə l i
illimitable	ɪ l ɪ m ɪ t ə b ə l
ily	ɪ l i
imbongi	ɪ m b ɔ ŋ ɡ i
immerse	ɪ m ɜ ɹ s
immutably	ɪ m j u t ə b l ɪ
impales	ɪ m p e ɪ l z
imperfection	ɪ m p ɚ f ɛ k ʃ ə n
imperil	ɪ m p ɛ ɹ ə l
imply	ɪ m p l a ɪ
importunity	ɪ m p ɔ ɹ t u n ɪ t i
imposed	ɪ m p o ʊ z d
impoverished	ɪ m p ɑ v ə ɹ ɪ ʃ t
impressive	ɪ m p ɹ ɛ s ɪ v
impugn	ɪ m p j u n
imputation	ɪ m p j ʊ t e ɪ ʃ ə n
inability	ɪ n ə b ɪ l ɪ t i
inaccurate	ɪ n æ k j ʊ ɹ ə t
inactivate	ɪ n æ k t ɪ v e ɪ t
inappropro	ɪ n ə p ɹ o ʊ p ɹ o ʊ
inchings	ɪ n t͡ʃ ɪ ŋ z
inconsiderate	ɪ n k ə n s ɪ d ə ɹ ɪ t
incorrect	ɪ n k ə ɹ ɛ k t
incredulity	ɪ n k ɹ ɪ d j u l ɪ t i
inculcate	ɪ n k ʌ l k e ɪ t
incunable	ɪ n k j u n ə b ə l
indebted	ɪ n d ɛ t ɪ d
indecision	ɪ n d ɪ s ɪ ʒ ə n
indeficient	ɪ n d ɪ f ɪ ʃ ə n t
indeterminate	ɪ n d ɪ t ɜ ɹ m ɪ n ə t
indices	ɪ n d ɪ s i z
indomethacin	ɪ n d o ʊ m ɛ θ ə s ɪ n
indulge	ɪ n d ʌ l d͡ʒ
induration	ɪ n d j ʊ ɹ e ɪ ʃ ə n
ineffable	ɪ n ɛ f ə b ə l
inevitability	ɪ n ɛ v ɪ t ə b ɪ l ɪ t i
inexhaustible	ɪ n ɪ ɡ z ɔ s t ɪ b l̩
infant	ɪ n f ə n t
infernal	ɪ n f ə ɹ n ə l
infiltrationism	ɪ n f ɪ l t ɹ e ɪ ʃ ə n ɪ z m̩
inflammable	ɪ n f l æ m ə b ə l
influenced	ɪ n f l u ə n s t
informant	ɪ n f ɔ ɹ m ə n t
ingemination	ɪ n d͡ʒ ɛ m ɪ n e ɪ ʃ ə n
ingredient	ɪ n ɡ ɹ i d i ə n t
inhabitant	ɪ n h æ b ɪ t ə n t
inhalation	ɪ n h ə l e ɪ ʃ ə n
inheritance	ɪ n h ɛ ɹ ə t ə n s
initial	ɪ n ɪ ʃ ə l
injector	ɪ n d͡ʒ ɛ k t ɚ
inoculate	ɪ n ɑ k j u l e ɪ t
inosite	ɪ n ə s a ɪ t
inquest	ɪ ŋ k w ɛ s t
inquinate	ɪ n k w ɪ n e ɪ t
inquiration	ɪ ŋ k w ɪ ɹ e ɪ ʃ ə n
insolvable	ɪ n s ɔ l v ə b ə l
instantiate	ɪ n s t æ n ʃ i e ɪ t
insure	ɪ n ʃ ʊ ɚ
intend	ɪ n t ɛ n d
intensate	ɪ n t ɛ n s e ɪ t
intentions	ɪ n t ɛ n ʃ ə n z
intently	ɪ n t ɛ n t l i
intermezzo	ɪ n t ɚ m ɛ t s o ʊ
intermittent	ɪ n t ɚ m ɪ t n̩ t
interosseus	ɪ n t ə ɹ ɔ s i ə s
interpret	ɪ n t ɝ p ɹ ɪ t
interspecific	ɪ n t ɚ s p ə s ɪ f ɪ k
interventive	ɪ n t ɚ v ɛ n t ə v
interview	ɪ n t ɚ v j u
intimation	ɪ n t ə m e ɪ ʃ ə n
intrahepatic	ɪ n t ɹ ə h ə p æ t ɪ k
intraresidue	ɪ n t ɹ ə ɹ ɛ z ɪ d u
intriguing	ɪ n t ɹ i ɡ ɪ ŋ
introduce	ɪ n t ɹ ə d u s
invariably	ɪ n v ɛ ɹ i ə b l i
iphone	a ɪ f o ʊ̯ n
irredeemable	ɪ ɹ ə d i m ə b ə l
irreparable	ɪ ɹ ɛ p ə ɹ ə b ə l
irruent	ɪ ɹ ɪ ʊ ə n t
isauria	a ɪ s ɔ ɹ i ə
isethionate	a ɪ s ɪ θ a ɪ ə n e ɪ t
isolated	a ɪ s ə l e ɪ t ɪ d
isotropy	a ɪ s ɔ t ɹ ə p i
isthmus	ɪ s m ə s
italianization	ɪ t æ l j ə n ə z e ɪ ʃ ə n
iwan	i w ɑ n
jacal	h ə k ɑ l
jace	d͡ʒ e ɪ s
jadoo	d͡ʒ ɑ d u
jakun	d͡ʒ ʌ k u n
janissary	d͡ʒ æ n ə z e ɹ i
japanese	d͡ʒ æ p ə n i z
japanophilia	d͡ʒ ə p æ n ə f ɪ l i ə
jared	d͡ʒ æ ɹ ə d
javertian	ʒ ə v ɛ ɹ ʃ ə n
jenkin	d͡ʒ ɛ ŋ k ɪ n
jestings	d͡ʒ ɛ s t ɪ ŋ z
jig	d͡ʒ ɪ ɡ
jinn	d͡ʒ ɪ n
jodhpurs	d͡ʒ ɑ d p ɚ z
johnnycake	d͡ʒ ɑ n i k e ɪ k
joins	d͡ʒ ɔ ɪ n z
jonathan	d͡ʒ ɑ n ə θ ə n
journal	d͡ʒ ɝ n ə l
judder	d͡ʒ ʌ d ɚ
judeophilia	d͡ʒ u d i o ʊ f ɪ l ɪ ə
juicer	d͡ʒ u s ɚ
jumble	d͡ʒ ʌ m b ə l
justify	d͡ʒ ʌ s t ɪ f a ɪ
kabuki	k ə b u k i
kaddish	k ɑ d ɪ ʃ
katana	k ə t ɑ n ə
keaton	k i t ə n
kellia	k ɛ l i ə
keynsham	k e ɪ n ʃ ə m
khazar	k ə z ɑ ɹ
kiki	k i k i
kikoi	k i k ɔ i
kinds	k a ɪ n d z
kipfel	k ɪ p f ə l
kishke	k ɪ ʃ k ə
kithe	k ʌ ɪ ð
klein	k l a ɪ n
klutz	k l ʌ t s
kniffles	n ɪ f l i z
koi	k ɔ ɪ
kriol	k ɹ i o ʊ l
kwok	k w ɔ k
kylix	k a ɪ l ɪ k s
kylixes	k a ɪ l ɪ k s ə z
kyphotone	k a ɪ f ə t o ʊ n
kyrgyz	k ɪ ɹ ɡ ɪ z
labiodental	l e ɪ b i o ʊ d e n t ə l
labor	l e ɪ b ɚ
lacerated	l æ s ə ɹ e ɪ t ɪ d
laciniate	l ə s ɪ n i ə t
lack	l æ k
lacrimogenous	l æ k ɹ ɪ m ɑ d͡ʒ ə n ə s
ladakh	l ə d ɑ k
laden	l e ɪ d ə n
lady	l e ɪ d i
lageniform	l ə d͡ʒ ɛ n ə f ɔ ɹ m
lager	l ɑ ɡ ɚ
landing	l æ n d ɪ ŋ
landon	l æ n d ə n
landover	l æ n d o ʊ v ə ɹ
languet	l æ ŋ ɡ w ɪ t
languid	l æ ŋ ɡ w ɪ d
langur	l ʌ ŋ ɡ ʊ ə ɹ
lantibiotic	l æ n t i b a ɪ ɔ t ɪ k
lapidation	l æ p ɪ d e ɪ ʃ ə n
lapses	l æ p s ɪ z
lapsus	l æ p s ə s
lariat	l æ ɹ ɪ ə t
lase	l e ɪ z
laters	l e ɪ t ɚ z
latest	l e ɪ t ɪ s t
latigo	l æ t ɪ ɡ o ʊ
laurussia	l ɔ ɹ ʌ ʃ ə
lazed	l e ɪ z d
leafings	l i f ɪ ŋ z
leaks	l i k s
leapfrog	l i p f ɹ ɑ ɡ
legato	l ə ɡ ɑ t o ʊ
legislate	l ɛ d͡ʒ ɪ s l e ɪ t
legislative	l ɛ d͡ʒ ɪ s l e ɪ t ɪ v
lemur	l i m ə ɹ
leninite	l ɛ n ɪ n a ɪ t
lesdar	l ɛ z d ɑ ɹ
lesson	l ɛ s n̩
lethargy	l ɛ θ ɚ d͡ʒ i
leucotome	l u k ə t o ʊ m
levitous	l ɛ v ɪ t ə s
levodopa	l ɛ v ə d o ʊ p ə
lewdness	l u d n ə s
lezzer	l ɛ z ɚ
li	l i
lias	l i ə s
libby	l ɪ b i
libertine	l ɪ b ɚ t i n
librarian	l a ɪ b ɹ ɛ ɹ i ə n
lignify	l ɪ ɡ n ɪ f a ɪ
likelihood	l a ɪ k l i h ʊ d
liken	l a ɪ k ə n
likin	l i k ɪ n
lil	l ɪ l
lilliputian	l ɪ l ɪ p j u ʃ ə n
limavady	l ɪ m ə v æ d i
limelight	l a ɪ m l a ɪ t
limn	l ɪ m
limner	l ɪ m n ɚ
linalool	l ɪ n æ l o ʊ ə l
lining	l a ɪ n ɪ ŋ
lipline	l ɪ p l a ɪ n
lipstick	l ɪ p s t ɪ k
listicle	l ɪ s t ə k l̩
listing	l ɪ s t ɪ ŋ
litharge	l ɪ θ ɑ ɹ d͡ʒ
litterateur	l ɪ t ə ɹ ə t ʊ ɚ
loaf	l o ʊ f
loam	l o ʊ m
lodgment	l ɑ d͡ʒ m ə n t
loggat	l ɔ ɡ ə t
logological	l ɑ ɡ o ʊ l ɑ d͡ʒ i k ə l
logorrhea	l ɔ ɡ ə ɹ i ə
logy	l o ʊ ɡ i
loki	l o ʊ k i
londraville	l ɑ n d ɹ ə v ɪ l
long	l ɔ ŋ
longed	l ɔ ŋ d
longeval	l ɔ n d͡ʒ i v ə l
longhope	l ɔ ŋ h o ʊ p
looked	l ʊ k t
loong	l ʊ ŋ
loose	l u s
lote	l o ʊ t
lots	l ɑ t s
lottery	l ɑ t ɚ i
loyal	l ɔ ɪ ə l
lrrp	l ɝ p
lunching	l ʌ n t͡ʃ ɪ ŋ
lusk	l ʌ s k
lusophilia	l u s ə f ɪ l ɪ ə
macdonald	m ə k d ɑ n ə l d
macher	m ɑ x ɛ ɹ
machinist	m ə ʃ i n ɪ s t
macky	m æ k i
macomb	m ə k o ʊ m
macspaunday	m ə k s p ɔ n d e ɪ
maggie	m æ ɡ i
magnesia	m æ ɡ n i ʒ ə
magnificent	m æ ɡ n ɪ f ə s ə n t
maidan	m a ɪ d ɑ n
mainline	m e ɪ n l a ɪ n
malady	m æ l ə d i
malamute	m æ l ə m j u t
malarkey	m ə l ɑ ɹ k i
malevolent	m ə l ɛ v ə l ə n t
malinger	m ə l ɪ ŋ ɡ ɚ
malodorous	m æ l o ʊ d ə ɹ ə s
mammal	m æ m ə l
mammary	m æ m ə ɹ i
mandarin	m æ n d ə ɹ ɪ n
mandom	m æ n d ə m
manipulative	m ə n ɪ p j ə l ə t ɪ v
manks	m æ ŋ k s
manly	m æ n l i
manpack	m æ n p æ k
manque	m ɔ ŋ k e ɪ
mansplaining	m æ n s p l e ɪ n ɪ ŋ
mantilla	m æ n t i j ə
map	m æ p
marble	m ɑ ɹ b ə l
marginally	m ɑ ɹ d͡ʒ ɪ n ə l i
mariah	m ə ɹ a ɪ ə
marine	m ə ɹ i n
marmot	m ɑ ɹ m ə t
marocain	m ɑ ɹ ə k e ɪ n
marquee	m ɑ ɹ k i
marshy	m ɑ ɹ ʃ i
martyrium	m ɑ ɹ t ɪ ɹ i ə m
masked	m æ s k t
massachusetts	m æ s ə t͡ʃ u s ɪ t s
massingbird	m æ s ɪ ŋ b ɜ ɹ d
massymore	m æ s ɪ m ɔ
masterdom	m æ s t ɚ d ə m
masticatory	m æ s t ɪ k ə t ɔ r i
matthews	m æ θ j u z
maulstick	m ɔ l s t ɪ k
mausoleum	m ɔ s ə l i ə m
meal	m i l
mean	m i n
meant	m ɛ n t
measuring	m ɛ ʒ ɚ ɪ ŋ
mediately	m i d i ə t l i
mediator	m i d i e ɪ t ɚ
meed	m i d
meerkitten	m i ə k ɪ t ə n
membraneous	m ɛ m b ɹ e ɪ n i ə s
men	m ɛ n
mendaciously	m ɛ n d e ɪ ʃ ə s l i
mendelevium	m ɛ n d ə l i v i ə m
mental	m ɛ n t ə l
merenchyma	m ɛ ɹ ɪ ŋ k a ɪ m ə
mesmerize	m ɛ z m ə ɹ a ɪ z
message	m ɛ s ɪ d͡ʒ
messages	m ɛ s ɪ d͡ʒ ɪ z
messias	m ə s a ɪ ə s
messrs	m ɛ s ɚ z
met	m ɛ t
metacercaria	m ɛ t ə s ɜ ɹ k ɛ ɹ ɪ ə
metaller	m ɛ t ə l ə
metamorphosis	m ɛ ɾ ə m ɔ ɹ f ə s ɪ s
metatheoretical	m ɛ t ə θ i ə ɹ ɛ t ɪ k l̩
mete	m i t
meth	m ɛ θ
metharbital	m ə θ ɑ ɹ b ə t ɔ l
metic	m ɛ t ə k
mexiletine	m ɛ k s ɪ l ə t i n
microzyma	m a ɪ k ɹ o ʊ z a ɪ m ə
middle	m ɪ d ə l
middlemarch	m ɪ d ə l m ɑ t͡ʃ
midst	m ɪ d s t
millipede	m ɪ l ə p i d
millisor	m ɪ l a ɪ z ɚ
milnacipran	m ɪ l n æ s ə p ɹ æ n
milt	m ɪ l t
mimantean	m ɪ m æ n t i ə n
mime	m a ɪ m
ministerial	m ɪ n ə s t ɪ ɹ i ə l
minnesotan	m ɪ n ə s o ʊ t ə n
minocycline	m ɪ n o ʊ s a ɪ k l i n
minto	m ɪ n t o ʊ
minyans	m ɪ n a ɪ ə n z
misbeliever	m ɪ s b ɪ l i v ɚ
miscellaneous	m ɪ s ə l e ɪ n ɪ ə s
miscreate	m ɪ s k ɹ ɪ e ɪ t
miserabilist	m ɪ z ə ɹ ə b ə l ɪ s t
miserabler	m ɪ z ɹ ə b ə l ə ɹ
miserly	m a ɪ z ə ɹ l i
misogynist	m ɪ s ɑ d͡ʒ ə n ɪ s t
misoprostol	m a ɪ s o ʊ p ɹ ɑ s t ɔ l
missionaries	m ɪ ʃ ə n ɛ ɹ i z
missouran	m ə z ɝ ə n
mistress	m ɪ s t ɹ ɪ s
mithraeum	m ɪ θ ɹ i ə m
mitral	m a ɪ t ɹ ə l
mitre	m a ɪ t ə ɹ
mizo	m ɪ z o ʊ
mnemotechnical	n ɛ m o ʊ t ɛ k n ɪ k ə l
moan	m o ʊ n
