অঁকোল	ɔ k o l
সঙ্গে	ʃ ɔ ŋ ɡ e
সজারু	ʃ ɔ d͡ʒ a r u
সত্ত্বেও	ʃ ɔ t̪ː e o̯
সত্য	ʃ o tː ɔ
সত্যফল	ʃ o tː ɔ pʰ ɔ l
সদর	ʃ ɔ d̪ o ɾ
সদরদপ্তর	ʃ ɔ d̪ o ɾ d̪ ɔ f t o ɾ
সদরদফতর	ʃ ɔ d̪ o ɾ d̪ ɔ f t o ɾ
সদাই	ʃ ɔ d̪ a i
সনদ	ʃ ɔ n o d̪
সপ্তাহ	ʃ ɔ p t̪ ɑ ɦ ɔ
সমক	ʃ ɒ m ɔ k
সমকামী	ʃ ɔ m ɔ k ɑ m i
সমকে	ʃ ɒ m k e
সময়কাল	ʃ ɔ m ɔ j k a l
সমীরণ	ʃ o m i ɾ ɔ n
সমুদ্র	ʃ o m u d r o
সম্পাদিকা	ʃ ɔ m p ɑ d̪ i k ɑ
সরকার	ʃ ɔ ɾ k a ɾ
সরদ	ʃ ɔ ɾ ɔ d̪
সরল	ʃ ɔ ɾ o l
সলিল	ʃ o l i l
সহকর্মী	ʃ ɔ ɦ ɔ k ɔ ɾ m i
সাঁই	ʃ a i̯
সাগর	ʃ a ɡ ɔ ɾ
সাতক্ষীরা	ʃ a t̪ kʰ i ɹ a
সাদা	ʃ a d̪ a
সাবান	ʃ a b a n
সাবাশ	ʃ a b a ʃ
সাবাস	ʃ a b a ʃ
সামী	s a m i
সার	ʃ a ɾ
সার্জারি	ʃ ɑ ɾ d͡ʒ ɑ ɾ i
সালাম	s a l a m
সিংহাসন	ʃ i ŋ ɦ a ʃ o n
সিগারেট	s i ɡ ɑ r e ʈ
সিন্দুক	ʃ i n d̪ u k
সিলডি	s i l ɔ d̺ i
সিলেইট্যা	s i l e i t̺ t̺ a
সুড়ঙ্গ	ʃ u ɹ ɔ ŋ ɡ o
সুন্দরী	ʃ u n d̪ ɔ ɾ i
সুভদ্রক	ʃ u bʱ ɔ dː ɾ ɔ k
সুলতান	s u l t̪ a n
সুলতানা	s u l t̪ a n a
সূরা	s u ɹ a
সেঁউতি	ʃ ẽ u t̪ i
সৌন্দর্য	ʃ o u̯ n d̪ ɔ ɹ d ʑ o
স্কুটার	ʃ k u ʈ̟ ɑ ɾ
স্থল	s t̪ʰ ɔ l
স্থান	s t̪ʰ a n
স্নিগ্ধা	s n i ɡ d̪ʱ a
স্নেহ	s n e ɦ o
স্ফটিক	ʃ pʰ o ʈ i k
স্বাস্থ্য	ʃ a s tʰ j ɔ
সৎ	s ɔ t̪
হইতে	ɦ o i̯ t̪ e
হউরী	ɦ ɔ u ɾ i
হক্কল	ɦ ɒ k k ɔ l
হগল	ɦ ɒ ɡ ɔ l
হঙ্গে	ɦ ɒ ŋ ɡ e
হতাশা	ɦ ɔ t̪ ɑ ʃ ɑ
হন্দর	ɦ ɔ n d̪ ɔ ɾ
হপ্তা	ɦ ɔ p t̪ a
হমান	ɦ ɒ m a n
হমুক	ɦ ɔ m u k
হয়রান	ɦ ɔ e̯ ɾ a n
হরা	ɦ ɒ ɾ a
হরিজন	ɦ ɔ ɾ i d͡ʒ ɔ n
হরীতকী	h o ɾ i t o k i
হরু	ɦ ɔ ɾ u
হরুলা	ɦ ɔ ɾ u l a
হহুন	ɦ ɔ ɦ u n
হাঁ	h æ̃ː
হাঁই	ɦ a i
হাঁটা	ɦ a ʈ a
হাঁতরানো	ɦ a t̪ ɾ a n ɔ
হাইর	ɦ a i ɾ
হাগু	ɦ a ɡ u
হাঙ্গুর	h ɐ ŋ ɡ u r
হাড়ি	ɦ a ɾ i
হাত	ɦ a t̪
হাতি	ɦ ɑ t̪ i
হাপ	ɦ a p
হাবশি	ɦ ɑ b ʃ i
হামলা	ɦ a m l a
হামানদিস্তা	h a m a n d i s t a
হামুক	ɦ a m u k
হায়েনা	ɦ a e̯ n a
হাসা	ɦ ɑ ʃ ɑ
হাসানো	ɦ ɑ ʃ ɑ n o
হিগা	ɦ i ɡ a
হিটলার	ɦ i ʈ̟ l ɑ ɾ
হিনান	ɦ i n a n
হিমবাহ	h i m b a h o
হিয়া	ɦ i̯ a
হিয়ান	ɦ i a n
হিয়াল	ɦ i a l
হিল	ɦ i l
হিসাব	ɦ i ʃ a b
হুটকি	ɦ u t̺ k i
হুদা	h u d ɐ
হুনা	ɦ u n a
হুনি	ɦ u n i
হুরইন	ɦ u ɾ ɔ i n
হুরু	ɦ u ɾ u
হে	ɦ e
হেঁজ	ɦ ɛ z
হেঁজা	ɦ ɛ z a
হেঁজার	ɦ ɛ z a ɾ
হেই	ɦ e i
হেউত	ɦ e u t̪
হেতাই	ɦ ɛ t̪ a i
হেতাইন	ɦ ɛ t̪ a i n
হেতি	ɦ e t̪ i
হেতে	ɦ ɛ t̪ e
হোঁচট	ɦ õ t ʃ ɔ ʈ
হোয়া	ɦ ɔ a
হোয়াদ	ɦ o a d̪
হোল	ɦ o l
হ্যাঁ	h ɛ̃
