<|असम|>অংক	ɔ ŋ k ɔ
<|असम|>ভোজ	bʱ ʊ z
<|असम|>ভোট	bʱ ʊ t
<|असम|>ভৰা	bʱ ɔ ɹ a
<|असम|>ভৰোৱা	bʱ ɔ ɹ ʊ a
<|असम|>মই	m ɔ ɪ
<|असम|>মইনা	m ɔ ɪ n a
<|असम|>মকৰা	m ɔ k ɔ ɹ a
<|असम|>মঙহ	m ɔ ŋ ɔ ɦ
<|असम|>মচলা	m ɔ s ɔ l a
<|असम|>মটীয়া	m ɔ t i a
<|असम|>মতা	m ɔ t a
<|असम|>মধুমেহ	m ɔ dʱ u m ɛ ɦ
<|असम|>মনা	m ɔ n a
<|असम|>মহাসাগৰ	m ɔ ɦ a x a ɡ ɔ ɹ
<|असम|>মহিলা	m ɔ ɦ i l a
<|असम|>মাই	m a ɪ
<|असम|>মাইকী	m a ɪ k i
<|असम|>মাগুৰ	m a ɡ u ɹ
<|असम|>মাছ	m a s
<|असम|>মাজ	m a z
<|असम|>মাজেদি	m a z ɛ d i
<|असम|>মাজেৰে	m a z ɛ ɹ ɛ
<|असम|>মাণিক	m a n i k
<|असम|>মাত	m a t
<|असम|>মাতা	m a t a
<|असम|>মাথা	m a tʰ a
<|असम|>মাথোঁ	m a tʰ ʊ̃
<|असम|>মান	m a n
<|असम|>মানা	m a n a
<|असम|>মানে	m a n ɛ
<|असम|>মালিক	m a l i k
<|असम|>মালিকানা	m a l i k a n a
<|असम|>মাহ	m aʱ
<|असम|>মাৰি	m a ɹ i
<|असम|>মাৰ্বল	m a ɹ b ɔ l
<|असम|>মিছা	m i s a
<|असम|>মিঠা	m i tʰ a
<|असम|>মিঠালাউ	m i tʰ a l a u
<|असम|>মিহলি	m i ɦ ɔ l i
<|असम|>মিহলোৱা	m i ɦ ɔ l ʊ a
<|असम|>মুকলি	m u k o l i
<|असम|>মুঠ	m u tʰ
<|असम|>মুঠি	m u tʰ i
<|असम|>মূঢ়া	m u ɹʱ a
<|असम|>মূৰ	m u ɹ
<|असम|>মেটেকা	m ɛ t ɛ k a
<|असम|>মেলা	m ɛ l a
<|असम|>মেৰামতি	m ɛ ɹ a m ɔ t i
<|असम|>মেৰিওৱা	m ɛ ɹ i ʊ a
<|असम|>মৈ	m o ɪ
<|असम|>মোবাইল	m ʊ b a ɪ l
<|असम|>মোৰ	m ʊ ɹ
<|असम|>মৌচাক	m o ʊ s a k
<|असम|>মৌচুমী	m o ʊ s u m i
<|असम|>মৌপিয়া	m o ʊ p i a
<|असम|>মৰম	m ɔ ɹ ɔ m
<|असम|>মৰমৰ	m ɔ ɹ ɔ m ɔ ɹ
<|असम|>মৰা	m ɔ ɹ a
<|असम|>মৰাঠাৰি	m ɔ ɹ a tʰ a ɹ i
<|असम|>য়	j ɔ
<|असम|>যাদু	z a d u
<|असम|>যিমান	z i m a n
<|असम|>যুঁজাৰু	z ũ z a ɹ u
<|असम|>যেতিয়া	z ɛ t i a
<|असम|>যেনে	z ɛ n ɛ
<|असम|>যোগান	z ʊ ɡ a n
<|असम|>যোৱা	z ʊ a
<|असम|>য’ত	z o t
<|असम|>ল'ৰা	l o ɹ a
<|असम|>লগত	l ɔ ɡ ɔ t
<|असम|>লগা	l ɔ ɡ a
<|असम|>লতা	l ɔ t a
<|असम|>লাউ	l a u
<|असम|>লাগ	l a ɡ
<|असम|>লাজ	l a z
<|असम|>লাজুকা	l a z u k a
<|असम|>লিপি	l i p i
<|असम|>লেতেৰা	l ɛ t ɛ ɹ a
<|असम|>লেলাউটি	l ɛ l a u t i
<|असम|>লেহেমীয়া	l ɛ ɦ ɛ m i a
<|असम|>লো	l ʊ
<|असम|>লৰা	l ɔ ɹ a
<|असम|>ল’ৰা	l o ɹ a
<|असम|>শকত	x ɔ k ɔ t
<|असम|>শব্দ	x ɔ b d ɔ
<|असम|>শলা	x ɔ l a
<|असम|>শস্য	x ɔ ɪ s s ɒ
<|असम|>শান্ত	x a n t ɔ
<|असम|>শামুক	x a m u k
<|असम|>শাল	x a l
<|असम|>শালি	x a l i
<|असम|>শাহ	x aʱ
<|असम|>শাৰী	x a ɹ i
<|असम|>শিং	x i ŋ
<|असम|>শিকোৱা	x i k ʊ a
<|असम|>শিক্ষা	x i k kʰ a
<|असम|>শিয়াল	x i a l
<|असम|>শিল	x i l
<|असम|>শিহা	x i ɦ a
<|असम|>শুকান	x u k a n
<|असम|>শুধ	x u dʱ ɔ
<|असम|>শুন	x u n
<|असम|>শুৱনি	x u ɔ n i
<|असम|>শূন্য	x u i n n ɔ
<|असम|>শেৱালি	x ɛ w a l i
<|असम|>শৈশৱ	x o ɪ x ɔ w
<|असम|>শোৱা	x ʊ a
<|असम|>শ্ৰদ্ধা	s ɹ ɔ d dʱ a
<|असम|>শৰণাৰ্থী	x ɔ ɹ ɔ n a ɹ tʰ i
<|असम|>শৰালি	x ɔ ɹ a l i
<|असम|>সঁজুলি	x ɔ̃ z u l i
<|असम|>সকলো	x ɔ k ɔ l ʊ
<|असम|>সকলোতকৈ	x ɔ k ɔ l ʊ t k o ɪ
<|असम|>সজা	x ɔ z a
<|असम|>সজোৱা	x ɔ z ʊ a
<|असम|>সদৰ	x ɔ d ɔ ɹ
<|असम|>সপোন	x ɔ p ʊ n
<|असम|>সবাতোকৈ	x ɔ b a t ʊ k o ɪ
<|असम|>সময়	x ɔ m ɔ ɛ
<|असम|>সমান	x m a n
<|असम|>সাগৰ	x a ɡ ɔ ɹ
<|असम|>সাঙোৰ	x a ŋ ʊ ɹ
<|असम|>সাজ	x a z
<|असम|>সাজু	x a z u
<|असम|>সাত	x a t
<|असम|>সান	x a n
<|असम|>সানা	x a n a
<|असम|>সাপ	x a p
<|असम|>সালসলনি	x a l x ɒ l ɒ n i
<|असम|>সাৰ	x a ɹ
<|असम|>সাৰেং	x a ɹ ɛ ŋ
<|असम|>সিঁচা	x i s a
<|असम|>সিজোৱা	x i z ʊ a
<|असम|>সিমান	x i m a n
<|असम|>সিহঁত	x i ɦ ɔ̃ t
<|असम|>সুণীয়া	x u n i a
<|असम|>সুবিধা	x u b i dʱ a
<|असम|>সূতা	x u t a
<|असम|>সূৰ্য্য	x u i ɹ d ʑ ɒ
<|असम|>সেউজীয়া	x ɛ u z i a
<|असम|>সেমেকা	x ɛ m ɛ k a
<|असम|>সেৱা	x ɛ w a
<|असम|>সৈতে	x o ɪ t ɛ
<|असम|>সোঁ	x ʊ̃
<|असम|>সোঁত	x ʊ̃ t
<|असम|>সোঁফালে	x ʊ̃ pʰ a l ɛ
<|असम|>সোণ	x ʊ n
<|असम|>সোণালী	x ʊ n a l i
<|असम|>সোণৰ	x ʊ n ɔ ɹ
<|असम|>সোনকালে	x ʊ n k a l ɛ
<|असम|>সোপা	x ʊ p a
<|असम|>সোমোৱা	x ʊ m ʊ a
<|असम|>সোৱাদ	x ʊ a d
<|असम|>স্বাধীনতা	s a dʱ i n ɔ t a
<|असम|>সৰা	x ɔ ɹ a
<|असम|>হাঁচি	ɦ ã s i
<|असम|>হাকিম	ɦ a k i m
<|असम|>হাজাৰ	ɦ a z a ɹ
<|असम|>হাজৰিকা	ɦ a z o ɹ i k a
<|असम|>হাটী	ɦ a t i
<|असम|>হাতী	ɦ a t i
<|असम|>হাতুৰী	ɦ a t u ɹ i
<|असम|>হাবি	ɦ a b i
<|असम|>হাল	ɦ a l
<|असम|>হালধি	h a l ɔ dʱ i
<|असम|>হালোৱা	ɦ a l ʊ a
<|असम|>হাহাকাৰ	ɦ a ɦ a k a ɹ
<|असम|>হাৰ	ɦ a ɹ
<|असम|>হিমালয়	ɦ i m a l ɔ j
<|असम|>হিয়া	ɦ i a
<|असम|>হিলৈ	ɦ i l o ɪ
<|असम|>হুৰুম	ɦ u ɹ u m
<|असम|>হেঁচা	ɦ ẽ s a
<|असम|>হেঁপাহ	ɦ ẽ p aʱ
<|असम|>হোৱা	ɦ ʊ a
<|असम|>ৰং	ɹ ɔ ŋ
<|असम|>ৰঙা	ɹ ɔ ŋ a
<|असम|>ৰচনা	ɹ ɔ s ɔ n a
<|असम|>ৰছী	ɹ ɔ s i
<|असम|>ৰন্ধা	ɹ ɔ n dʱ a
<|असम|>ৰাইজ	ɹ a ɪ z
<|असम|>ৰাতি	ɹ a t i
<|असम|>ৰাতিপুৱা	ɹ a t i p u a
<|असम|>ৰিহা	ɹ i ɦ a
<|असम|>ৰ’দোৱা	ɹ o d ʊ a
<|हिंदी|>अंकल	ə ŋ k ə l
<|हिंदी|>अंकुर	ə ŋ k ʊ ɾ
<|हिंदी|>अंकुरित	ə ŋ k ʊ ɾ ɪ t̪
<|हिंदी|>अंगुली	ə ŋ ɡ ʊ l iː
<|हिंदी|>अंजाम	ə ɲ d͡ʒ ɑː m
<|हिंदी|>अंदर	ə n d̪ ə ɾ
<|हिंदी|>अंबर	ə m b ə ɾ
<|हिंदी|>अंश	ə n ʃ
<|हिंदी|>अंशकालिक	ə n ʃ k ɑː l ɪ k
<|हिंदी|>अकादमिक	ə k ɑː d̪ m ɪ k
<|हिंदी|>अकादमी	ə k ɑː d̪ m iː
<|हिंदी|>अकेला	ə k eː l ɑː
<|हिंदी|>अक्सर	ə k s ə ɾ
<|हिंदी|>अखाड़ा	ə kʰ ɑː ɽ ɑː
<|हिंदी|>अखिल	ə kʰ ɪ l
<|हिंदी|>अगर	ə ɡ ə ɾ
<|हिंदी|>अगुआ	ə ɡ ʊ ɑː
<|हिंदी|>अजान	ə d͡ʒ ɑː n
<|हिंदी|>अजूबा	ə d͡ʒ uː b ɑː
<|हिंदी|>अत्याचारी	ə t̪ j ɑː t͡ʃ ɑː ɾ iː
<|हिंदी|>अदाकार	ə d̪ ɑː k ɑː ɾ
<|हिंदी|>अधिकतम	ə d̪ʱ ɪ k t̪ ə m
<|हिंदी|>अधीन	ə d̪ʱ iː n
<|हिंदी|>अधीनता	ə d̪ʱ iː n t̪ ɑː
<|हिंदी|>अनदेखा	ə n d̪ eː kʰ ɑː
<|हिंदी|>अनपढ़	ə n p ə ɽʱ
<|हिंदी|>अनाज	ə n ɑː d͡ʒ
<|हिंदी|>अनिद्रा	ə n ɪ d̪ ɾ ɑː
<|हिंदी|>अनियंत्रित	ə n iː j ə n t̪ ɾ ɪ t̪
<|हिंदी|>अनुपात	ə n ʊ p ɑː t̪
<|हिंदी|>अनुयायी	ə n ʊ j ɑː j iː
<|हिंदी|>अन्याय	ə n j ɑː j
<|हिंदी|>अपराधी	ə p ɾ ɑː d̪ʱ iː
<|हिंदी|>अपेक्षाकृत	ə p eː k ʃ ɑː k ɾ ɪ t̪
<|हिंदी|>अप्रत्यक्ष	ə p ɾ ə t̪ j ə k ʃ
<|हिंदी|>अप्रत्याशित	ə p ɾ ə t̪ j ɑː ʃ ɪ t̪
<|हिंदी|>अप्रैल	ə p ɾ ɛː l
<|हिंदी|>अभिनेत्री	ə bʱ ɪ n eː t̪ ɾ iː
<|हिंदी|>अभिलाषा	ə bʱ ɪ l ɑː ʃ ɑː
<|हिंदी|>अमेरिका	ə m eː ɾ ɪ k ɑː
<|हिंदी|>अयस्क	ə j ə s k
<|हिंदी|>अरबिंद	ə ɾ b ɪ n d̪
<|हिंदी|>अर्ज़ी	ə ɾ z iː
<|हिंदी|>अर्जेंटीना	ə ɾ d͡ʒ eː n ʈ iː n ɑː
<|हिंदी|>अर्थपूर्ण	ə ɾ t̪ʰ ə p uː ɾ n
<|हिंदी|>अलमारी	ə l m ɑː ɾ iː
<|हिंदी|>अल्पसंख्यक	ə l p s ə ŋ kʰ j ə k
<|हिंदी|>अल्लाह	ə l l ɑːʱ
<|हिंदी|>अवधारणा	ə ʋ d̪ʱ ɑː ɾ n ɑː
<|हिंदी|>अवलोकन	ə ʋ l oː k ə n
<|हिंदी|>असंगत	ə s ə ŋ ɡ ə t̪
<|हिंदी|>असंतुष्ट	ə s ə n t̪ ʊ ʃ ʈ
<|हिंदी|>असंवैधानिक	ə s ə m ʋ ɛː d̪ʱ ɑː n ɪ k
<|हिंदी|>असम	ə s ə m
<|हिंदी|>असाधारण	ə s ɑː d̪ʱ ɑː ɾ ə n
<|हिंदी|>अस्तित्व	ə s t̪ ɪ t̪ ʋ
<|हिंदी|>अस्पताल	ə s p ə t̪ ɑː l
<|हिंदी|>अहमियत	ɛːʱ m iː j ə t̪
<|हिंदी|>आँगन	ɑ̃ː ɡ ə n
<|हिंदी|>आँच	ɑ̃ː t͡ʃ
<|हिंदी|>आइसलैंड	ɑː ɪ s l ɛː n ɖ
<|हिंदी|>आकाश	ɑː k ɑː ʃ
<|हिंदी|>आक्रोश	ɑː k ɾ oː ʃ
<|हिंदी|>आगे	ɑː ɡ eː
<|हिंदी|>आज	ɑː d͡ʒ
<|हिंदी|>आडवाणी	ɑː ɖ ʋ ɑː n iː
<|हिंदी|>आतिशबाज़ी	ɑː t̪ ɪ ʃ b ɑː z iː
<|हिंदी|>आत्मनिर्भर	ɑː t̪ m ə n ɪ ɾ bʱ ə ɾ
<|हिंदी|>आधार	ɑː d̪ʱ ɑː ɾ
<|हिंदी|>आधारभूत	ɑː d̪ʱ ɑː ɾ bʱ uː t̪
<|हिंदी|>आना	ɑː n ɑː
<|हिंदी|>आपका	ɑː p k ɑː
<|हिंदी|>आपत्तिजनक	ɑː p ə t̪ t̪ iː d͡ʒ ə n ə k
<|हिंदी|>आपबीती	ɑː p b iː t̪ iː
<|हिंदी|>आमंत्रित	ɑː m ə n t̪ ɾ ɪ t̪
<|हिंदी|>आयत	ɑː j ə t̪
<|हिंदी|>आयरलैंड	ɑː j ə ɾ l ɛː n ɖ
<|हिंदी|>आया	ɑː j ɑː
<|हिंदी|>आरंभिक	ɑː ɾ ə m bʱ ɪ k
<|हिंदी|>आलेख	ɑː l eː kʰ
<|हिंदी|>आशय	ɑː ʃ ə j
<|हिंदी|>आशियाना	ɑː ʃ iː j ɑː n ɑː
<|हिंदी|>आसामी	ɑː s ɑː m iː
<|हिंदी|>आसार	ɑː s ɑː ɾ
<|हिंदी|>आस्था	ɑː s t̪ʰ ɑː
<|हिंदी|>इंडस्ट्री	ɪ n ɖ ə s ʈ ɾ iː
<|हिंदी|>इंफाल	ɪ m pʰ ɑː l
<|हिंदी|>इज़हार	ɪ z ɦ ɑː ɾ
<|हिंदी|>इतर	ɪ t̪ ə ɾ
<|हिंदी|>इत्र	ɪ t̪ ɾ
<|हिंदी|>इनको	ɪ n k oː
<|हिंदी|>इन्हें	ɪ n ɦ ẽ
<|हिंदी|>इबादत	ɪ b ɑː d̪ ə t̪
<|हिंदी|>इमारत	ɪ m ɑː ɾ ə t̪
<|हिंदी|>इम्तेहान	ɪ m t̪ eː ɦ ɑː n
<|हिंदी|>इलाही	ɪ l ɑː ɦ iː
<|हिंदी|>इस्लामाबाद	ɪ s l ɑː m ɑː b ɑː d̪
<|हिंदी|>उक्त	ʊ k t̪
<|हिंदी|>उचित	ʊ t͡ʃ ɪ t̪
<|हिंदी|>उच्चारण	ʊ t͡ʃ t͡ʃ ɑː ɾ ə n
<|हिंदी|>उजागर	ʊ d͡ʒ ɑː ɡ ə ɾ
<|हिंदी|>उड़ीसा	ʊ ɽ iː s ɑː
<|हिंदी|>उड्डयन	ʊ ɖ ɖ ə j ə n
<|हिंदी|>उत्कृष्ट	ʊ t̪ k ɾ ɪ ʃ ʈ
<|हिंदी|>उत्तरदायित्व	ʊ t̪ t̪ ə ɾ d̪ ɑː j ɪ t̪ ʋ
<|हिंदी|>उत्तरदायी	ʊ t̪ t̪ ə ɾ d̪ ɑː j iː
<|हिंदी|>उत्तेजित	ʊ t̪ː e d ʒ ɪ t̪
<|हिंदी|>उत्पत्ति	ʊ t̪ p ə t̪ t̪ iː
<|हिंदी|>उत्साह	ʊ t̪ s ɑːʱ
<|हिंदी|>उदास	ʊ d̪ ɑː s
<|हिंदी|>उनको	ʊ n k oː
<|हिंदी|>उन्माद	ʊ n̪ m aː d̪
<|हिंदी|>उपयोग	ʊ p j oː ɡ
<|हिंदी|>उलझना	ʊ l ə d͡ʒʱ n ɑː
<|हिंदी|>उल्लू	ʊ l l uː
<|हिंदी|>उल्लेख	ʊ l l eː kʰ
<|हिंदी|>उसका	ʊ s k ɑː
<|हिंदी|>उससे	ʊ s s eː
<|हिंदी|>उसूल	ʊ s uː l
<|हिंदी|>उस्ताद	ʊ s t̪ ɑː d̪
<|हिंदी|>ऋग्वेद	ɾ ɪ ɡ ʋ eː d̪
<|हिंदी|>ऋणदाता	ɾ ɪ n d̪ ɑː t̪ ɑː
<|हिंदी|>एक	eː k
<|हिंदी|>एकजुटता	eː k d͡ʒ ʊ ʈ t̪ ɑː
<|हिंदी|>एकतरफ़ा	eː k t̪ ə ɾ f ɑː
<|हिंदी|>एकल	eː k ə l
<|हिंदी|>एलान	eː l ɑː n
<|हिंदी|>एशिया	eː ʃ iː j ɑː
<|हिंदी|>एसोसिएशन	eː s oː s ɪ eː ʃ ə n
<|हिंदी|>एहसान	eːʱ s ɑː n
<|हिंदी|>ऐश	ɛː ʃ
<|हिंदी|>ऐश्वर्य	ɛː ʃ ʋ ə ɾ j
<|हिंदी|>ऐसे	ɛː s eː
<|हिंदी|>ऑकलैंड	ɔː k l ɛː n ɖ
<|हिंदी|>ऑस्ट्रेलिया	ɔː s ʈ ɾ eː l iː j ɑː
<|हिंदी|>कंधा	k ə n d̪ʱ ɑː
<|हिंदी|>कठुआ	k ə ʈʰ ʊ ɑː
<|हिंदी|>कड़ा	k ə ɽ ɑː
<|हिंदी|>कढ़ाई	k ə ɽʱ ɑː iː
<|हिंदी|>कथित	k ə t̪ʰ ɪ t̪
<|हिंदी|>कपड़ा	k ə p ɽ ɑː
<|हिंदी|>कबूतर	k ə b uː t̪ ə ɾ
<|हिंदी|>कमर्शियल	k ə m ə ɾ ʃ iː j ə l
<|हिंदी|>कमेटी	k ə m eː ʈ iː
<|हिंदी|>करणी	k ə ɾ n iː
<|हिंदी|>करारा	k ə ɾ ɑː ɾ ɑː
<|हिंदी|>कर्म	k ə ɾ m
<|हिंदी|>कहलाना	k ɛːʱ l ɑː n ɑː
<|हिंदी|>कहाँ	k ə ɦ ɑ̃ː
<|हिंदी|>कहानी	k ə ɦ ɑː n iː
<|हिंदी|>कांग्रेस	k ɑː ŋ ɡ ɾ eː s
<|हिंदी|>कांटा	k ɑː n ʈ ɑː
<|हिंदी|>काजल	k ɑː d͡ʒ ə l
<|हिंदी|>कान	k ɑː n
<|हिंदी|>कान्हा	k ɑː n ɦ ɑː
<|हिंदी|>काम	k ɑː m
<|हिंदी|>कामकाज	k ɑː m k ɑː d͡ʒ
<|हिंदी|>कार्यकर्ता	k ɑː ɾ j ə k ə ɾ t̪ ɑː
<|हिंदी|>कार्यभार	k ɑː ɾ j ə bʱ ɑː ɾ
<|हिंदी|>कार्यान्वित	k ɑː ɾ j ɑː n ʋ ɪ t̪
<|हिंदी|>कालापन	k ɑː l ɑː p ə n
<|हिंदी|>कितना	k ɪ t̪ n ɑː
<|हिंदी|>किलो	k ɪ l oː
<|हिंदी|>कीड़ा	k iː ɽ ɑː
<|हिंदी|>कील	k iː l
<|हिंदी|>कुख्यात	k ʊ kʰ j ɑː t̪
<|हिंदी|>कूटनीति	k uː ʈ n iː t̪ iː
<|हिंदी|>केन्या	k eː n j ɑː
<|हिंदी|>कैमरा	k ɛː m ɾ ɑː
<|हिंदी|>कैलिफ़ोर्निया	k ɛː l ɪ f oː ɾ n iː j ɑː
<|हिंदी|>कॉफ़ी	k ɔː f iː
<|हिंदी|>कॉमनवेल्थ	k ɔː m ə n ʋ eː l t̪ʰ
<|हिंदी|>कोड़ा	k oː ɽ ɑː
<|हिंदी|>क्रुद्ध	k ɾ ʊ d̪ d̪ʱ
<|हिंदी|>क्रोएशिया	k ɾ oː eː ʃ iː j ɑː
<|हिंदी|>क्षत्रिय	k ʃ ə t̪ ɾ iː j ə
<|हिंदी|>क्षितिज	k ʃ ɪ t̪ ɪ d͡ʒ
<|हिंदी|>खनिज	kʰ ə n ɪ d͡ʒ
<|हिंदी|>खर्च	kʰ ə ɾ t͡ʃ
<|हिंदी|>खलनायक	kʰ ə l n ɑː j ə k
<|हिंदी|>खाद्य	kʰ ɑː d̪ j ə
<|हिंदी|>खिड़की	kʰ ɪ ɽ k iː
<|हिंदी|>खुलकर	kʰ ʊ l k ə ɾ
<|हिंदी|>खुलना	kʰ ʊ l n ɑː
<|हिंदी|>खुला	kʰ ʊ l ɑː
<|हिंदी|>खेती	kʰ eː t̪ iː
<|हिंदी|>खेद	kʰ eː d̪
<|हिंदी|>गंवाना	ɡ ə̃ ʋ ɑː n ɑː
<|हिंदी|>गई	ɡ ə iː
<|हिंदी|>गढ़वाल	ɡ ə ɽʱ ʋ ɑː l
<|हिंदी|>गणेश	ɡ ə ɳ e ʃ
<|हिंदी|>गतिमान	ɡ ə t̪ ɪ m ɑː n
<|हिंदी|>गम्भीर	ɡ ə m bʱ iː ɾ
<|हिंदी|>गर्भवती	ɡ ə ɾ bʱ ʋ ə t̪ iː
<|हिंदी|>गश्त	ɡ ə ʃ t̪
<|हिंदी|>गाँधी	ɡ ɑ̃ː d̪ʱ iː
<|हिंदी|>गांव	ɡ ɑ̃ː ʋ
<|हिंदी|>गिरगिट	ɡ ɪ ɾ ɡ ɪ ʈ
<|हिंदी|>गिरफ़्तार	ɡ ɪ ɾ ə f t̪ ɑː ɾ
<|हिंदी|>गिलहरी	ɡ ɪ l ɛːʱ ɾ iː
<|हिंदी|>गुंडा	ɡ ʊ n ɖ ɑː
<|हिंदी|>गुदा	ɡ ʊ d̪ ɑː
<|हिंदी|>गुनाह	ɡ ʊ n ɑːʱ
<|हिंदी|>गुरु	ɡ ʊ ɾ uː
<|हिंदी|>गुवाहाटी	ɡ ʊ ʋ ɑː ɦ ɑː ʈ iː
<|हिंदी|>गूंजना	ɡ uː ɲ d͡ʒ n ɑː
<|हिंदी|>गोवा	ɡ oː ʋ ɑː
<|हिंदी|>गौरव	ɡ ɔː ɾ ə ʋ
<|हिंदी|>ग्लासगो	ɡ l ɑː s ɡ oː
<|हिंदी|>घटिया	ɡʱ ə ʈ iː j ɑː
<|हिंदी|>घात	ɡʱ ɑː t̪
<|हिंदी|>घुटना	ɡʱ ʊ ʈ n ɑː
<|हिंदी|>घुसपैठ	ɡʱ ʊ s p ɛː ʈʰ
<|हिंदी|>घेरना	ɡʱ eː ɾ n ɑː
<|हिंदी|>चंद्र	t͡ʃ ə n d̪ ɾ
<|हिंदी|>चंपा	t͡ʃ ə m p ɑː
<|हिंदी|>चक्र	t͡ʃ ə k ɾ
<|हिंदी|>चक्रवर्ती	t͡ʃ ə k ɾ ə ʋ ə ɾ t̪ iː
<|हिंदी|>चतुराई	t͡ʃ ə t̪ ʊ ɾ ɑː iː
<|हिंदी|>चन्द्र	t͡ʃ ə n d̪ ɾ
<|हिंदी|>चपाती	t͡ʃ ə p ɑː t̪ iː
<|हिंदी|>चर्च	t͡ʃ ə ɾ t͡ʃ
<|हिंदी|>चर्चित	t͡ʃ ə ɾ t͡ʃ ɪ t̪
<|हिंदी|>चल	t͡ʃ ə l
<|हिंदी|>चांदी	t͡ʃ ɑː n d̪ iː
<|हिंदी|>चाची	t͡ʃ ɑː t͡ʃ iː
<|हिंदी|>चालान	t͡ʃ ɑː l ɑː n
<|हिंदी|>चिढ़	t͡ʃ ɪ ɽʱ
<|हिंदी|>चुनौती	t͡ʃ ʊ n ɔː t̪ iː
<|हिंदी|>चुप्पी	t͡ʃ ʊ p p iː
<|हिंदी|>चेला	t͡ʃ eː l ɑː
<|हिंदी|>चेहरा	t͡ʃ eːʱ ɾ ɑː
<|हिंदी|>चोटी	t͡ʃ oː ʈ iː
<|हिंदी|>चोर	t͡ʃ oː ɾ
<|हिंदी|>छाती	t͡ʃʰ ɑː t̪ iː
<|हिंदी|>छाप	t͡ʃʰ ɑː p
<|हिंदी|>छापामार	t͡ʃʰ ɑː p ɑː m ɑː ɾ
<|हिंदी|>छावनी	t͡ʃʰ ɑː ʋ n iː
<|हिंदी|>छोटू	t͡ʃʰ oː ʈ uː
<|हिंदी|>जंतर	d͡ʒ ə n t̪ ə ɾ
<|हिंदी|>जनजाति	d͡ʒ ə n d͡ʒ ɑː t̪ iː
<|हिंदी|>जननी	d͡ʒ ə n n iː
<|हिंदी|>जन्मदिन	d͡ʒ ə n ə m d̪ ɪ n
<|हिंदी|>जन्मभूमि	d͡ʒ ə n m bʱ uː m iː
<|हिंदी|>जब	d͡ʒ ə b
<|हिंदी|>जमीन	d͡ʒ ə m iː n
<|हिंदी|>जमीयत	d͡ʒ ə m iː j ə t̪
<|हिंदी|>जर्मनी	d͡ʒ ə ɾ m ə n̪ iː
<|हिंदी|>जलना	d͡ʒ ə l n ɑː
<|हिंदी|>जलसा	d͡ʒ ə l s ɑː
<|हिंदी|>जल्द	d͡ʒ ə l d̪
<|हिंदी|>जहाज़	d͡ʒ ə ɦ ɑː z
<|हिंदी|>ज़मीनी	z ə m iː n iː
<|हिंदी|>ज़िक्र	z ɪ k ɾ
<|हिंदी|>जाएगा	d͡ʒ ɑː eː ɡ ɑː
<|हिंदी|>जागरूकता	d͡ʒ ɑː ɡ ɾ uː k t̪ ɑː
<|हिंदी|>जातिवाद	d͡ʒ ɑː t̪ iː ʋ ɑː d̪
<|हिंदी|>जानी	d͡ʒ ɑː n iː
<|हिंदी|>जापान	d͡ʒ ɑː p ɑː n
<|हिंदी|>जायज़	d͡ʒ ɑː j ə z
<|हिंदी|>जायदाद	d͡ʒ ɑː j ə d̪ ɑː d̪
<|हिंदी|>जिसको	d͡ʒ ɪ s k oː
<|हिंदी|>जीन	d͡ʒ iː n
<|हिंदी|>जीभ	d͡ʒ iː bʱ
<|हिंदी|>जुगलबंदी	d͡ʒ ʊ ɡ ə l b ə n d̪ iː
<|हिंदी|>जुनून	d͡ʒ ʊ n uː n
<|हिंदी|>जुमला	d͡ʒ ʊ m l ɑː
<|हिंदी|>जेठानी	d͡ʒ eː ʈʰ ɑː n iː
<|हिंदी|>जेद्दा	d͡ʒ eː d̪ d̪ ɑː
<|हिंदी|>जॉर्डन	d͡ʒ ɔː ɾ ɖ ə n
<|हिंदी|>जोधपुर	d͡ʒ oː d̪ʱ p ʊ ɾ
<|हिंदी|>ज्यादा	d͡ʒ j ɑː d̪ ɑː
<|हिंदी|>ज्वार	d͡ʒ ʋ ɑː ɾ
<|हिंदी|>झील	d͡ʒʱ iː l
<|हिंदी|>झोली	d͡ʒʱ oː l iː
<|हिंदी|>टब	ʈ ə b
<|हिंदी|>टांग	ʈ ɑː ŋ ɡ
<|हिंदी|>टिप्पणी	ʈ ɪ p p ə n iː
<|हिंदी|>टेक	ʈ eː k
<|हिंदी|>टोक्यो	ʈ oː k j oː
<|हिंदी|>टोपी	ʈ oː p iː
<|हिंदी|>ट्वीट	ʈ ʋ iː ʈ
<|हिंदी|>ठंडा	ʈʰ ə n ɖ ɑː
<|हिंदी|>डायनासोर	ɖ ɑː j n ɑː s oː ɾ
<|हिंदी|>डीयू	ɖ iː j uː
<|हिंदी|>डुबकी	ɖ ʊ b k iː
<|हिंदी|>डेनमार्क	ɖ eː n m ɑː ɾ k
<|हिंदी|>डोरी	ɖ oː ɾ iː
<|हिंदी|>ढाई	ɖʱ ɑː iː
<|हिंदी|>ढाका	ɖʱ ɑː k ɑː
<|हिंदी|>ढीठ	ɖʱ iː ʈʰ
<|हिंदी|>ढोंग	ɖʱ oː ŋ ɡ
<|हिंदी|>तटस्थ	t̪ ə ʈ ə s t̪ʰ
<|हिंदी|>तटीय	t̪ ə ʈ iː j
<|हिंदी|>तथ्य	t̪ ə t̪ʰ j
<|हिंदी|>तनाव	t̪ ə n ɑː ʋ
