<|GER|>ab	a p
<|GER|>scheut	ʃ ɔ ʏ̯ t
<|GER|>schicksal	ʃ ɪ k z aː l
<|GER|>schieben	ʃ iː b ə n
<|GER|>schien	ʃ iː n
<|GER|>schienen	ʃ iː n ə n
<|GER|>schlagen	ʃ l aː ɡ n̩
<|GER|>schliesslich	ʃ l iː s l ɪ ç
<|GER|>schloss	ʃ l ɔ s
<|GER|>schlusspunkt	ʃ l ʊ s p ʊ ŋ k t
<|GER|>schlüsselanhänger	ʃ l ʏ s l̩ ʔ a n h ɛ n ɡ ɐ
<|GER|>schmoren	ʃ m oː ʁ ə n
<|GER|>schneefall	ʃ n eː f a l
<|GER|>schnell	ʃ n ɛ l
<|GER|>schnellen	ʃ n ɛ l n̩
<|GER|>schneller	ʃ n ɛ l ɐ
<|GER|>schule	ʃ uː l ə
<|GER|>schutz	ʃ ʊ t͡s
<|GER|>schweizer	ʃ v a ɪ̯ t͡s ɐ
<|GER|>schweren	ʃ v eː r ə n
<|GER|>schätzung	ʃ ɛ t s ʊ ŋ
<|GER|>schöne	ʃ øː n ə
<|GER|>schönste	ʃ øː n s t ə
<|GER|>schüler	ʃ yː l ɐ
<|GER|>schülern	ʃ yː l ɐ n
<|GER|>sechs	z ɛ k s
<|GER|>sehnsüchtig	z eː n z ʏ ç t ɪ ç
<|GER|>sehr	z eː r
<|GER|>seid	z a ɪ̯ t
<|GER|>seien	z a ɪ̯ ə n
<|GER|>seine	z a ɪ̯ n ə
<|GER|>seiner	z a ɪ̯ n ɐ
<|GER|>seines	z a ɪ̯ n ə s
<|GER|>seit	z a ɪ̯ t
<|GER|>seite	z a ɪ̯ t ə
<|GER|>seiten	z a ɪ̯ t ə n
<|GER|>selbstmord	z ɛ l p s t m ɔ ʁ t
<|GER|>selbstverwirklichung	z ɛ l p s t f ɛ ɐ̯ v ɪ ʁ k l ɪ ç ʊ ŋ
<|GER|>senat	z e n aː t
<|GER|>sender	z ɛ n d ɐ
<|GER|>setzen	z ɛ t s ə n
<|GER|>sich	z ɪ ç
<|GER|>sicherheit	z ɪ ç ɐ h a ɪ̯ t
<|GER|>sicherlich	z ɪ ç ɐ l ɪ ç
<|GER|>sichern	z ɪ ç ɐ n
<|GER|>sieger	z iː ɡ ɐ
<|GER|>sinkt	z ɪ ŋ k t
<|GER|>sinnvoll	z ɪ n f ɔ l
<|GER|>sogar	z o ɡ aː ɐ̯
<|GER|>solche	z ɔ l ç ə
<|GER|>soldaten	z ɔ l d aː t n
<|GER|>soll	z ɔ l
<|GER|>sommer	z ɔ m ɐ
<|GER|>spann	ʃ p a n
<|GER|>spaziergang	ʃ p a t͡s iː ɐ̯ ɡ a ŋ
<|GER|>speed	s p iː t
<|GER|>spiel	ʃ p iː l
<|GER|>spielen	ʃ p iː l ə n
<|GER|>spieler	ʃ p iː l ɐ
<|GER|>sportler	ʃ p ɔ ʁ t l ɐ
<|GER|>sprechen	ʃ p r ɛ ç ə n
<|GER|>sprecher	ʃ p r ɛ ç ə r
<|GER|>spricht	ʃ p ʁ ɪ ç t
<|GER|>sprung	ʃ p ʁ ʊ ŋ
<|GER|>spur	ʃ p uː ɐ̯
<|GER|>spüren	ʃ p yː ʁ ə n
<|GER|>staatsanwalt	ʃ t aː t͡s ʔ a n v a l t
<|GER|>staatsanwaltschaft	ʃ t aː t͡s ʔ a n v a l t ʃ a f t
<|GER|>stark	ʃ t a r k
<|GER|>starten	ʃ t a r t ə n
<|GER|>statt	ʃ t a t
<|GER|>stattdessen	ʃ t a t d ɛ s n̩
<|GER|>steinmauer	ʃ t a ɪ n m a ʊ̯ ɐ
<|GER|>sterben	ʃ t ɛ ʁ b ə n
<|GER|>stets	ʃ t eː t s
<|GER|>steuern	ʃ t ɔ ɪ̯ ɐ n
<|GER|>stichwort	ʃ t ɪ ç v ɔ ʁ t
<|GER|>stieg	ʃ t iː k
<|GER|>stimme	ʃ t ɪ m ə
<|GER|>stockerl	ʃ t ɔ k ɐ l
<|GER|>stolz	ʃ t ɔ l t͡s
<|GER|>strafe	ʃ t ʁ aː f ə
<|GER|>strasse	ʃ t r aː s ə
<|GER|>strich	ʃ t ʁ ɪ ç
<|GER|>stufe	ʃ t uː f ə
<|GER|>stunden	ʃ t ʊ n d ə n
<|GER|>stärke	ʃ t ɛ r k ə
<|GER|>stück	ʃ t ʏ k
<|GER|>stürmer	ʃ t ʏ r m ə r
<|GER|>suchen	z uː x ə n
<|GER|>suchmaschine	z uː x m a ʃ iː n ə
<|GER|>sucht	z ʊ x t
<|GER|>süden	z yː d ə n
<|GER|>sündenbock	z ʏ n d ə n b ɔ k
<|GER|>tage	t aː ɡ ə
<|GER|>tagen	t aː ɡ ə n
<|GER|>tat	t aː t
<|GER|>tatsächlich	t aː t z ɛ ç l ɪ ç
<|GER|>teilweise	t a ɪ̯ l v a ɪ̯ z ə
<|GER|>tests	t ɛ s t s
<|GER|>teuer	t ɔ ʏ̯ ɐ
<|GER|>thermometer	t ɛ ʁ m o m eː t ɐ
<|GER|>thüringen	t yː ʁ ɪ ŋ ə n
<|GER|>tirol	t i ʁ oː l
<|GER|>tolle	t ɔ l ə
<|GER|>tonnen	t ɔ n ə n
<|GER|>transfer	t r a n s f eː r
<|GER|>tritt	t ʁ ɪ t
<|GER|>trockenheit	t ʁ ɔ k ə n h a ɪ̯ t
<|GER|>trugen	t ʁ uː ɡ n
<|GER|>tränen	t ʁ ɛ n ə n
<|GER|>tschernobyl	t͡ʃ ɛ ʁ n oː b ʏ l
<|GER|>tweet	t v iː t
<|GER|>twitter	t v ɪ t ə r
<|GER|>töpfern	t œ p f ɐ n
<|GER|>uhr	uː r
<|GER|>um	ʊ m
<|GER|>umgang	ʊ m ɡ a ŋ
<|GER|>umsetzung	ʊ m z ɛ t s ʊ ŋ
<|GER|>unabhängig	ʊ n a p h ɛ ŋ ɪ ç
<|GER|>unermüdlich	ʊ n ɛ ɐ m yː t l ɪ ç
<|GER|>unfall	ʊ n f a l
<|GER|>ungebrochen	ʊ n ɡ ə b ʁ ɔ χ n̩
<|GER|>ungestraft	ʊ n ɡ ə ʃ t ʁ aː f t
<|GER|>ungewöhnlich	ʊ n ɡ ə v øː n l ɪ ç
<|GER|>unglaublich	ʊ n ɡ l a u̯ p l ɪ ç
<|GER|>uns	ʊ n s
<|GER|>unter	ʊ n t ɐ
<|GER|>unterirdisch	ʊ n t ɐ ʔ ɪ ʁ d ɪ ʃ
<|GER|>unternehmen	ʊ n t ɐ n eː m ə n
<|GER|>unternehmer	ʊ n t ɐ n eː m ɐ
<|GER|>unterschied	ʔ ʊ n tʰ ɐ ʃ iː t
<|GER|>unterschiedlich	ʊ n t ɐ ʃ iː t l ɪ ç
<|GER|>unterstützung	ʊ n t ɐ ʃ t ʏ t͡s ʊ ŋ
<|GER|>unterwegs	ʊ n t ɐ v eː k s
<|GER|>unzufriedenheit	ʔ ʊ n t͡s u f ʁ iː d ə n h a ɪ̯ t
<|GER|>ursprünglich	ʔ uː ɐ̯ ʃ p ʁ ʏ ŋ l ɪ ç
<|GER|>veranstaltung	f ɛ ɐ̯ a n ʃ t a l t ʊ ŋ
<|GER|>verantwortung	f ɛ ɐ̯ ʔ a n t v ɔ ʁ t ʊ ŋ
<|GER|>verbindung	f ɛ ɐ̯ b ɪ n d ʊ ŋ
<|GER|>verein	f ɛ ɐ̯ ʔ a ɪ̯ n
<|GER|>vereinigung	f ɛ ɐ̯ ʔ a ɪ̯ n ɪ ɡ ʊ ŋ
<|GER|>verfassung	f ɛ ɐ̯ f a s ʊ ŋ
<|GER|>verfügung	f ɛ ɐ̯ f yː ɡ ʊ ŋ
<|GER|>vergabe	f ɛ ɐ̯ ɡ aː b ə
<|GER|>vergangenheit	f ɛ ɐ̯ ɡ a ŋ ə n h a ɪ̯ t
<|GER|>vergessen	f ɛ ɐ̯ ɡ ɛ s ə n
<|GER|>verhindert	f ɛ ʁ h ɪ n d ɐ t
<|GER|>verhältnis	f ɛ ɐ̯ h ɛ l t n ɪ s
<|GER|>verkauf	f ɛ ɐ̯ k a ʊ̯ f
<|GER|>verkehr	f ɛ r k eː r
<|GER|>verkürzen	f ɛ ɐ̯ k ʏ ʁ t͡s ə n
<|GER|>verlassen	f ə r l a s ə n
<|GER|>vermeiden	f ɛ ɐ̯ m a ɪ̯ d ə n
<|GER|>vernichten	f ɛ ɐ̯ n ɪ ç t ə n
<|GER|>verscheuchen	f ɛ ɐ̯ ʃ ɔ ɪ ç ə n
<|GER|>verschieben	f ɛ r ʃ iː b ə n
<|GER|>versicherte	f ɛ ɐ̯ z ɪ ç ɐ t ə
<|GER|>versickern	f ɛ ɐ̯ z ɪ k ɐ n
<|GER|>verständnis	f ɛ ɐ̯ ʃ t ɛ n t n ɪ s
<|GER|>verstärkung	f ɛ ɐ̯ ʃ t ɛ ʁ k ʊ ŋ
<|GER|>versuchen	f ɛ ɐ̯ z uː x ə n
<|GER|>verteidigung	f ɛ ɐ̯ t a ɪ̯ d ɪ ɡ ʊ ŋ
<|GER|>verteilen	f ɛ ʁ t a ɪ̯ l ə n
<|GER|>vertrauen	f ɛ ɐ̯ t ʁ a ʊ̯ ə n
<|GER|>vertreibung	f ɛ ʁ t ʁ a ɪ̯ b ʊ ŋ
<|GER|>veränderung	f ɛ ɐ̯ ɛ n d ə ʁ ʊ ŋ
<|GER|>verärgern	f ɛ ʁ ʔ ɛ ʁ ɡ ɐ n
<|GER|>videokonferenz	v iː d e o k ɔ n f e ʁ ɛ n t͡s
<|GER|>viele	f iː l ə
<|GER|>vieles	f iː l ə s
<|GER|>violett	v iː o l ɛ t
<|GER|>viren	v iː r ə n
<|GER|>volkes	f ɔ l k ə s
<|GER|>voll	f ɔ l
<|GER|>vollendung	f ɔ l ʔ ɛ n d ʊ ŋ
<|GER|>von	f ɔ n
<|GER|>vorbild	f oː ɐ̯ b ɪ l t
<|GER|>vorgänger	f oː ɐ̯ ɡ ɛ ŋ ɐ
<|GER|>vorhaben	f oː ʁ h aː b ə n
<|GER|>vorjahr	f oː ɐ̯ j aː ɐ̯
<|GER|>vorsitz	f oː ɐ̯ z ɪ t s
<|GER|>vorwurf	f oː ʁ v ʊ ʁ f
<|GER|>vorüber	f o ʁ yː b ɐ
<|GER|>waffe	v a f ə
<|GER|>wahl	v aː l
<|GER|>wahlen	v aː l ə n
<|GER|>wahllokal	v aː l l o k aː l
<|GER|>wahrscheinlich	v aː ɐ̯ ʃ a ɪ̯ n l ɪ ç
<|GER|>wann	v a n
<|GER|>wegwerfen	v ɛ k v ɛ ɐ̯ f n̩
<|GER|>weil	v a ɪ̯ l
<|GER|>wein	v a ɪ̯ n
<|GER|>weise	v a ɪ̯ z ə
<|GER|>weisse	v a ɪ̯ s ə
<|GER|>welche	v ɛ l ç ə
<|GER|>welt	v ɛ l t
<|GER|>weltweit	v ɛ l t v a ɪ̯ t
<|GER|>wenig	v eː n ɪ ç
<|GER|>wer	v eː r
<|GER|>werktags	v ɛ r k t aː k s
<|GER|>werte	v ɛ ɐ̯ t ə
<|GER|>wettbewerb	v ɛ t b ə v ɛ ʁ p
<|GER|>wetter	v ɛ t ɐ
<|GER|>will	v ɪ l
<|GER|>willkommen	v ɪ l k ɔ m ə n
<|GER|>windschutzscheibe	v ɪ n t ʃ ʊ t͡s ʃ a ɪ̯ b ə
<|GER|>winzerin	v ɪ n t s ɐ ʁ ɪ n
<|GER|>wird	v ɪ ɐ̯ t
<|GER|>wirken	v ɪ ʁ k ə n
<|GER|>wirklich	v ɪ ʁ k l ɪ ç
<|GER|>wo	v oː
<|GER|>woche	v ɔ x ə
<|GER|>wochenende	v ɔ χ n̩ ʔ ɛ n d ə
<|GER|>wohl	v oː l
<|GER|>wohlleben	v oː l l eː b n̩
<|GER|>wohnen	v oː n ə n
<|GER|>wohnung	v oː n ʊ ŋ
<|GER|>wollte	v ɔ l t ə
<|GER|>wort	v ɔ r t
<|GER|>wunderbar	v ʊ n d ɐ b aː ɐ̯
<|GER|>wunsch	v ʊ n ʃ
<|GER|>wurde	v ʊ ʁ d ə
<|GER|>würde	v ʏ ʁ d ə
<|GER|>zahl	t s aː l
<|GER|>zart	t s aː r t
<|GER|>zehn	t͡s eː n
<|GER|>zeichen	t s a ɪ̯ ç ə n
<|GER|>zeigen	t͡s a ɪ̯ ɡ ə n
<|GER|>zeitlos	t͡s a ɪ̯ t l oː s
<|GER|>zeitpunkt	t s a ɪ̯ t p ʊ ŋ k t
<|GER|>zeitraum	t s a ɪ̯ t ʁ a ʊ̯ m
<|GER|>zeugin	t s ɔ ʏ̯ ɡ ɪ n
<|GER|>zuerst	t s u ʔ eː ɐ̯ s t
<|GER|>zufall	t͡s uː f a l
<|GER|>zufolge	t s u f ɔ l ɡ ə
<|GER|>zugleich	t͡s u ɡ l a ɪ̯ ç
<|GER|>zugänglich	t s uː ɡ ɛ ŋ l ɪ ç
<|GER|>zumindest	t͡s u m ɪ n d ə s t
<|GER|>zunächst	t s u n ɛː ç s t
<|GER|>zur	t s uː ɐ̯
<|GER|>zurzeit	t s ʊ r t s a ɪ t
<|GER|>zurück	t͡s u ʁ ʏ k
<|GER|>zuschauer	t͡s uː ʃ a ʊ̯ ɐ
<|GER|>zuvor	t͡s u f oː ɐ̯
<|GER|>zwar	t͡s v aː ɐ̯
<|GER|>zweierlei	t s v a ɪ̯ ɐ l a ɪ̯
<|GER|>zweifel	t͡s v a ɪ̯ f l̩
<|GER|>zweitens	t͡s v a ɪ̯ t n̩ s
<|GER|>zweiter	t͡s v a ɪ̯ t ɐ
<|GER|>zwingen	t s v ɪ ŋ ə n
<|GER|>zwischen	t s v ɪ ʃ ə n
<|GER|>zwölf	t͡s v œ l f
<|GER|>zürcher	t͡s ʏ ʁ ç ɐ
<|GER|>äussern	ɔ ʏ̯ s ɐ n
<|GER|>öffnen	ʔ œ f n ə n
<|GER|>öffnung	œ f n ʊ ŋ
<|GER|>österreich	øː s t ə ʁ a ɪ ç
<|GER|>überhaupt	yː b ɐ h a ʊ̯ p t
<|GER|>überlegungen	y b ɐ l eː ɡ ʊ ŋ ə n
<|GER|>überraschend	yː b ɐ ʁ a ʃ ə n t
<|GER|>überrascht	yː b ɐ ʁ a ʃ t
<|GER|>übertragen	yː b ə r t r aː ɡ ə n
<|GER|>überwindung	yː b ɐ v ɪ n d ʊ ŋ
<|SWE|>adjö	a j øː
<|SWE|>affär	a ¹ f ɛː r
<|SWE|>afton	a f t ɔ n
<|SWE|>aggressiv	a ɡ r ɛ s iː v
<|SWE|>agneta	a ŋ ² n eː t a
<|SWE|>aktie	a k t s ɪ ɛ
<|SWE|>aktuell	a k t ɵ ɛ l
<|SWE|>akut	a k ʉː t
<|SWE|>albin	¹ a l b ɪ n
<|SWE|>aldrig	a l d r i ɡ
<|SWE|>alkoholist	a l k ʊ h ʊ l ɪ s t
<|SWE|>allihop	a l ɪ h uː p
<|SWE|>allmän	a l m ɛ n
<|SWE|>allvarlig	a l v ɑː r l ɪ ɡ
<|SWE|>ambitiös	a m b i ɧ øː s
<|SWE|>ana	 ɑː n a
<|SWE|>and	a n d
<|SWE|>andra	a n d r a
<|SWE|>ansikte	a nː s ɪ k t ə
<|SWE|>anspråk	 a n s p r oː k
<|SWE|>ansvarig	 a n s v ɑː r ɪ ɡ
<|SWE|>antisemitism	a n t ɪ s ɛ m ɪ t ɪ s m
<|SWE|>arkiv	a r k iː v
<|SWE|>arrangemang	a r a n ɧ e m a ŋ
<|SWE|>arrangera	a r a n ɧ eː r a
<|SWE|>arsenik	a r s ɛ n iː k
<|SWE|>arton	 ɑː r t ɔ n
<|SWE|>arv	a r v
<|SWE|>as	ɑː s
<|SWE|>attack	a t a k
<|SWE|>avfärda	ɑː v f ɛ r d a
<|SWE|>avgå	 ɑː v ɡ oː
<|SWE|>avled	 ɑː v l eː d
<|SWE|>avseende	ɑː v s eː ɛ n d ɛ
<|SWE|>bad	b ɑː d
<|SWE|>bak	b ɑː k
<|SWE|>bakbord	b aː k b uː r d
<|SWE|>band	b a n d
<|SWE|>bank	b a ŋː k
<|SWE|>barnet	b ɑː r n ɛ t
<|SWE|>bas	b ɑː s
<|SWE|>bedrägeri	b ɛ d r ɛː ɡ ɛ r iː
<|SWE|>behov	b ɛ h uː v
<|SWE|>belgien	b ɛ l ɡ ɪ ɛ n
<|SWE|>berg	b ɛ r j
<|SWE|>berget	b ɛ r j ɛ t
<|SWE|>bergs	b ɛ r j s
<|SWE|>bert	b æ ʈ
<|SWE|>besökare	b ɛ s øː k a r ɛ
<|SWE|>betala	b ɛ t ɑː l a
<|SWE|>betyda	b ɛ ¹ t yː d a
<|SWE|>bilist	b ɪ l ɪ s t
<|SWE|>bill	b ɪ l
<|SWE|>bjuda	 b j ʉː d a
<|SWE|>blad	¹ b l ɑː d
<|SWE|>blandning	 b l a n d n i ŋ
<|SWE|>blev	b l eː v
<|SWE|>bli	b l iː
<|SWE|>blomqvist	 b l ʊ m k v ɪ s t
<|SWE|>blott	b l ɔ tː
<|SWE|>blåljus	b l oː j ʉː s
<|SWE|>bo	b uː
<|SWE|>boden	b uː d ɛ n
<|SWE|>bodil	¹ b uː d ɪ l
<|SWE|>bok	b uː k
<|SWE|>bokhandel	 b uː k h a n d ɛ l
<|SWE|>bord	b uː ɖ
<|SWE|>bordtennis	 b uː ɖ t ɛ n ɪ s
<|SWE|>bortaplan	 b ɔ r t a p l ɑː n
<|SWE|>bostad	 b uː s t ɑː d
<|SWE|>bov	b uː v
<|SWE|>brand	b r a n d
<|SWE|>bris	b r iː s
<|SWE|>brista	 b r ɪ sː t a
<|SWE|>bro	b r uː
<|SWE|>bron	b r uː n
<|SWE|>bröd	b r øː d
<|SWE|>bröt	b r øː t
<|SWE|>bur	b ʉː r
<|SWE|>buss	b ɵ s
<|SWE|>bär	b ɛː r
<|SWE|>båda	b oː d a
<|SWE|>bål	b oː l
<|SWE|>båt	b oː ə t
<|SWE|>böcker	¹ b ø kː ə r
<|SWE|>centimeter	s ɛ n t ɪ m eː t ɛ r
<|SWE|>charlotta	ɧ a r ² ɭ o t a
<|SWE|>charlotte	ɧ a ɭ o t
<|SWE|>dag	d ɑː ɡ
<|SWE|>damm	d a m
<|SWE|>dan	d ɑː n
<|SWE|>danmark	¹ d a n m a r k
<|SWE|>dansk	d a n s k
<|SWE|>danska	 d a n s k a
<|SWE|>december	d ɛ s ɛ m b ɛ r
<|SWE|>definition	d ɛ f ɪ n ɪ ¹ ɧ uː n
<|SWE|>dela	d eː l a
<|SWE|>dem	d ɔ m
<|SWE|>den	d ɛ nː
<|SWE|>denne	d ɛ nː ɛ
<|SWE|>dessa	d ɛ sː a
<|SWE|>dessutom	d e s ʉː t ɔ m
<|SWE|>detektiv	d ɛ t ɛ k t iː v
<|SWE|>dig	d ɛ j
<|SWE|>diskussion	d ɪ s k ɵ ɧ uː n
<|SWE|>djup	j ʉː p
<|SWE|>djupt	j ʉː p t
<|SWE|>djur	j ʉː r
<|SWE|>dock	d ɔ kː
<|SWE|>dog	d uː ɡ
<|SWE|>dra	d r ɑː
<|SWE|>dricka	 d r ɪ kː a
<|SWE|>dricker	d r ɪ kː e r
<|SWE|>droppen	d r ɔ pː ɛ n
<|SWE|>dryg	d r yː ɡ
<|SWE|>dröm	d r œ mː
<|SWE|>dubbel	d ɵ b ɛ l
<|SWE|>dyr	d yː r
<|SWE|>där	d ɛː r
<|SWE|>då	d oː
<|SWE|>dålig	d oː l ɪ ɡ
<|SWE|>dö	d øː
<|SWE|>död	d øː d
<|SWE|>döda	 d øː d a
<|SWE|>dölja	d œ l j a
<|SWE|>efter	ɛ f t ɛ r
<|SWE|>eftersom	 ɛ f t æ r s ɔ m
<|SWE|>ek	eː k
<|SWE|>elegant	ɛ l ɛ ɡ a n t
<|SWE|>elfte	ɛ l f t ɛ
<|SWE|>eller	ɛ l ɛ r
<|SWE|>elva	ɛ l v a
<|SWE|>enda	ɛ n d a
<|SWE|>engagera	a ŋ ɡ a ɧ eː r a
<|SWE|>engelska	e ŋ e l s k a
<|SWE|>enhetlig	eː n h eː t l ɪ ɡ
<|SWE|>enkel	ɛ ŋ k ɛ l
<|SWE|>ensam	 ɛ nː s a mː
<|SWE|>erkänna	eː r ɕ ɛ n a
<|SWE|>eskilstuna	ɛ̂ sː k ɪ l s t ʉː n a
<|SWE|>ett	ɛ t
<|SWE|>europé	ɛ r ʊ p eː
<|SWE|>fabrik	f a b r iː k
<|SWE|>fader	f ɑː d ɛ r
<|SWE|>fallskärm	f a l ɧ ɛ r m
<|SWE|>farlig	 f ɑː r l ɪ ɡ
<|SWE|>februari	f ɛ b r ɵ ɑː r ɪ
<|SWE|>fem	f ɛ m
<|SWE|>femton	f ɛ m t ɔ n
<|SWE|>fett	f ɛ t
<|SWE|>ficka	f ɪ kː a
<|SWE|>finger	f ɪ ŋː ɛ r
<|SWE|>finska	 f ɪ n s k a
<|SWE|>fisk	f ɪ s k
<|SWE|>fiske	 f ɪ s k ɛ
<|SWE|>fisken	f ɪ sː k ɛ n
<|SWE|>fjol	f j uː l
<|SWE|>flicka	f l ɪ kː a
<|SWE|>flickan	f l ɪ kː a n
<|SWE|>flickor	f l ɪ k ʊ r
<|SWE|>folkmusik	 f ɔ l k m ɵ s iː k
<|SWE|>fotboll	f uː t b ɔ l
<|SWE|>fram	f r a m
<|SWE|>framför	 f r a m f œː r
<|SWE|>franska	 f r a n s k a
<|SWE|>fred	f r eː d
<|SWE|>frihet	f r iː h eː t
<|SWE|>fru	f r ʉː
<|SWE|>frukt	f r ɵ k t
<|SWE|>främlingsfientlighet	 f r ɛ m l ɪ ŋ s f ɪ ɛ n t l ɪ ɡ h eː t
<|SWE|>fråga	f r oː ɡ a
<|SWE|>frånvaro	 f r oː n v ɑː r ʊ
<|SWE|>frös	f r øː s
<|SWE|>full	f ɵ l
<|SWE|>fungera	f ɵ ŋ ɡ eː r a
<|SWE|>fusk	f ɵ s k
<|SWE|>fyr	f yː r
<|SWE|>färg	f ɛ r j
<|SWE|>färsk	f ɛ r s k
<|SWE|>får	f oː r
<|SWE|>fåtal	 f oː t ɑː l
<|SWE|>förbruka	f œ r b r ʉː k a
<|SWE|>förbundskapten	f œ r ² b ɵ n d s k a p t eː n
<|SWE|>förena	f œ r eː n a
<|SWE|>förening	f œ r eː n ɪ ŋ
<|SWE|>förgäves	f œ r j ɛː v ɛ s
<|SWE|>förrän	f œ r ɛ n
<|SWE|>försiktighet	f øː r s ɪ k t ɪ ɡ h eː t
<|SWE|>förstöra	f œ ʂ ʈ œː r a
<|SWE|>försvarstal	f œ r ² s v ɑː r s t ɑː l
<|SWE|>förvärras	f œ̞ r v æ r a s
<|SWE|>förälder	f œ r ¹ ɛ l d æ r
<|SWE|>förälskelse	f œ r ɛ l s k ɛ l s ɛ
<|SWE|>gammal	 ɡ a mː a l
<|SWE|>gav	ɡ ɑː v
<|SWE|>ge	j eː
<|SWE|>genren	ɧ a ŋ ɛ r n
<|SWE|>georg	j eː ɔ r j
<|SWE|>ger	j eː r
<|SWE|>gjorde	j ʊ ɖ ɛ
<|SWE|>gjort	j ʊ ʈ
<|SWE|>gjuta	 j ʉː t a
<|SWE|>glatt	ɡ l a tː
<|SWE|>glögg	ɡ l œ ɡ
<|SWE|>gott	ɡ ɔ t
<|SWE|>green	ɡ r iː n
<|SWE|>grej	ɡ r ɛ j
<|SWE|>grekland	ɡ r eː k l a n d
<|SWE|>grep	ɡ r eː p
<|SWE|>gross	ɡ r ɔ s
<|SWE|>grund	ɡ r ɵ n d
<|SWE|>grät	ɡ r ɛː t
<|SWE|>grön	ɡ r øː n
<|SWE|>gud	ɡ ʉː d
<|SWE|>gula	 ɡ ʉː l a
<|SWE|>guld	ɡ ɵ l d
<|SWE|>gym	j ʏ m
<|SWE|>gärna	 j ɛː r n a
<|SWE|>gävle	j ɛː v l ɛ
<|SWE|>gång	ɡ ɔ ŋ
<|SWE|>göran	j øː r a n
<|SWE|>hade	 h a dː ɛ
<|SWE|>haft	h a f t
<|SWE|>hall	h a l
<|SWE|>halv	h a l v
<|SWE|>halvlek	 h a l v l eː k
<|SWE|>hand	h a n d
<|SWE|>hans	h ɑː n s
<|SWE|>hantverk	h a n t v ɛ r k
<|SWE|>har	h ɑː r
<|SWE|>hat	h ɑː t
<|SWE|>hav	h ɑː v
<|SWE|>heat	h iː t
<|SWE|>hej	h ɛ jː
<|SWE|>hel	h eː l
<|SWE|>helig	h eː l ɪ ɡ
<|SWE|>helsingborg	h ɛ l s ɪ ŋ b ɔ r j
<|SWE|>helsingfors	h ɛ l s ɪ ŋ f ɔ r s
<|SWE|>hemester	h ɛ m ɛ s t ɛ r
<|SWE|>hemmaplan	 h ɛ m a p l ɑː n
<|SWE|>henne	h ɛ nː ɛ
<|SWE|>herr	h ɛ r
<|SWE|>heta	h eː t a
<|SWE|>hitta	h ɪ t a
<|SWE|>hjälp	j ɛ l p
<|SWE|>holm	h ɔ l m ɛ
<|SWE|>honom	h ɔ nː ɔ m
<|SWE|>hoppa	h ɔ p a
<|SWE|>hot	h uː t
<|SWE|>hotell	h ʊ t ɛ lː
<|SWE|>hud	h ʉː d
<|SWE|>humle	h ɵ m l ɛ
<|SWE|>hund	h ɵ n d
<|SWE|>hundra	h ɵ n d r a
<|SWE|>hungrig	h ɵ ŋ r ɪ ɡ
<|SWE|>hur	h ʉː r
<|SWE|>hus	h ʉː s
<|SWE|>hustru	h ɵ̄ sː t r ʉ̂ː
<|SWE|>hygglig	h ʏ ɡ l ɪ ɡ
<|SWE|>hylla	h ʏ lː a
<|SWE|>häl	h ɛː l
<|SWE|>häll	h ɛ l
<|SWE|>här	h æː r
<|SWE|>härlig	h ɛː r l ɪ ɡ
<|SWE|>hårt	h oː ʈ
<|SWE|>hö	h øː
<|SWE|>hög	h øː ɡ
<|SWE|>höga	h øː ɡ a
<|SWE|>högljudd	 h øː ɡ j ɵ d
<|SWE|>höst	h œ s t
<|SWE|>höstas	 h œ s t a s
<|SWE|>idrott	 iː d r ɔ t
<|SWE|>igelkott	iː ɡ ɛ l k ɔ t
<|SWE|>ihjäl	ɪ j ɛː l
<|SWE|>ihop	ɪ h uː p
<|SWE|>inga	 ɪ ŋ a
<|SWE|>ingenting	ɪ ŋ ɛ n tʰ ɪ ŋ
<|SWE|>inger	 ɪ n j eː r
<|SWE|>innan	 ɪ n a n
<|SWE|>insjukna	 ɪ n ɧ ʉː k n a
<|SWE|>inte	 ɪ n t ɛ
<|SWE|>internationell	ɪ n t ɛ r n a t ɧ ʊ n ɛ l
<|SWE|>intryck	ɪ n t r ʏ kː
<|SWE|>is	iː s
<|SWE|>italien	ɪ t ɒː l ɪ ə n
<|SWE|>jag	j ɑː ɡ
<|SWE|>januari	j a n ɵ ɑː r ɪ
<|SWE|>japanska	j a p ɑː n s k a
<|SWE|>jasmine	ɧ a s m iː n
<|SWE|>jason	j ɑː s ɔ n
<|SWE|>jennie	¹ j ɛ n ɪ
<|SWE|>jonsson	j ʊ n s ɔ n
<|SWE|>jonte	 j ɔ n t ɛ
<|SWE|>jord	j uː r d
<|SWE|>jorden	j uː r d ɛ n
<|SWE|>journal	ɧ ʊ ɳ ɑː l
<|SWE|>journalist	ɧ ʊ r n a l ɪ s t
<|SWE|>juice	j uː s
<|SWE|>jul	j ʉː l
<|SWE|>juli	j ʉː l ɪ
<|SWE|>juni	j ʉː n ɪ
<|SWE|>jupiter	j ʉː p ɪ t ɛ r
<|SWE|>järv	j æ r v
<|SWE|>kajak	k a j ɑː k
<|SWE|>kalifornien	k a l ɪ f uː r n ɪ ɛ n
<|SWE|>kall	k a l
<|SWE|>kalla	 k a lː a
<|SWE|>kalle	 k a l ɛ
<|SWE|>kamera	k ɑː m ɛ r a
<|SWE|>kan	k a nː
